# Time : Tue May 29 17:03:16 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S013MGn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B9FAA80> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B9FAAD0> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.4,0,0.55,0.3,2,0.25,1.00336363047 
1,l,r,0.7,0.3,0.1,0,2,0.4,1.13915250506 
2,r,l,0.55,0,0.2,0.3,2,-0.1,1.03702852004 
3,l,r,0.01,0.3,0.3,0,2,-0.29,1.13978947871 
4,l,r,0.6,0.3,0.7,0,2,0.3,0.837817036251 
5,r,l,0.5,0,0.1,0.3,2,-0.2,0.860490397185 
6,r,l,0.1,0,0.3,0.3,2,0.0,0.836448801483 
7,l,r,0.4,0.3,0.5,0,2,0.1,0.8364372822 
8,r,l,0.2,0,0.3,0.3,2,0.0,1.1040861028 
9,l,r,0.01,0.3,0.4,0,2,-0.29,1.03583947411 
10,r,l,0.7,0,0.65,0.3,2,0.35,0.905673715899 
11,l,r,0.5,0.3,0.9,0,2,0.2,0.877506510528 
12,l,r,0.65,0.3,0.65,0,2,0.35,0.842387204893 
13,l,r,0.2,0.3,0.7,0,2,-0.1,1.04922957333 
14,l,r,0.4,0.3,0.7,0,2,0.1,1.15214198924 
15,l,r,0.55,0.3,0.65,0,2,0.25,0.977008792199 
16,l,r,0.2,0.3,0.1,0,2,-0.1,1.05885244055 
17,l,r,0.2,0.3,0.55,0,2,-0.1,0.839669507521 
18,l,r,0.55,0.3,0.4,0,2,0.25,0.942596429193 
19,l,r,0.3,0.3,0.3,0,2,0.0,0.841312925147 
20,r,l,0.55,0,0.6,0.3,2,0.3,1.23208452935 
