# Time : Tue Feb 28 12:41:10 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S08SB_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05A29B98> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05A08940> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.1,0,0.9,0.3,1,0.6,1.68170457823 
1,r,r,0.4,0.3,0.3,0,2,0.1,1.82044143973 
2,r,r,0.3,0.3,0.9,0,2,0.0,2.00227443773 
3,r,r,0.55,0.3,0.4,0,1,0.25,1.6880965546 
4,l,r,0.4,0.3,0.65,0,2,0.1,1.76288848045 
5,l,l,0.1,0,0.2,0.3,2,-0.1,1.61168252928 
6,l,l,0.5,0,0.55,0.3,1,0.25,1.49741496564 
7,r,r,0.1,0.3,0.4,0,1,-0.2,1.54123468989 
8,l,l,0.5,0,0.5,0.3,1,0.2,1.43806668953 
9,r,r,0.1,0.3,0.9,0,2,-0.2,1.86799941635 
10,r,r,0.1,0.3,0.65,0,1,-0.2,1.76761953277 
11,r,r,0.65,0.3,0.4,0,2,0.35,1.19942437228 
12,r,l,0.6,0,0.9,0.3,2,0.6,1.76728333751 
13,r,r,0.5,0.3,0.7,0,2,0.2,1.07104983369 
14,l,r,0.5,0.3,0.7,0,1,0.2,1.36387078497 
15,l,l,0.2,0,0.9,0.3,2,0.6,1.58175304496 
16,l,l,0.3,0,0.9,0.3,1,0.6,1.29254747265 
17,r,r,0.9,0.3,0.3,0,1,0.6,1.3923710128 
18,l,l,0.65,0,0.5,0.3,2,0.2,1.73618911581 
19,l,r,0.3,0.3,0.5,0,1,0.0,1.15300852093 
20,r,r,0.6,0.3,0.3,0,2,0.3,1.10681409767 
21,l,r,0.01,0.3,0.01,0,1,-0.29,1.29364608025 
22,l,l,0.4,0,0.6,0.3,2,0.3,1.24145475273 
23,r,r,0.55,0.3,0.5,0,2,0.25,1.2872327717 
24,r,r,0.1,0.3,0.5,0,2,-0.2,1.37110111627 
25,r,r,0.65,0.3,0.2,0,1,0.35,1.4438771505 
26,r,l,0.1,0,0.3,0.3,1,0.0,1.16885150921 
27,r,r,0.55,0.3,0.6,0,1,0.25,1.43357583763 
28,l,l,0.4,0,0.3,0.3,2,0.0,1.42344518225 
29,r,r,0.3,0.3,0.55,0,2,0.0,1.5341468576 
30,r,r,0.6,0.3,0.3,0,2,0.3,1.76001375499 
31,r,r,0.01,0.3,0.65,0,1,-0.29,1.39973616352 
32,l,l,0.6,0,0.2,0.3,1,-0.1,1.47857309858 
33,l,l,0.2,0,0.3,0.3,2,0.0,1.69137573831 
34,r,r,0.2,0.3,0.3,0,1,-0.1,1.29421095655 
35,l,r,0.01,0.3,0.4,0,1,-0.29,1.44199095857 
36,l,l,0.01,0,0.01,0.3,2,-0.29,1.41479370069 
37,r,r,0.2,0.3,0.6,0,1,-0.1,1.53359904705 
38,r,r,0.65,0.3,0.7,0,2,0.35,1.48048147598 
39,r,r,0.9,0.3,0.01,0,2,0.6,1.50825982262 
40,l,l,0.55,0,0.01,0.3,1,-0.29,1.69404311491 
41,r,l,0.6,0,0.3,0.3,1,0.0,1.68085299734 
42,r,l,0.7,0,0.3,0.3,2,0.0,1.19663753543 
43,r,r,0.2,0.3,0.5,0,1,-0.1,1.63645346426 
44,r,r,0.7,0.3,0.2,0,2,0.4,0.922289831032 
45,r,r,0.4,0.3,0.55,0,1,0.1,1.70919707357 
46,r,r,0.4,0.3,0.65,0,2,0.1,1.41492596025 
47,l,l,0.5,0,0.7,0.3,2,0.4,1.79779135074 
48,l,r,0.4,0.3,0.1,0,1,0.1,1.15654411752 
49,r,r,0.6,0.3,0.4,0,1,0.3,1.29438460055 
50,r,l,0.3,0,0.6,0.3,1,0.3,1.37019876478 
51,l,r,0.55,0.3,0.6,0,2,0.25,1.13478656721 
52,l,l,0.1,0,0.65,0.3,2,0.35,1.23360706795 
53,l,l,0.01,0,0.1,0.3,1,-0.2,1.10342995961 
54,r,r,0.1,0.3,0.7,0,1,-0.2,1.0512407653 
55,r,r,0.5,0.3,0.01,0,2,0.2,0.841110195249 
56,l,l,0.55,0,0.3,0.3,1,0.0,1.31997511814 
57,l,l,0.01,0,0.6,0.3,1,0.3,1.13076246354 
58,r,l,0.9,0,0.55,0.3,1,0.25,1.47765453463 
59,r,r,0.1,0.3,0.1,0,1,-0.2,1.22538862977 
60,l,l,0.4,0,0.55,0.3,1,0.25,1.57619515708 
61,r,l,0.65,0,0.55,0.3,1,0.25,1.92803714872 
62,r,r,0.1,0.3,0.01,0,1,-0.2,1.76078086042 
63,l,l,0.3,0,0.4,0.3,1,0.1,1.65656032998 
64,l,l,0.3,0,0.65,0.3,1,0.35,1.50132131563 
65,r,r,0.7,0.3,0.1,0,1,0.4,1.88814084022 
66,r,l,0.7,0,0.55,0.3,1,0.25,1.91501640872 
67,r,r,0.4,0.3,0.4,0,2,0.1,1.50070268222 
68,l,l,0.9,0,0.7,0.3,2,0.4,1.4875402965 
