# Time : Tue Feb 28 13:02:58 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S08SB_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x059AA5F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05867260> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.1,0.3,0.9,0,2,-0.2,0.995055199166 
1,r,r,0.9,0.3,0.7,0,1,0.6,0.93998530639 
2,r,r,0.3,0.3,0.3,0,2,0.0,1.06972297169 
3,l,l,0.5,0,0.5,0.3,2,0.2,1.17048128826 
4,l,r,0.55,0.3,0.1,0,2,0.25,1.25129358379 
5,l,l,0.7,0,0.6,0.3,1,0.3,1.4811265613 
6,r,l,0.5,0,0.7,0.3,1,0.4,0.909925269084 
7,r,r,0.65,0.3,0.65,0,1,0.35,1.34577682437 
8,l,r,0.7,0.3,0.4,0,1,0.4,1.07460676247 
9,l,r,0.01,0.3,0.2,0,2,-0.29,0.895422795404 
10,l,l,0.4,0,0.1,0.3,2,-0.2,0.988244685299 
11,l,l,0.7,0,0.3,0.3,2,0.0,1.18910770024 
12,l,l,0.2,0,0.3,0.3,2,0.0,1.09318027063 
13,l,l,0.65,0,0.1,0.3,2,-0.2,1.14486261219 
14,r,r,0.9,0.3,0.6,0,1,0.6,0.971612406117 
15,r,l,0.5,0,0.65,0.3,1,0.35,0.99643155184 
16,l,l,0.55,0,0.7,0.3,1,0.4,0.836888128894 
17,r,l,0.4,0,0.9,0.3,1,0.6,0.939156337622 
18,r,l,0.4,0,0.3,0.3,2,0.0,1.24597120325 
19,l,r,0.65,0.3,0.7,0,1,0.35,0.867796760579 
20,r,r,0.9,0.3,0.01,0,1,0.6,0.836857410546 
21,l,l,0.2,0,0.5,0.3,2,0.2,1.31946442559 
22,l,r,0.9,0.3,0.4,0,1,0.6,0.882285155017 
23,l,l,0.5,0,0.3,0.3,1,0.0,1.67910802449 
24,l,l,0.6,0,0.2,0.3,2,-0.1,1.0429451046 
25,l,l,0.6,0,0.55,0.3,2,0.25,0.89782991933 
26,r,r,0.2,0.3,0.6,0,2,-0.1,1.22166317672 
27,l,r,0.65,0.3,0.2,0,1,0.35,0.837216644567 
28,l,r,0.6,0.3,0.1,0,1,0.3,0.83638212943 
29,l,r,0.3,0.3,0.55,0,1,0.0,1.09016517939 
30,r,l,0.3,0,0.9,0.3,1,0.6,0.837054519949 
31,r,l,0.6,0,0.55,0.3,1,0.25,1.04486201488 
32,r,r,0.01,0.3,0.7,0,1,-0.29,0.891714834744 
33,r,l,0.3,0,0.5,0.3,1,0.2,1.20748580556 
34,l,l,0.7,0,0.2,0.3,2,-0.1,1.38335688407 
35,l,r,0.3,0.3,0.9,0,2,0.0,1.12710868664 
36,r,r,0.4,0.3,0.7,0,2,0.1,1.21003969493 
37,r,r,0.5,0.3,0.7,0,2,0.2,1.43385699585 
38,r,r,0.2,0.3,0.3,0,2,-0.1,0.903680484804 
39,l,l,0.65,0,0.01,0.3,2,-0.29,1.28348257331 
40,r,r,0.01,0.3,0.4,0,2,-0.29,1.4883295874 
41,l,l,0.55,0,0.4,0.3,2,0.1,1.44311175165 
42,r,r,0.5,0.3,0.7,0,2,0.2,1.01701924505 
43,l,r,0.65,0.3,0.55,0,1,0.35,1.04880292302 
44,r,l,0.7,0,0.4,0.3,2,0.1,0.926630930988 
45,r,l,0.7,0,0.5,0.3,2,0.2,1.04938742493 
46,r,r,0.4,0.3,0.01,0,2,0.1,1.45626603114 
47,l,l,0.6,0,0.5,0.3,2,0.2,1.38107732662 
48,r,r,0.01,0.3,0.6,0,2,-0.29,1.39695231318 
49,l,l,0.6,0,0.55,0.3,2,0.25,1.83679640049 
50,l,l,0.65,0,0.7,0.3,1,0.4,0.8368911154 
51,l,r,0.9,0.3,0.1,0,1,0.6,0.836278455004 
52,r,r,0.4,0.3,0.3,0,2,0.1,1.09912384444 
53,l,r,0.9,0.3,0.01,0,1,0.6,0.838958204274 
54,r,r,0.6,0.3,0.2,0,1,0.3,0.845807116076 
55,r,r,0.9,0.3,0.65,0,1,0.6,0.892604813565 
56,l,l,0.5,0,0.4,0.3,2,0.1,0.953441223 
57,r,r,0.5,0.3,0.3,0,2,0.2,1.21930127703 
58,l,l,0.6,0,0.7,0.3,1,0.4,1.34612496566 
59,r,r,0.9,0.3,0.5,0,1,0.6,0.970937029092 
60,l,r,0.01,0.3,0.65,0,2,-0.29,1.05276900314 
61,r,l,0.55,0,0.6,0.3,2,0.3,1.48160781543 
62,r,r,0.1,0.3,0.6,0,2,-0.2,1.00640434904 
63,r,r,0.65,0.3,0.01,0,1,0.35,1.2942621538 
