# Time : Tue Feb 28 13:30:59 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S08SB_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05A83B98> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05A835F8> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.65,0,0.7,0.3,1,0.4,1.95020342373 
1,r,l,0.9,0,0.4,0.3,2,0.1,1.75109732767 
2,r,r,0.65,0.3,0.5,0,1,0.35,0.887832803442 
3,l,r,0.55,0.3,0.2,0,2,0.25,1.30870020428 
4,l,l,0.65,0,0.4,0.3,2,0.1,1.51947969944 
5,l,l,0.6,0,0.7,0.3,1,0.4,1.10521674355 
6,r,l,0.5,0,0.2,0.3,2,-0.1,1.02107492035 
7,l,l,0.2,0,0.55,0.3,1,0.25,1.41189593647 
8,r,r,0.5,0.3,0.5,0,2,0.2,1.40272608278 
9,l,l,0.3,0,0.1,0.3,2,-0.2,1.47349902469 
10,r,l,0.55,0,0.6,0.3,1,0.3,1.14931506616 
11,l,l,0.55,0,0.01,0.3,2,-0.29,1.13530707256 
12,l,l,0.2,0,0.55,0.3,1,0.25,1.26508398908 
13,r,l,0.1,0,0.9,0.3,1,0.6,1.82280419271 
14,l,l,0.3,0,0.2,0.3,2,-0.1,0.923637171932 
15,r,r,0.7,0.3,0.1,0,1,0.4,1.09546622774 
16,r,r,0.2,0.3,0.4,0,2,-0.1,1.08330816135 
17,l,r,0.01,0.3,0.5,0,2,-0.29,0.984134826245 
18,r,l,0.7,0,0.5,0.3,1,0.2,1.40906046224 
19,l,l,0.7,0,0.4,0.3,2,0.1,0.836133822779 
20,r,r,0.2,0.3,0.6,0,2,-0.1,1.80660367699 
21,r,r,0.1,0.3,0.5,0,2,-0.2,0.900405994174 
22,r,r,0.6,0.3,0.65,0,1,0.3,1.6652083984 
23,l,l,0.7,0,0.2,0.3,2,-0.1,0.837885195292 
24,l,l,0.9,0,0.3,0.3,2,0.0,1.2439881632 
25,r,l,0.55,0,0.65,0.3,1,0.35,0.96978850417 
26,l,l,0.9,0,0.6,0.3,2,0.3,1.41160709867 
27,r,r,0.1,0.3,0.6,0,1,-0.2,2.18641728487 
28,l,l,0.4,0,0.2,0.3,2,-0.1,1.1211638329 
29,l,r,0.01,0.3,0.7,0,2,-0.29,0.97198443945 
30,r,r,0.6,0.3,0.6,0,1,0.3,0.908851833459 
31,r,r,0.3,0.3,0.6,0,2,0.0,1.12070903068 
32,r,l,0.55,0,0.2,0.3,1,-0.1,1.51551575254 
33,l,l,0.5,0,0.6,0.3,1,0.3,0.918313511466 
34,r,r,0.4,0.3,0.1,0,2,0.1,1.36117141009 
35,r,r,0.5,0.3,0.55,0,2,0.2,1.30703970688 
36,r,l,0.2,0,0.65,0.3,1,0.35,0.837803279696 
37,l,l,0.9,0,0.55,0.3,2,0.25,1.54076751501 
38,l,r,0.9,0.3,0.2,0,1,0.6,0.836218724881 
39,l,l,0.1,0,0.3,0.3,2,0.0,0.884257528982 
40,l,l,0.4,0,0.55,0.3,1,0.25,0.993192899283 
41,r,r,0.6,0.3,0.4,0,1,0.3,0.865055147969 
42,r,l,0.2,0,0.55,0.3,1,0.25,1.03186815343 
