# Time : Tue Feb 28 13:16:52 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S08SB_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05D1F580> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05D1F5D0> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.55,0,0.4,0.3,2,0.1,1.59624314597 
1,r,r,0.5,0.3,0.65,0,2,0.2,1.53904216776 
2,l,l,0.55,0,0.01,0.3,2,-0.29,1.32486957501 
3,l,l,0.7,0,0.1,0.3,1,-0.2,1.72673938382 
4,l,l,0.9,0,0.2,0.3,2,-0.1,0.952549964247 
5,l,l,0.4,0,0.6,0.3,1,0.3,1.4023711152 
6,l,r,0.4,0.3,0.9,0,2,0.1,1.29724354019 
7,l,l,0.55,0,0.2,0.3,2,-0.1,1.32502188682 
8,r,r,0.9,0.3,0.2,0,1,0.6,1.00680710072 
9,r,r,0.55,0.3,0.6,0,2,0.25,1.29473274183 
10,l,l,0.5,0,0.1,0.3,2,-0.2,1.28248209376 
11,r,r,0.6,0.3,0.6,0,2,0.3,1.5272774669 
12,r,l,0.6,0,0.2,0.3,2,-0.1,1.44114961713 
13,l,l,0.55,0,0.9,0.3,1,0.6,0.837144541776 
14,r,r,0.5,0.3,0.01,0,1,0.2,1.21273437673 
15,r,r,0.3,0.3,0.6,0,2,0.0,1.1645616065 
16,l,r,0.55,0.3,0.5,0,2,0.25,1.15745158874 
17,l,l,0.01,0,0.01,0.3,2,-0.29,1.19124134553 
18,r,l,0.2,0,0.6,0.3,1,0.3,1.51905561557 
19,l,l,0.3,0,0.55,0.3,1,0.25,1.44982584403 
20,l,l,0.01,0,0.9,0.3,1,0.6,0.870646740698 
21,r,r,0.7,0.3,0.2,0,2,0.4,1.57249914245 
22,r,r,0.01,0.3,0.3,0,2,-0.29,0.860289964145 
23,r,r,0.4,0.3,0.6,0,2,0.1,1.56214492576 
24,r,r,0.4,0.3,0.55,0,1,0.1,1.62595717521 
25,l,l,0.2,0,0.9,0.3,1,0.6,1.23974348472 
26,l,r,0.55,0.3,0.7,0,2,0.25,1.04559754868 
27,r,r,0.01,0.3,0.3,0,2,-0.29,1.10840889194 
28,l,l,0.1,0,0.7,0.3,1,0.4,1.08724693627 
29,r,r,0.01,0.3,0.3,0,2,-0.29,1.61206394878 
30,r,l,0.6,0,0.2,0.3,2,-0.1,1.47388556391 
31,r,r,0.6,0.3,0.65,0,2,0.3,1.00671579896 
32,r,r,0.1,0.3,0.3,0,1,-0.2,0.877594207202 
33,l,l,0.4,0,0.01,0.3,2,-0.29,1.33136266594 
34,l,l,0.5,0,0.4,0.3,2,0.1,1.41321853204 
35,l,r,0.01,0.3,0.2,0,1,-0.29,1.62797434677 
36,r,r,0.01,0.3,0.5,0,1,-0.29,1.76986325215 
37,r,r,0.4,0.3,0.5,0,1,0.1,1.11360925237 
38,l,r,0.7,0.3,0.55,0,1,0.4,0.837808826064 
39,r,r,0.1,0.3,0.9,0,2,-0.2,0.907308663086 
40,r,l,0.4,0,0.6,0.3,1,0.3,0.83909729013 
41,l,r,0.65,0.3,0.3,0,1,0.35,0.878019571001 
42,r,r,0.65,0.3,0.5,0,1,0.35,1.171856361 
43,l,l,0.4,0,0.4,0.3,2,0.1,1.14068534342 
44,l,l,0.55,0,0.9,0.3,1,0.6,0.950497807905 
45,l,l,0.9,0,0.65,0.3,2,0.35,1.03336353971 
46,r,l,0.1,0,0.2,0.3,2,-0.1,1.16919154426 
47,r,l,0.7,0,0.65,0.3,1,0.35,1.57802716526 
48,r,r,0.55,0.3,0.01,0,2,0.25,1.25779904739 
49,l,l,0.55,0,0.7,0.3,1,0.4,1.06264751207 
50,r,r,0.4,0.3,0.4,0,2,0.1,0.868478963904 
51,r,l,0.01,0,0.55,0.3,1,0.25,1.11214671766 
52,l,l,0.5,0,0.6,0.3,2,0.3,1.29206707181 
53,r,r,0.01,0.3,0.4,0,2,-0.29,1.63187088395 
54,r,r,0.55,0.3,0.5,0,2,0.25,1.38159185895 
55,l,l,0.6,0,0.01,0.3,2,-0.29,1.47744121276 
56,r,r,0.5,0.3,0.3,0,2,0.2,1.31328705102 
57,l,l,0.7,0,0.7,0.3,1,0.4,0.837681686233 
58,l,l,0.1,0,0.7,0.3,1,0.4,0.916051873051 
59,r,r,0.3,0.3,0.4,0,2,0.0,0.98384940159 
60,l,l,0.7,0,0.6,0.3,1,0.3,0.960593478495 
61,l,l,0.9,0,0.55,0.3,2,0.25,0.946486503552 
62,r,r,0.7,0.3,0.5,0,1,0.4,1.14132530902 
63,l,l,0.4,0,0.65,0.3,1,0.35,1.01512238702 
64,r,r,0.1,0.3,0.65,0,2,-0.2,1.75899663634 
65,r,l,0.4,0,0.7,0.3,1,0.4,0.910827620574 
66,l,l,0.65,0,0.9,0.3,1,0.6,1.02670917745 
67,l,r,0.4,0.3,0.3,0,1,0.1,1.24145048629 
68,r,r,0.9,0.3,0.1,0,1,0.6,0.837150941432 
69,l,r,0.7,0.3,0.9,0,2,0.4,0.950121934778 
70,r,r,0.4,0.3,0.9,0,2,0.1,0.912985584562 
71,l,l,0.3,0,0.4,0.3,1,0.1,2.20574680572 
72,r,r,0.01,0.3,0.55,0,1,-0.29,1.09056281134 
73,r,l,0.4,0,0.9,0.3,1,0.6,0.854372415606 
74,l,l,0.3,0,0.65,0.3,2,0.35,0.86023791361 
75,l,l,0.55,0,0.3,0.3,1,0.0,1.21007553301 
76,r,l,0.65,0,0.55,0.3,1,0.25,1.36205285604 
77,r,r,0.65,0.3,0.7,0,1,0.35,1.01870107463 
