# Time : Tue Feb 28 13:45:15 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S08SBn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x053225F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x058F7800> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.6,0.3,0.4,0,2,0.3,1.15643063029 
1,l,r,0.7,0.3,0.6,0,2,0.4,1.2932621009 
2,r,l,0.6,0,0.2,0.3,2,-0.1,1.56109580882 
3,r,l,0.2,0,0.1,0.3,1,-0.2,1.27384085165 
4,r,l,0.65,0,0.6,0.3,2,0.3,1.18173188343 
5,l,r,0.6,0.3,0.3,0,2,0.3,1.84655331596 
6,l,r,0.65,0.3,0.3,0,1,0.35,0.837513588603 
7,r,l,0.7,0,0.4,0.3,1,0.1,1.18616897822 
8,l,r,0.3,0.3,0.55,0,2,0.0,1.09801755724 
9,r,l,0.55,0,0.65,0.3,2,0.35,1.42983161225 
10,r,l,0.7,0,0.6,0.3,1,0.3,0.83788263543 
11,r,l,0.7,0,0.3,0.3,1,0.0,0.954509965544 
12,r,l,0.65,0,0.55,0.3,2,0.25,1.01235858894 
13,l,r,0.01,0.3,0.9,0,2,-0.29,1.22811957629 
14,r,l,0.2,0,0.2,0.3,2,-0.1,1.04305603197 
15,r,l,0.01,0,0.1,0.3,2,-0.2,0.944813206842 
16,r,l,0.4,0,0.01,0.3,1,-0.29,1.06767337521 
17,l,r,0.01,0.3,0.7,0,2,-0.29,0.837408207601 
18,l,r,0.6,0.3,0.7,0,1,0.3,0.837636035353 
19,r,l,0.5,0,0.7,0.3,1,0.4,1.19924262205 
20,r,l,0.9,0,0.01,0.3,2,-0.29,0.895029856528 
21,l,r,0.3,0.3,0.6,0,2,0.0,1.08379965493 
22,l,r,0.2,0.3,0.1,0,2,-0.1,1.08870221804 
23,l,r,0.65,0.3,0.1,0,1,0.35,0.837368103091 
24,l,r,0.1,0.3,0.4,0,2,-0.2,0.89134152148 
25,l,r,0.01,0.3,0.4,0,2,-0.29,0.836859117121 
26,l,r,0.6,0.3,0.01,0,2,0.3,0.84707254138 
27,l,r,0.55,0.3,0.6,0,2,0.25,0.83604124109 
28,r,l,0.3,0,0.1,0.3,2,-0.2,0.987707114199 
29,l,r,0.4,0.3,0.65,0,1,0.1,0.836544680691 
30,r,l,0.9,0,0.1,0.3,1,-0.2,1.05951552045 
31,l,r,0.55,0.3,0.5,0,1,0.25,0.837894581454 
32,l,r,0.9,0.3,0.55,0,1,0.6,0.835998576717 
33,r,l,0.7,0,0.3,0.3,1,0.0,0.836204645638 
34,r,l,0.01,0,0.3,0.3,1,0.0,0.948834324 
35,r,l,0.2,0,0.7,0.3,1,0.4,1.47159619366 
36,r,l,0.2,0,0.4,0.3,1,0.1,1.19548389079 
37,r,l,0.65,0,0.4,0.3,1,0.1,1.04323564898 
38,r,l,0.55,0,0.5,0.3,1,0.2,0.898066279957 
39,l,r,0.9,0.3,0.55,0,1,0.6,1.0379674522 
40,r,l,0.01,0,0.4,0.3,1,0.1,1.41278548865 
41,r,l,0.1,0,0.9,0.3,1,0.6,1.17952058897 
42,l,r,0.2,0.3,0.55,0,2,-0.1,0.837619396248 
43,r,l,0.9,0,0.65,0.3,1,0.35,0.837724350606 
44,l,r,0.4,0.3,0.3,0,2,0.1,1.16108232688 
45,r,l,0.1,0,0.5,0.3,1,0.2,0.971034303862 
46,l,r,0.65,0.3,0.65,0,1,0.35,1.08372499228 
47,r,l,0.2,0,0.2,0.3,2,-0.1,1.12865015043 
48,l,r,0.5,0.3,0.1,0,1,0.2,1.21939599194 
49,l,r,0.1,0.3,0.65,0,2,-0.2,0.836298933903 
50,l,r,0.65,0.3,0.2,0,1,0.35,0.977142562149 
51,r,l,0.6,0,0.3,0.3,1,0.0,2.00991946673 
52,l,r,0.55,0.3,0.5,0,2,0.25,0.887750887846 
53,l,r,0.55,0.3,0.01,0,1,0.25,1.10860045497 
54,l,r,0.55,0.3,0.01,0,1,0.25,1.32736373426 
55,r,l,0.4,0,0.65,0.3,1,0.35,1.02624456243 
56,r,l,0.9,0,0.7,0.3,1,0.4,0.865116158022 
57,r,l,0.3,0,0.55,0.3,2,0.25,0.837101450759 
58,l,r,0.5,0.3,0.6,0,2,0.2,0.83632495917 
59,r,l,0.2,0,0.2,0.3,1,-0.1,0.876583061561 
60,r,l,0.55,0,0.01,0.3,2,-0.29,1.39346620726 
61,l,r,0.6,0.3,0.9,0,2,0.3,1.8652573771 
62,l,r,0.5,0.3,0.3,0,1,0.2,1.67708402663 
63,r,l,0.65,0,0.1,0.3,2,-0.2,0.968885299393 
64,r,l,0.5,0,0.9,0.3,1,0.6,0.881706626118 
65,l,r,0.7,0.3,0.1,0,2,0.4,1.0075533006 
66,r,l,0.5,0,0.2,0.3,1,-0.1,1.30338763655 
67,r,l,0.5,0,0.01,0.3,2,-0.29,0.938257825926 
68,r,l,0.4,0,0.7,0.3,1,0.4,0.836864663489 
69,l,r,0.5,0.3,0.3,0,2,0.2,0.898951992341 
