# Time : Tue Feb 28 13:49:51 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S08SBn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05A3D5F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05A3D5A8> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.65,0.3,0.3,0,1,0.35,1.26085552307 
1,r,l,0.5,0,0.3,0.3,2,0.0,1.11466818211 
2,r,l,0.6,0,0.3,0.3,2,0.0,1.10953309817 
3,r,l,0.7,0,0.65,0.3,1,0.35,1.15335111584 
4,l,r,0.65,0.3,0.65,0,1,0.35,1.11515370267 
5,r,l,0.65,0,0.55,0.3,2,0.25,0.886008048207 
6,r,l,0.2,0,0.2,0.3,2,-0.1,0.938790277301 
7,r,l,0.3,0,0.55,0.3,1,0.25,0.90962747176 
8,r,l,0.2,0,0.5,0.3,1,0.2,0.881469838848 
9,l,r,0.7,0.3,0.1,0,1,0.4,0.910296022486 
10,r,l,0.6,0,0.9,0.3,1,0.6,0.994122982615 
11,l,r,0.3,0.3,0.2,0,2,0.0,1.61098582007 
12,l,r,0.6,0.3,0.65,0,1,0.3,1.56080099801 
13,l,r,0.6,0.3,0.9,0,2,0.3,1.35360189703 
14,r,l,0.01,0,0.6,0.3,1,0.3,1.01044295859 
15,r,l,0.4,0,0.55,0.3,1,0.25,0.874284305142 
16,r,l,0.2,0,0.4,0.3,2,0.1,1.24810527519 
17,l,r,0.01,0.3,0.5,0,2,-0.29,0.869954724567 
18,l,r,0.5,0.3,0.4,0,1,0.2,1.03476037128 
19,r,l,0.4,0,0.7,0.3,1,0.4,1.00961270989 
20,r,l,0.6,0,0.4,0.3,2,0.1,1.75241181701 
21,r,l,0.3,0,0.2,0.3,2,-0.1,1.08128203028 
22,r,l,0.6,0,0.9,0.3,1,0.6,0.836760989063 
23,l,r,0.65,0.3,0.01,0,1,0.35,1.21203297444 
24,l,r,0.6,0.3,0.55,0,1,0.3,0.851784821381 
25,l,r,0.01,0.3,0.7,0,2,-0.29,1.64964358183 
26,l,r,0.1,0.3,0.55,0,2,-0.2,0.982514860001 
27,l,r,0.2,0.3,0.9,0,2,-0.1,0.960235097761 
28,l,r,0.65,0.3,0.65,0,1,0.35,0.882117910674 
29,l,r,0.6,0.3,0.2,0,2,0.3,1.15104510648 
30,r,l,0.7,0,0.9,0.3,1,0.6,0.836033134859 
31,r,l,0.1,0,0.55,0.3,1,0.25,1.27962230084 
32,r,l,0.4,0,0.55,0.3,1,0.25,0.956464847117 
33,l,r,0.55,0.3,0.7,0,1,0.25,1.40625101328 
34,l,r,0.01,0.3,0.01,0,2,-0.29,0.836559186578 
35,l,r,0.3,0.3,0.6,0,2,0.0,0.97202795711 
36,r,l,0.1,0,0.01,0.3,2,-0.29,1.47679399422 
37,l,r,0.4,0.3,0.5,0,2,0.1,1.01653969749 
38,l,r,0.9,0.3,0.7,0,1,0.6,0.912508596871 
39,l,r,0.5,0.3,0.1,0,2,0.2,1.44421675891 
40,l,r,0.65,0.3,0.65,0,1,0.35,1.17810370514 
41,l,r,0.7,0.3,0.01,0,1,0.4,0.971001025652 
42,l,r,0.01,0.3,0.6,0,2,-0.29,1.25984651065 
43,r,l,0.55,0,0.3,0.3,2,0.0,1.43264916745 
44,l,r,0.7,0.3,0.5,0,1,0.4,0.836801093573 
45,l,r,0.3,0.3,0.55,0,2,0.0,1.01316793209 
46,r,l,0.5,0,0.2,0.3,2,-0.1,1.18107314551 
47,r,l,0.65,0,0.01,0.3,2,-0.29,0.917966223469 
48,l,r,0.65,0.3,0.5,0,1,0.35,0.836006256304 
49,l,r,0.1,0.3,0.4,0,2,-0.2,1.07161641657 
50,l,r,0.1,0.3,0.01,0,2,-0.2,0.996395713766 
51,l,r,0.5,0.3,0.3,0,2,0.2,1.00526649021 
52,l,r,0.9,0.3,0.55,0,1,0.6,1.14917171386 
53,r,l,0.2,0,0.01,0.3,2,-0.29,0.91088777734 
54,r,l,0.5,0,0.6,0.3,1,0.3,1.79469946362 
55,r,l,0.55,0,0.1,0.3,2,-0.2,1.38560529653 
56,r,l,0.55,0,0.3,0.3,2,0.0,2.00932387208 
57,r,l,0.4,0,0.55,0.3,2,0.25,1.85410021691 
58,r,l,0.3,0,0.2,0.3,2,-0.1,1.17802605599 
59,l,r,0.1,0.3,0.9,0,2,-0.2,1.53083994204 
60,l,r,0.4,0.3,0.4,0,2,0.1,1.73255709773 
61,r,l,0.2,0,0.7,0.3,1,0.4,1.62235715541 
62,l,r,0.4,0.3,0.7,0,1,0.1,1.43622998828 
63,l,r,0.5,0.3,0.01,0,1,0.2,1.83289090378 
64,r,l,0.65,0,0.2,0.3,2,-0.1,0.926764043832 
65,r,l,0.3,0,0.6,0.3,1,0.3,1.36155965589 
66,r,l,0.1,0,0.7,0.3,1,0.4,0.866436620367 
67,r,l,0.3,0,0.5,0.3,1,0.2,0.837063052824 
68,r,l,0.9,0,0.2,0.3,2,-0.1,0.968178777376 
69,l,r,0.9,0.3,0.1,0,1,0.6,0.836882582526 
70,l,r,0.1,0.3,0.01,0,2,-0.2,1.27989449954 
71,l,r,0.4,0.3,0.9,0,2,0.1,1.12476214612 
72,r,l,0.6,0,0.1,0.3,2,-0.2,0.855533313196 
73,r,l,0.9,0,0.5,0.3,1,0.2,1.02937783398 
74,r,l,0.1,0,0.4,0.3,2,0.1,1.10817765104 
