# Time : Tue Feb 28 13:58:42 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S08SBn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05B6A620> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B6A328> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.5,0.3,0.6,0,2,0.2,1.12860108641 
1,l,r,0.65,0.3,0.5,0,1,0.35,1.05950058792 
2,l,r,0.6,0.3,0.5,0,2,0.3,0.968260692972 
3,l,r,0.4,0.3,0.9,0,2,0.1,1.16211096491 
4,l,r,0.7,0.3,0.5,0,1,0.4,0.836305760202 
5,r,l,0.1,0,0.4,0.3,2,0.1,0.913806020455 
6,l,r,0.5,0.3,0.6,0,2,0.2,0.853623229215 
7,r,l,0.01,0,0.55,0.3,1,0.25,0.915539047287 
8,r,l,0.7,0,0.55,0.3,1,0.25,1.01533314902 
9,l,r,0.9,0.3,0.4,0,1,0.6,0.935236335028 
10,r,l,0.2,0,0.01,0.3,2,-0.29,0.850132856858 
11,r,l,0.3,0,0.01,0.3,2,-0.29,0.928836679073 
12,r,l,0.4,0,0.7,0.3,1,0.4,0.915677279856 
13,r,l,0.65,0,0.2,0.3,2,-0.1,1.22349774476 
14,l,r,0.9,0.3,0.1,0,1,0.6,0.91848672882 
15,r,l,0.4,0,0.3,0.3,2,0.0,1.23316549169 
16,l,r,0.5,0.3,0.7,0,2,0.2,1.12806522188 
17,r,l,0.3,0,0.3,0.3,2,0.0,1.04289049421 
18,r,l,0.1,0,0.7,0.3,1,0.4,0.836831811922 
19,l,r,0.2,0.3,0.01,0,2,-0.1,0.83692652683 
20,r,l,0.3,0,0.65,0.3,1,0.35,0.83710614384 
21,l,r,0.4,0.3,0.7,0,2,0.1,1.15723016064 
22,l,r,0.65,0.3,0.65,0,1,0.35,0.837883488717 
23,l,r,0.5,0.3,0.5,0,2,0.2,0.997873607648 
24,l,r,0.65,0.3,0.55,0,2,0.35,0.837194032449 
25,l,r,0.01,0.3,0.01,0,2,-0.29,0.868656447696 
26,r,l,0.5,0,0.6,0.3,2,0.3,1.59445337552 
27,l,r,0.55,0.3,0.01,0,1,0.25,1.08120054133 
28,r,l,0.01,0,0.6,0.3,1,0.3,0.846153124141 
29,l,r,0.6,0.3,0.55,0,1,0.3,1.74899824052 
30,l,r,0.9,0.3,0.65,0,1,0.6,0.836734110508 
31,r,l,0.65,0,0.4,0.3,2,0.1,0.980537366311 
32,r,l,0.3,0,0.6,0.3,2,0.3,1.64542620855 
33,r,l,0.6,0,0.3,0.3,1,0.0,1.96225994891 
34,l,r,0.9,0.3,0.5,0,1,0.6,1.18602221278 
35,r,l,0.55,0,0.1,0.3,2,-0.2,1.24979137122 
36,r,l,0.55,0,0.5,0.3,1,0.2,1.39161457347 
37,r,l,0.6,0,0.01,0.3,2,-0.29,0.983433850596 
38,l,r,0.2,0.3,0.5,0,1,-0.1,1.2322631402 
39,r,l,0.1,0,0.01,0.3,2,-0.29,1.09510870029 
40,l,r,0.5,0.3,0.65,0,2,0.2,1.39495391394 
41,r,l,0.4,0,0.65,0.3,1,0.35,0.898733550751 
42,l,r,0.1,0.3,0.2,0,2,-0.2,1.11858178504 
43,l,r,0.01,0.3,0.7,0,2,-0.29,1.34553065094 
44,r,l,0.4,0,0.1,0.3,1,-0.2,0.915222904283 
45,l,r,0.55,0.3,0.1,0,1,0.25,0.839119902247 
