# Time : Tue Feb 28 13:54:19 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S08SBn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x059D95F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0575A940> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.1,0,0.3,0.3,2,0.0,1.31434043439 
1,l,r,0.1,0.3,0.4,0,2,-0.2,1.0930940886 
2,l,r,0.2,0.3,0.01,0,2,-0.1,1.5528632914 
3,l,r,0.55,0.3,0.1,0,1,0.25,0.837247789559 
4,l,r,0.65,0.3,0.7,0,1,0.35,0.944517969381 
5,r,l,0.4,0,0.3,0.3,1,0.0,0.883382056047 
6,l,r,0.3,0.3,0.9,0,2,0.0,0.896212086305 
7,r,l,0.5,0,0.4,0.3,1,0.1,1.17303261777 
8,l,r,0.5,0.3,0.1,0,1,0.2,1.02199305765 
9,l,r,0.55,0.3,0.55,0,2,0.25,0.884779740908 
10,r,l,0.2,0,0.9,0.3,1,0.6,0.837720084168 
11,r,l,0.2,0,0.55,0.3,1,0.25,0.837790480384 
12,l,r,0.7,0.3,0.4,0,1,0.4,0.918237568882 
13,l,r,0.9,0.3,0.6,0,1,0.6,0.837642435009 
14,l,r,0.5,0.3,0.3,0,2,0.2,0.897010336724 
15,l,r,0.65,0.3,0.1,0,1,0.35,1.15675829267 
16,l,r,0.01,0.3,0.7,0,1,-0.29,1.0547452169 
17,l,r,0.3,0.3,0.55,0,2,0.0,0.836786587686 
18,r,l,0.1,0,0.4,0.3,1,0.1,1.69132752757 
19,r,l,0.01,0,0.7,0.3,1,0.4,0.894124945176 
20,l,r,0.2,0.3,0.1,0,2,-0.1,0.83605617362 
21,r,l,0.65,0,0.65,0.3,1,0.35,0.837030201256 
22,r,l,0.3,0,0.7,0.3,1,0.4,1.10367911954 
23,r,l,0.3,0,0.9,0.3,1,0.6,1.0195300434 
24,r,l,0.3,0,0.4,0.3,1,0.1,1.0262735742 
25,r,l,0.7,0,0.3,0.3,2,0.0,0.836309173352 
26,r,l,0.2,0,0.55,0.3,1,0.25,0.912166001956 
27,r,l,0.7,0,0.3,0.3,1,0.0,1.13183333931 
28,r,l,0.01,0,0.1,0.3,1,-0.2,1.16665557393 
29,r,l,0.5,0,0.9,0.3,1,0.6,1.12847693308 
30,l,r,0.7,0.3,0.2,0,1,0.4,1.47530244774 
31,l,r,0.5,0.3,0.4,0,2,0.2,0.887199664146 
32,r,l,0.5,0,0.65,0.3,1,0.35,0.899969964281 
33,r,l,0.65,0,0.55,0.3,2,0.25,1.88001925017 
34,l,r,0.3,0.3,0.55,0,2,0.0,0.836663287648 
35,l,r,0.1,0.3,0.55,0,2,-0.2,0.836842478015 
36,r,l,0.9,0,0.1,0.3,2,-0.2,0.835903435165 
37,l,r,0.6,0.3,0.65,0,2,0.3,0.895170648959 
38,r,l,0.3,0,0.5,0.3,1,0.2,1.41203715555 
39,l,r,0.4,0.3,0.3,0,2,0.1,0.898812053197 
40,r,l,0.65,0,0.6,0.3,2,0.3,0.959722271997 
41,r,l,0.1,0,0.55,0.3,1,0.25,1.80145622038 
42,r,l,0.01,0,0.01,0.3,2,-0.29,0.896266696702 
43,l,r,0.5,0.3,0.65,0,2,0.2,0.885141108147 
44,r,l,0.7,0,0.4,0.3,1,0.1,0.856962996336 
45,l,r,0.9,0.3,0.9,0,1,0.6,1.56681283481 
46,r,l,0.2,0,0.01,0.3,2,-0.29,1.76758113484 
47,r,l,0.4,0,0.1,0.3,2,-0.2,1.76737762578 
48,l,r,0.2,0.3,0.9,0,1,-0.1,1.44018668223 
49,r,l,0.6,0,0.6,0.3,1,0.3,0.83613510271 
50,l,r,0.01,0.3,0.2,0,2,-0.29,0.836257549461 
51,l,r,0.1,0.3,0.6,0,1,-0.2,0.858713515561 
52,l,r,0.6,0.3,0.7,0,1,0.3,1.06454095694 
53,l,r,0.7,0.3,0.5,0,1,0.4,1.40635511435 
54,r,l,0.4,0,0.01,0.3,2,-0.29,0.837283627632 
55,l,r,0.01,0.3,0.4,0,2,-0.29,0.964171312817 
56,r,l,0.6,0,0.5,0.3,1,0.2,0.837432526294 
57,l,r,0.2,0.3,0.55,0,2,-0.1,1.22076765153 
58,r,l,0.5,0,0.65,0.3,1,0.35,1.49857330337 
59,l,r,0.4,0.3,0.2,0,1,0.1,1.18239744765 
60,l,r,0.6,0.3,0.01,0,2,0.3,1.05515948796 
61,r,l,0.65,0,0.4,0.3,2,0.1,0.957094146619 
62,l,r,0.2,0.3,0.65,0,1,-0.1,1.31896311921 
63,l,r,0.1,0.3,0.9,0,2,-0.2,1.0417509288 
64,r,l,0.55,0,0.2,0.3,2,-0.1,1.27157708002 
65,l,r,0.65,0.3,0.01,0,1,0.35,0.892396611425 
66,l,r,0.6,0.3,0.55,0,1,0.3,0.977171147279 
67,r,l,0.3,0,0.2,0.3,2,-0.1,1.19402988895 
68,r,l,0.6,0,0.55,0.3,1,0.25,0.897908421777 
69,r,l,0.9,0,0.65,0.3,1,0.35,1.0626556183 
70,r,l,0.6,0,0.5,0.3,1,0.2,1.29256496504 
71,l,r,0.9,0.3,0.5,0,1,0.6,1.05544320604 
72,r,l,0.6,0,0.01,0.3,2,-0.29,1.14915422147 
73,r,l,0.5,0,0.6,0.3,1,0.3,1.07103831431 
74,r,l,0.01,0,0.7,0.3,1,0.4,0.892908583901 
