# Time : Wed Feb 29 15:44:37 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S09CL_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x052395F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05239D50> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.5,0.3,0.7,0,2,0.2,0.837071000893 
1,l,l,0.65,0,0.7,0.3,1,0.4,0.861423294478 
2,r,r,0.1,0.3,0.3,0,2,-0.2,0.836062419418 
3,r,r,0.6,0.3,0.6,0,2,0.3,0.83615670728 
4,l,l,0.01,0,0.9,0.3,1,0.6,0.837250190496 
5,l,l,0.65,0,0.7,0.3,1,0.4,0.837288588268 
6,r,l,0.5,0,0.6,0.3,2,0.3,0.838725091579 
7,l,l,0.5,0,0.55,0.3,1,0.25,0.853649452234 
8,r,l,0.01,0,0.4,0.3,2,0.1,0.836459196394 
9,l,r,0.55,0.3,0.9,0,2,0.25,1.05023239185 
10,l,l,0.4,0,0.55,0.3,2,0.25,0.837010417742 
11,l,l,0.5,0,0.4,0.3,2,0.1,0.836175479524 
12,r,r,0.1,0.3,0.6,0,2,-0.2,0.837187900777 
13,r,r,0.9,0.3,0.2,0,1,0.6,0.837387142549 
14,l,l,0.1,0,0.4,0.3,2,0.1,0.837412314421 
15,l,r,0.3,0.3,0.2,0,2,0.0,0.842316563178 
16,l,r,0.2,0.3,0.9,0,2,-0.1,0.837712670326 
17,l,l,0.4,0,0.4,0.3,2,0.1,0.84002080306 
18,r,r,0.3,0.3,0.55,0,2,0.0,0.836013355598 
19,l,l,0.01,0,0.2,0.3,2,-0.1,0.836976286389 
20,r,l,0.7,0,0.2,0.3,2,-0.1,0.867509767967 
21,r,r,0.65,0.3,0.3,0,2,0.35,0.836761258867 
22,l,l,0.65,0,0.4,0.3,2,0.1,0.836865786135 
23,r,r,0.6,0.3,0.65,0,1,0.3,0.836892237933 
24,r,l,0.6,0,0.65,0.3,2,0.35,0.836991645498 
25,l,l,0.2,0,0.5,0.3,2,0.2,0.836091431068 
26,r,r,0.01,0.3,0.7,0,2,-0.29,0.837105558888 
27,l,l,0.5,0,0.1,0.3,2,-0.2,0.837251470421 
28,l,l,0.5,0,0.3,0.3,2,0.0,0.836481381774 
29,l,l,0.1,0,0.55,0.3,1,0.25,0.837494229668 
30,r,l,0.01,0,0.55,0.3,2,0.25,0.836853413519 
31,l,r,0.1,0.3,0.2,0,2,-0.2,0.836783870888 
32,l,l,0.65,0,0.3,0.3,2,0.0,0.836843600755 
33,r,r,0.2,0.3,0.01,0,2,-0.1,0.836067965763 
34,l,r,0.01,0.3,0.9,0,2,-0.29,1.19236430441 
35,l,l,0.4,0,0.01,0.3,2,-0.29,0.836034687694 
36,r,l,0.55,0,0.9,0.3,1,0.6,0.837061188129 
37,r,l,0.7,0,0.65,0.3,1,0.35,1.10992727462 
38,r,l,0.6,0,0.6,0.3,1,0.3,1.16174720102 
39,l,l,0.1,0,0.55,0.3,2,0.25,0.836035114336 
40,l,l,0.6,0,0.7,0.3,1,0.4,0.837024070283 
41,r,r,0.5,0.3,0.1,0,1,0.2,0.920453042511 
42,l,l,0.65,0,0.5,0.3,2,0.2,1.10704274867 
43,r,r,0.7,0.3,0.4,0,1,0.4,0.836278726866 
44,l,l,0.55,0,0.6,0.3,2,0.3,0.836828241647 
45,r,l,0.55,0,0.5,0.3,2,0.2,1.90060267436 
46,l,l,0.65,0,0.55,0.3,2,0.25,0.836873039047 
47,l,l,0.2,0,0.2,0.3,2,-0.1,0.836819708808 
48,r,l,0.3,0,0.5,0.3,2,0.2,0.836911010177 
49,l,l,0.5,0,0.5,0.3,2,0.2,0.837081240299 
50,l,r,0.5,0.3,0.6,0,2,0.2,0.837190033986 
51,r,r,0.2,0.3,0.2,0,2,-0.1,0.836943434962 
52,l,l,0.6,0,0.5,0.3,2,0.2,0.904437758492 
53,l,r,0.65,0.3,0.55,0,1,0.35,1.68425042856 
54,l,l,0.4,0,0.55,0.3,1,0.25,0.8364114125 
55,l,l,0.9,0,0.55,0.3,1,0.25,0.910931248363 
56,r,r,0.55,0.3,0.7,0,1,0.25,0.836363628607 
57,r,l,0.55,0,0.3,0.3,2,0.0,0.985516787079 
58,l,l,0.3,0,0.6,0.3,2,0.3,0.865384664613 
59,l,l,0.4,0,0.9,0.3,1,0.6,0.836696835938 
60,l,r,0.9,0.3,0.9,0,1,0.6,0.836822695302 
61,l,l,0.55,0,0.7,0.3,1,0.4,0.836832934708 
62,r,r,0.4,0.3,0.3,0,1,0.1,0.837010417742 
63,l,l,0.4,0,0.3,0.3,2,0.0,0.836160120415 
64,r,r,0.5,0.3,0.7,0,2,0.2,0.837173821594 
65,r,r,0.65,0.3,0.2,0,1,0.35,0.837380316278 
66,r,r,0.1,0.3,0.6,0,2,-0.2,0.836470715726 
67,l,l,0.55,0,0.55,0.3,1,0.25,0.837566332151 
68,r,r,0.2,0.3,0.9,0,2,-0.1,0.836708781912 
69,r,r,0.65,0.3,0.01,0,1,0.35,0.836798803355 
70,l,l,0.65,0,0.01,0.3,2,-0.29,0.835921200946 
71,r,r,0.1,0.3,0.1,0,2,-0.2,0.836958367429 
72,r,r,0.01,0.3,0.65,0,2,-0.29,0.836152440861 
73,l,l,0.2,0,0.7,0.3,1,0.4,0.83630176553 
74,l,l,0.01,0,0.5,0.3,2,0.2,0.837225445265 
75,r,r,0.6,0.3,0.6,0,2,0.3,0.836520632829 
76,l,l,0.3,0,0.55,0.3,1,0.25,0.837538173785 
77,r,r,0.6,0.3,0.1,0,1,0.3,0.836713474973 
78,l,l,0.1,0,0.5,0.3,2,0.2,0.836858959864 
79,l,r,0.9,0.3,0.65,0,1,0.6,0.836835494559 
80,l,l,0.55,0,0.3,0.3,2,0.0,0.836993778708 
81,l,l,0.6,0,0.01,0.3,2,-0.29,0.987998989712 
82,l,l,0.3,0,0.65,0.3,2,0.35,0.837488683323 
83,l,l,0.65,0,0.3,0.3,2,0.0,0.836725847588 
84,l,r,0.55,0.3,0.7,0,1,0.25,1.57037927613 
85,l,l,0.9,0,0.1,0.3,2,-0.2,0.837231418252 
86,l,r,0.7,0.3,0.2,0,1,0.4,0.836006529328 
87,l,l,0.1,0,0.2,0.3,2,-0.1,0.836061992776 
88,l,l,0.2,0,0.65,0.3,2,0.35,0.845779615561 
89,r,r,0.5,0.3,0.2,0,1,0.2,0.836747606326 
90,r,r,0.7,0.3,0.6,0,1,0.4,0.836461756246 
91,r,l,0.65,0,0.4,0.3,2,0.1,0.836527885742 
92,l,l,0.4,0,0.5,0.3,1,0.2,0.836617053901 
93,r,r,0.6,0.3,0.01,0,2,0.3,0.83673523371 
94,l,r,0.7,0.3,0.5,0,1,0.4,0.837725896225 
95,r,r,0.65,0.3,0.6,0,1,0.35,0.837034309689 
96,r,r,0.6,0.3,0.4,0,2,0.3,0.836104230325 
97,r,l,0.6,0,0.1,0.3,2,-0.2,0.836249288575 
98,r,r,0.7,0.3,0.5,0,1,0.4,0.83717979458 
99,l,l,0.7,0,0.7,0.3,2,0.4,0.837248057286 
100,r,r,0.1,0.3,0.2,0,2,-0.2,0.958945102279 
101,l,l,0.6,0,0.7,0.3,1,0.4,0.837083373509 
102,r,r,0.4,0.3,0.7,0,2,0.1,0.836255261561 
103,r,r,0.01,0.3,0.6,0,2,-0.29,0.836385813986 
104,r,l,0.3,0,0.65,0.3,1,0.35,0.836549644479 
105,r,l,0.65,0,0.9,0.3,1,0.6,1.09810630722 
106,l,l,0.9,0,0.9,0.3,1,0.6,0.836277446941 
107,r,r,0.4,0.3,0.6,0,2,0.1,0.836300912246 
