# Time : Wed Feb 29 15:16:58 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S09CL_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05C1A5F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05AD7260> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.4,0,0.55,0.3,1,0.25,1.16048434096 
1,l,r,0.2,0.3,0.6,0,2,-0.1,0.836123002569 
2,l,l,0.4,0,0.4,0.3,2,0.1,0.836214303938 
3,r,l,0.65,0,0.5,0.3,1,0.2,1.18314243952 
4,r,r,0.6,0.3,0.4,0,1,0.3,0.836486074835 
5,r,r,0.1,0.3,0.2,0,2,-0.2,0.836456209901 
6,l,l,0.7,0,0.01,0.3,2,-0.29,0.836597428373 
7,r,r,0.3,0.3,0.4,0,2,0.0,0.836806909551 
8,l,l,0.6,0,0.5,0.3,2,0.2,0.836915276596 
9,r,r,0.01,0.3,0.3,0,2,-0.29,0.837743388544 
10,l,r,0.65,0.3,0.2,0,1,0.35,0.836058579641 
11,l,r,0.5,0.3,0.01,0,1,0.2,1.03079458643 
12,l,l,0.65,0,0.4,0.3,2,0.1,0.835981784097 
13,l,l,0.65,0,0.5,0.3,1,0.2,0.836072658824 
14,r,r,0.6,0.3,0.7,0,1,0.3,1.01933285151 
15,r,r,0.65,0.3,0.6,0,1,0.35,0.836893091217 
16,r,r,0.01,0.3,0.55,0,2,-0.29,0.836195531694 
17,l,l,0.2,0,0.55,0.3,1,0.25,0.836276167015 
