# Time : Wed Feb 29 14:40:32 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S09Cl_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05B635F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B63D28> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.55,0,0.4,0.3,2,0.1,0.836815015747 
1,l,l,0.9,0,0.6,0.3,1,0.3,1.05867648853 
2,r,r,0.5,0.3,0.6,0,1,0.2,0.983523942717 
3,r,r,0.2,0.3,0.1,0,2,-0.1,0.836170359821 
4,r,l,0.1,0,0.7,0.3,1,0.4,0.83622582327 
5,r,r,0.5,0.3,0.9,0,2,0.2,0.911059667578 
6,l,l,0.4,0,0.7,0.3,1,0.4,0.836271900596 
7,l,l,0.1,0,0.9,0.3,1,0.6,0.836360215471 
8,l,l,0.9,0,0.6,0.3,1,0.3,1.21659799154 
9,r,r,0.01,0.3,0.7,0,2,-0.29,0.836105510251 
10,l,l,0.2,0,0.5,0.3,1,0.2,0.934280080175 
11,l,l,0.1,0,0.7,0.3,1,0.4,0.836638812638 
12,r,r,0.01,0.3,0.7,0,2,-0.29,0.911959455366 
13,r,r,0.65,0.3,0.01,0,1,0.35,0.843797863889 
14,l,l,0.01,0,0.55,0.3,1,0.25,1.13861808979 
