# Time : Wed Feb 29 14:56:10 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S09CL_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05BB0EB8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05A09A58> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.4,0,0.2,0.3,2,-0.1,0.837730589286 
1,l,l,0.6,0,0.5,0.3,2,0.2,0.83691399667 
2,l,l,0.01,0,0.3,0.3,2,0.0,0.83601378224 
3,l,l,0.01,0,0.55,0.3,2,0.25,0.836129402198 
4,r,r,0.01,0.3,0.5,0,2,-0.29,0.836217717073 
5,l,l,0.5,0,0.55,0.3,2,0.25,0.836483088341 
6,r,r,0.65,0.3,0.01,0,2,0.35,0.837282188639 
7,r,l,0.5,0,0.5,0.3,2,0.2,0.91888684006 
8,l,l,0.55,0,0.3,0.3,2,0.0,0.83620363789 
9,r,r,0.5,0.3,0.5,0,2,0.2,0.836291099482 
10,r,r,0.9,0.3,0.1,0,1,0.6,0.836418665413 
11,r,r,0.6,0.3,0.55,0,1,0.3,0.83735386448 
12,r,r,0.9,0.3,0.5,0,1,0.6,0.836663557869 
13,l,l,0.65,0,0.4,0.3,2,0.1,0.836723714379 
14,l,r,0.3,0.3,0.7,0,2,0.0,1.44184316131 
15,r,r,0.4,0.3,0.3,0,2,0.1,1.24764387005 
16,r,r,0.7,0.3,0.9,0,1,0.4,0.836282140002 
17,r,r,0.4,0.3,0.9,0,2,0.1,0.964311404224 
18,r,r,0.6,0.3,0.5,0,1,0.3,0.838267304809 
19,l,r,0.65,0.3,0.1,0,1,0.35,0.83645365005 
20,r,r,0.2,0.3,0.6,0,2,-0.1,0.836558177317 
21,r,r,0.9,0.3,0.01,0,1,0.6,0.836695982654 
22,l,r,0.4,0.3,0.7,0,2,0.1,0.993532961927 
23,l,l,0.65,0,0.65,0.3,2,0.35,1.00935327059 
24,r,r,0.1,0.3,0.5,0,2,-0.2,0.837314186782 
25,r,r,0.7,0.3,0.9,0,2,0.4,0.837396102029 
26,l,l,0.1,0,0.01,0.3,2,-0.29,0.837457111822 
27,l,l,0.6,0,0.4,0.3,2,0.1,0.94172156837 
28,r,r,0.2,0.3,0.6,0,2,-0.1,0.837021510432 
29,r,r,0.55,0.3,0.2,0,2,0.25,0.837048388872 
30,l,l,0.3,0,0.65,0.3,2,0.35,0.836160973699 
31,r,r,0.65,0.3,0.4,0,1,0.35,0.884128323647 
32,r,r,0.5,0.3,0.7,0,2,0.2,0.98603729021 
33,r,r,0.2,0.3,0.55,0,2,-0.1,0.837204113169 
34,r,r,0.2,0.3,0.65,0,2,-0.1,0.836317124638 
35,r,l,0.01,0,0.3,0.3,2,0.0,0.879567094987 
36,r,r,0.9,0.3,0.6,0,1,0.6,0.837016390729 
37,r,r,0.1,0.3,0.01,0,2,-0.2,0.837044975737 
38,r,l,0.5,0,0.5,0.3,2,0.2,0.83628171336 
39,l,l,0.3,0,0.2,0.3,2,-0.1,0.836361495397 
40,r,r,0.01,0.3,0.55,0,2,-0.29,0.836483514983 
41,r,r,0.3,0.3,0.4,0,2,0.0,0.836638812638 
42,l,l,0.1,0,0.6,0.3,1,0.3,1.0535627586 
43,l,r,0.01,0.3,0.1,0,2,-0.29,0.836861946357 
44,r,r,0.6,0.3,0.2,0,1,0.3,0.83604279389 
45,l,l,0.4,0,0.4,0.3,2,0.1,0.836265500967 
46,l,l,0.3,0,0.9,0.3,1,0.6,0.837160595695 
47,r,r,0.4,0.3,0.55,0,2,0.1,0.836362348681 
48,r,l,0.3,0,0.3,0.3,2,0.0,1.12453805347 
49,l,l,0.2,0,0.1,0.3,2,-0.2,0.837480577127 
50,r,l,0.9,0,0.5,0.3,2,0.2,1.32629402625 
51,r,l,0.55,0,0.2,0.3,2,-0.1,0.905023111192 
52,l,l,0.7,0,0.3,0.3,2,0.0,1.57385214127 
53,l,l,0.01,0,0.7,0.3,1,0.4,0.835942959683 
54,r,r,0.5,0.3,0.9,0,2,0.2,0.836015488808 
55,l,l,0.4,0,0.7,0.3,1,0.4,0.836305178665 
56,r,l,0.01,0,0.5,0.3,2,0.2,1.02511726253 
57,r,r,0.9,0.3,0.9,0,1,0.6,1.11202165976 
58,l,l,0.3,0,0.01,0.3,2,-0.29,0.837306080586 
59,l,l,0.6,0,0.9,0.3,1,0.6,0.837429380098 
60,l,l,0.6,0,0.6,0.3,2,0.3,0.837518548257 
61,r,r,0.55,0.3,0.4,0,2,0.25,0.920315663816 
62,r,r,0.2,0.3,0.2,0,2,-0.1,0.836562443737 
63,l,l,0.01,0,0.5,0.3,2,0.2,0.836929355779 
64,l,l,0.55,0,0.7,0.3,1,0.4,0.920898456666 
65,l,l,0.4,0,0.4,0.3,2,0.1,0.836236915959 
66,r,r,0.01,0.3,0.6,0,2,-0.29,0.836401599736 
67,r,r,0.1,0.3,0.9,0,2,-0.2,0.889361939958 
68,r,l,0.9,0,0.65,0.3,2,0.35,0.918221705322 
69,l,l,0.6,0,0.3,0.3,2,0.0,0.836327364044 
70,r,l,0.5,0,0.01,0.3,2,-0.29,0.99191854894 
71,r,l,0.9,0,0.01,0.3,2,-0.29,0.836851706952 
72,l,l,0.7,0,0.55,0.3,2,0.25,0.894677898157 
73,r,r,0.01,0.3,0.7,0,2,-0.29,0.836342296511 
74,r,r,0.9,0.3,0.7,0,1,0.6,0.836312858219 
75,r,r,0.55,0.3,0.1,0,1,0.25,0.83640245302 
76,l,r,0.55,0.3,0.5,0,2,0.25,1.13595541763 
77,r,l,0.5,0,0.55,0.3,2,0.25,1.20181143622 
78,l,r,0.3,0.3,0.1,0,2,0.0,0.977704547064 
79,r,l,0.2,0,0.01,0.3,2,-0.29,0.907466062769 
80,r,r,0.1,0.3,0.1,0,2,-0.2,0.96733501544 
81,l,l,0.2,0,0.7,0.3,2,0.4,1.43319256995 
82,r,r,0.4,0.3,0.1,0,2,0.1,0.837681525467 
83,r,r,0.7,0.3,0.55,0,2,0.4,0.835945519535 
84,l,l,0.9,0,0.4,0.3,2,0.1,1.47662898281 
85,r,r,0.55,0.3,0.01,0,1,0.25,1.09749492936 
86,l,l,0.2,0,0.5,0.3,2,0.2,0.836518072978 
87,l,r,0.01,0.3,0.5,0,2,-0.29,1.59613266174 
88,r,r,0.55,0.3,0.1,0,1,0.25,1.82693953546 
89,l,l,0.7,0,0.5,0.3,2,0.2,1.2717606573 
90,l,l,0.4,0,0.2,0.3,2,-0.1,1.30853377681 
91,l,l,0.55,0,0.1,0.3,2,-0.2,0.836186572214 
92,l,r,0.6,0.3,0.9,0,1,0.3,2.15828670848 
93,l,r,0.3,0.3,0.7,0,2,0.0,1.01403993198 
94,l,r,0.65,0.3,0.1,0,2,0.35,0.835916081243 
95,r,l,0.55,0,0.5,0.3,2,0.2,0.915692572079 
96,l,l,0.1,0,0.01,0.3,2,-0.29,0.835965571704 
97,r,r,0.4,0.3,0.01,0,2,0.1,0.836107216819 
98,r,l,0.3,0,0.7,0.3,1,0.4,0.837094039557 
99,r,l,0.65,0,0.65,0.3,1,0.35,1.98007368959 
100,l,l,0.6,0,0.5,0.3,2,0.2,0.836135801827 
101,l,l,0.01,0,0.7,0.3,1,0.4,0.836241182378 
102,r,r,0.01,0.3,0.65,0,2,-0.29,0.836459623036 
103,r,r,0.65,0.3,0.6,0,1,0.35,0.836537271864 
104,l,l,0.1,0,0.4,0.3,2,0.1,0.857125730518 
105,l,l,0.5,0,0.3,0.3,2,0.0,0.836471142368 
106,r,r,0.01,0.3,0.2,0,2,-0.29,0.836667397646 
107,r,l,0.9,0,0.6,0.3,2,0.3,1.19664010963 
108,l,l,0.01,0,0.9,0.3,1,0.6,0.836557324034 
109,l,l,0.01,0,0.1,0.3,2,-0.2,0.837517268331 
110,l,l,0.65,0,0.4,0.3,2,0.1,0.858246092173 
111,r,r,0.1,0.3,0.65,0,2,-0.2,0.837460098315 
112,r,r,0.5,0.3,0.4,0,2,0.2,0.836686596532 
113,l,r,0.1,0.3,0.6,0,2,-0.2,0.86868090001 
114,l,l,0.55,0,0.7,0.3,2,0.4,0.922600757887 
115,l,l,0.55,0,0.5,0.3,2,0.2,1.15743129145 
116,l,l,0.65,0,0.3,0.3,2,0.0,0.959227112581 
117,r,r,0.7,0.3,0.2,0,1,0.4,0.837280482071 
118,l,l,0.65,0,0.01,0.3,2,-0.29,0.837567612077 
119,l,l,0.4,0,0.5,0.3,2,0.2,1.1587918525 
120,l,l,0.9,0,0.9,0.3,1,0.6,1.34364341952 
121,r,r,0.6,0.3,0.9,0,2,0.3,0.837127317626 
122,r,r,0.01,0.3,0.3,0,2,-0.29,0.837341918506 
123,l,r,0.01,0.3,0.1,0,2,-0.29,0.919052803763 
124,r,r,0.65,0.3,0.7,0,1,0.35,0.836168653254 
125,l,l,0.1,0,0.1,0.3,2,-0.2,0.836372588087 
126,r,r,0.7,0.3,0.6,0,1,0.4,0.837270242665 
127,l,l,0.55,0,0.2,0.3,2,-0.1,0.83653855179 
128,l,l,0.4,0,0.2,0.3,2,-0.1,0.837571878496 
129,r,r,0.1,0.3,0.6,0,2,-0.2,0.836718168034 
130,l,l,0.7,0,0.5,0.3,2,0.2,1.13899950766 
131,r,r,0.6,0.3,0.4,0,2,0.3,0.837461804883 
132,l,l,0.65,0,0.01,0.3,2,-0.29,0.875715371823 
133,r,r,0.9,0.3,0.2,0,1,0.6,0.836216863789 
134,r,r,0.5,0.3,0.2,0,2,0.2,0.837213925933 
135,r,r,0.6,0.3,0.01,0,1,0.3,1.13422197155 
136,r,r,0.4,0.3,0.65,0,2,0.1,1.06606592641 
137,r,r,0.65,0.3,0.2,0,1,0.35,0.86307439867 
138,r,l,0.5,0,0.01,0.3,2,-0.29,1.70974356261 
139,l,l,0.3,0,0.3,0.3,2,0.0,0.951524092895 
140,r,r,0.1,0.3,0.2,0,2,-0.2,1.00136866725 
141,r,l,0.6,0,0.6,0.3,2,0.3,0.865208461504 
142,l,l,0.9,0,0.3,0.3,2,0.0,0.836527032458 
143,l,l,0.1,0,0.7,0.3,1,0.4,0.836564576946 
144,r,r,0.6,0.3,0.55,0,1,0.3,0.836732247217 
145,r,l,0.7,0,0.2,0.3,2,-0.1,0.836929782421 
146,r,r,0.2,0.3,0.6,0,2,-0.1,1.17046392188 
147,l,l,0.4,0,0.6,0.3,1,0.3,1.4502821383 
148,r,l,0.7,0,0.3,0.3,2,0.0,0.888131504689 
149,r,r,0.65,0.3,0.1,0,1,0.35,0.836682330113 
150,r,r,0.55,0.3,0.65,0,2,0.25,0.836928929137 
151,l,l,0.4,0,0.4,0.3,2,0.1,0.836140921529 
152,r,r,0.65,0.3,0.7,0,1,0.35,0.8453504138 
153,r,l,0.2,0,0.1,0.3,2,-0.2,0.837283468565 
154,r,r,0.65,0.3,0.4,0,1,0.35,0.837484843546 
155,r,l,0.65,0,0.9,0.3,1,0.6,0.837566332151 
156,r,r,0.01,0.3,0.01,0,2,-0.29,0.835771022993 
157,r,r,0.7,0.3,0.9,0,2,0.4,1.48666061404 
158,r,r,0.2,0.3,0.5,0,2,-0.1,0.837272375875 
159,r,r,0.1,0.3,0.65,0,2,-0.2,1.35323603622 
160,r,r,0.2,0.3,0.7,0,2,-0.1,0.83723781788 
161,l,l,0.01,0,0.7,0.3,1,0.4,0.837383729413 
162,l,l,0.65,0,0.1,0.3,2,-0.2,0.836553057615 
163,l,r,0.7,0.3,0.3,0,1,0.4,0.836653318463 
164,r,r,0.5,0.3,0.3,0,2,0.2,0.836806056267 
165,r,r,0.6,0.3,0.5,0,2,0.3,0.836789417233 
166,l,r,0.9,0.3,0.3,0,1,0.6,0.836959220713 
167,l,l,0.3,0,0.7,0.3,2,0.4,0.837100865827 
168,r,r,0.6,0.3,0.65,0,2,0.3,0.837204539811 
169,l,l,0.2,0,0.3,0.3,2,0.0,0.837281335355 
170,r,r,0.65,0.3,0.01,0,1,0.35,0.836471995652 
171,r,r,0.2,0.3,0.3,0,2,-0.1,0.836667397646 
172,l,l,0.9,0,0.6,0.3,2,0.3,0.83673736692 
173,l,r,0.4,0.3,0.55,0,2,0.1,1.06613546905 
174,l,r,0.6,0.3,0.65,0,2,0.3,1.15908154236 
175,r,r,0.1,0.3,0.6,0,2,-0.2,0.83751257527 
176,r,l,0.5,0,0.6,0.3,2,0.3,1.03968580383 
177,r,r,0.7,0.3,0.01,0,2,0.4,0.837568038719 
178,l,l,0.55,0,0.55,0.3,2,0.25,0.836314138145 
179,l,r,0.65,0.3,0.5,0,1,0.35,0.836469862442 
180,r,r,0.2,0.3,0.1,0,2,-0.1,0.836524045965 
181,l,l,0.7,0,0.1,0.3,2,-0.2,0.836653745105 
182,r,r,0.1,0.3,0.1,0,2,-0.2,0.836713048331 
183,r,r,0.65,0.3,0.2,0,1,0.35,0.83588194989 
184,r,l,0.55,0,0.2,0.3,2,-0.1,1.11637938023 
185,r,l,0.6,0,0.3,0.3,2,0.0,1.02423070064 
186,r,r,0.4,0.3,0.4,0,2,0.1,0.837175954803 
187,l,l,0.1,0,0.9,0.3,1,0.6,0.836362348681 
188,r,l,0.2,0,0.4,0.3,2,0.1,0.83726000326 
189,r,r,0.55,0.3,0.3,0,1,0.25,0.836535138654 
190,l,l,0.4,0,0.2,0.3,2,-0.1,0.836638385997 
191,r,l,0.7,0,0.3,0.3,2,0.0,1.72126972046 
192,r,r,0.9,0.3,0.2,0,1,0.6,0.836970313403 
193,l,r,0.6,0.3,0.5,0,2,0.3,0.836274460447 
194,l,l,0.01,0,0.6,0.3,1,0.3,0.837143103376 
195,l,r,0.2,0.3,0.55,0,2,-0.1,1.02277670501 
196,r,r,0.7,0.3,0.4,0,1,0.4,0.836249288575 
197,l,l,0.65,0,0.6,0.3,2,0.3,0.83644938363 
198,r,r,0.55,0.3,0.2,0,1,0.25,0.931152368332 
199,r,l,0.55,0,0.9,0.3,1,0.6,0.836097830697 
200,r,r,0.9,0.3,0.01,0,1,0.6,0.83708806657 
201,r,r,0.4,0.3,0.6,0,2,0.1,0.836987805721 
202,r,r,0.9,0.3,0.3,0,1,0.6,0.836844027397 
203,l,l,0.6,0,0.1,0.3,2,-0.2,0.83609868398 
204,l,l,0.4,0,0.1,0.3,2,-0.2,0.836229236405 
205,r,l,0.9,0,0.55,0.3,2,0.25,0.926943545889 
206,r,r,0.65,0.3,0.4,0,1,0.35,0.836007382612 
207,r,l,0.7,0,0.9,0.3,2,0.6,1.01667700562 
208,l,l,0.6,0,0.9,0.3,1,0.6,0.944432877708 
209,r,l,0.4,0,0.01,0.3,2,-0.29,1.09927999911 
210,r,r,0.6,0.3,0.3,0,1,0.3,1.55911166328 
211,l,l,0.7,0,0.65,0.3,2,0.35,0.836627293307 
212,l,r,0.01,0.3,0.65,0,2,-0.29,0.958781698427 
213,l,r,0.3,0.3,0.4,0,2,0.0,0.836684463323 
214,l,r,0.3,0.3,0.5,0,2,0.0,0.83680221649 
215,l,l,0.7,0,0.65,0.3,2,0.35,1.03827575232 
216,r,r,0.4,0.3,0.9,0,2,0.1,0.836418665413 
217,l,r,0.65,0.3,0.6,0,2,0.35,1.21096674497 
218,r,r,0.01,0.3,0.65,0,2,-0.29,0.836076498601 
219,l,l,0.3,0,0.1,0.3,2,-0.2,0.83630176553 
220,l,r,0.2,0.3,0.2,0,2,-0.1,1.35150429671 
221,l,l,0.1,0,0.3,0.3,2,0.0,0.922351172369 
222,l,r,0.1,0.3,0.01,0,2,-0.2,0.83644938363 
223,l,r,0.7,0.3,0.2,0,1,0.4,0.844055128961 
224,l,r,0.5,0.3,0.55,0,2,0.2,0.836577802845 
225,r,r,0.55,0.3,0.6,0,2,0.25,0.849653950747 
226,l,l,0.5,0,0.55,0.3,2,0.25,0.879552589162 
227,l,l,0.55,0,0.4,0.3,2,0.1,0.893445329679 
228,r,r,0.5,0.3,0.1,0,2,0.2,0.837444739207 
229,r,r,0.7,0.3,0.4,0,1,0.4,0.889091022345 
230,r,l,0.9,0,0.1,0.3,2,-0.2,1.70104988041 
231,l,r,0.5,0.3,0.7,0,2,0.2,1.92870344377 
