# Time : Wed Feb 29 15:30:01 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S09CL_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05B90B98> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B905F8> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.5,0,0.65,0.3,1,0.35,5.74935939717 
1,l,l,0.2,0,0.9,0.3,1,0.6,0.837797145424 
2,l,l,0.4,0,0.6,0.3,2,0.3,0.844806018723 
3,l,l,0.01,0,0.01,0.3,2,-0.29,0.835914801317 
4,r,r,0.5,0.3,0.6,0,2,0.2,0.836066259195 
5,l,r,0.2,0.3,0.3,0,2,-0.1,1.03239108045 
6,l,l,0.1,0,0.65,0.3,1,0.35,1.34318477946 
7,l,l,0.9,0,0.9,0.3,1,0.6,1.55311649116 
8,r,l,0.3,0,0.65,0.3,2,0.35,1.0337913192 
9,l,l,0.4,0,0.01,0.3,2,-0.29,0.836741206697 
10,r,l,0.1,0,0.4,0.3,2,0.1,1.22454419712 
11,r,r,0.9,0.3,0.1,0,1,0.6,0.836029567991 
12,r,r,0.1,0.3,0.2,0,2,-0.2,0.837048815514 
13,r,r,0.3,0.3,0.6,0,2,0.0,0.837172541668 
14,l,l,0.55,0,0.3,0.3,2,0.0,0.836361922039 
15,l,l,0.5,0,0.4,0.3,2,0.1,0.837392262252 
16,l,r,0.4,0.3,0.2,0,1,0.1,1.25659993703 
17,l,r,0.2,0.3,0.01,0,2,-0.1,0.861431827316 
18,r,l,0.01,0,0.01,0.3,2,-0.29,0.837076120596 
19,r,r,0.5,0.3,0.9,0,2,0.2,0.837251470421 
20,r,l,0.3,0,0.7,0.3,1,0.4,0.840898405469 
21,l,r,0.5,0.3,0.01,0,2,0.2,0.855897428459 
22,l,l,0.55,0,0.7,0.3,1,0.4,0.837373490008 
23,l,l,0.7,0,0.55,0.3,2,0.25,0.837272375875 
24,l,l,0.9,0,0.2,0.3,2,-0.1,0.837389275758 
25,l,l,0.5,0,0.2,0.3,2,-0.1,0.836600414867 
26,l,r,0.9,0.3,0.9,0,2,0.6,2.40097214626 
27,r,r,0.7,0.3,0.65,0,1,0.4,0.836179319301 
28,l,l,0.2,0,0.01,0.3,2,-0.29,0.836324377551 
29,l,r,0.2,0.3,0.5,0,2,-0.1,0.837408474644 
30,l,l,0.1,0,0.55,0.3,1,0.25,1.14635310762 
31,r,r,0.65,0.3,0.01,0,1,0.35,0.836246302081 
32,r,l,0.01,0,0.7,0.3,1,0.4,0.836504420437 
33,l,l,0.5,0,0.7,0.3,1,0.4,1.28998850627 
34,r,l,0.4,0,0.1,0.3,2,-0.2,1.10967000955 
35,l,r,0.6,0.3,0.01,0,2,0.3,1.0816319565 
36,r,l,0.5,0,0.65,0.3,2,0.35,1.72638302375 
37,l,l,0.01,0,0.55,0.3,2,0.25,0.911156515291 
38,l,l,0.6,0,0.9,0.3,1,0.6,0.837018523938 
39,l,l,0.55,0,0.3,0.3,2,0.0,0.836277020299 
40,l,l,0.6,0,0.65,0.3,1,0.35,0.837232698177 
41,l,l,0.55,0,0.5,0.3,2,0.2,1.01561850704 
42,r,r,0.4,0.3,0.1,0,2,0.1,0.837469911079 
43,l,l,0.4,0,0.65,0.3,1,0.35,0.836719874601 
44,l,r,0.7,0.3,0.9,0,1,0.4,0.933047938338 
45,r,r,0.9,0.3,0.65,0,1,0.6,0.837265122962 
46,r,r,0.5,0.3,0.2,0,1,0.2,0.837448578984 
47,r,r,0.1,0.3,0.3,0,2,-0.2,0.837536040575 
48,r,l,0.3,0,0.01,0.3,2,-0.29,0.868517496158 
49,r,r,0.7,0.3,0.3,0,1,0.4,0.837186620851 
50,r,r,0.2,0.3,0.01,0,2,-0.1,0.837311200289 
51,l,l,0.2,0,0.4,0.3,2,0.1,0.836912290103 
52,r,r,0.65,0.3,0.4,0,1,0.35,0.836093990919 
53,l,l,0.7,0,0.01,0.3,2,-0.29,0.8362505685 
54,l,l,0.6,0,0.7,0.3,1,0.4,0.83730693387 
55,l,r,0.7,0.3,0.5,0,1,0.4,0.837368796947 
56,l,l,0.55,0,0.65,0.3,2,0.35,0.836975006464 
57,r,l,0.6,0,0.4,0.3,2,0.1,1.53399482739 
58,l,l,0.1,0,0.4,0.3,2,0.1,0.836566283514 
59,l,l,0.01,0,0.65,0.3,2,0.35,0.836691716235 
60,l,l,0.9,0,0.5,0.3,2,0.2,0.836798376713 
61,r,l,0.6,0,0.7,0.3,1,0.4,1.26720582827 
62,l,l,0.6,0,0.1,0.3,2,-0.2,0.835871283842 
63,r,r,0.9,0.3,0.65,0,1,0.6,0.837004444755 
64,l,l,0.5,0,0.1,0.3,2,-0.2,0.836102523758 
65,r,r,0.3,0.3,0.9,0,2,0.0,1.01366406045 
66,r,l,0.55,0,0.1,0.3,2,-0.2,1.22140197945 
67,l,l,0.01,0,0.01,0.3,2,-0.29,0.837595770443 
68,r,r,0.9,0.3,0.65,0,1,0.6,0.837712670326 
69,l,l,0.2,0,0.65,0.3,1,0.35,0.836848720458 
70,r,r,0.5,0.3,0.01,0,2,0.2,0.836930635705 
71,l,l,0.01,0,0.3,0.3,2,0.0,0.83699207214 
72,l,l,0.4,0,0.5,0.3,1,0.2,0.94153853899 
73,r,r,0.4,0.3,0.3,0,2,0.1,0.837430233382 
74,r,r,0.55,0.3,0.7,0,2,0.25,0.836726700872 
75,r,l,0.9,0,0.4,0.3,2,0.1,1.30203559388 
76,l,r,0.3,0.3,0.5,0,2,0.0,0.836829948214 
