# Time : Wed Feb 29 14:32:56 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S09CLn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05B145F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B14D50> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.1,0.3,0.55,0,2,-0.2,0.836502287227 
1,l,r,0.4,0.3,0.9,0,2,0.1,0.907181492615 
2,r,l,0.65,0,0.01,0.3,2,-0.29,0.836538978432 
3,r,l,0.1,0,0.3,0.3,2,0.0,1.14188872667 
4,l,r,0.65,0.3,0.1,0,2,0.35,0.836533858729 
5,l,r,0.4,0.3,0.4,0,2,0.1,0.836571829859 
6,r,l,0.3,0,0.3,0.3,2,0.0,1.10942341052 
7,l,r,0.9,0.3,0.65,0,1,0.6,0.83600695597 
8,r,l,0.3,0,0.2,0.3,2,-0.1,0.836128122272 
9,l,r,0.7,0.3,0.7,0,1,0.4,0.997944012635 
10,r,l,0.9,0,0.6,0.3,2,0.3,0.89478797177 
11,r,l,0.5,0,0.65,0.3,1,0.35,0.836863226283 
12,r,l,0.1,0,0.5,0.3,2,0.2,1.04945803678 
13,l,r,0.5,0.3,0.2,0,1,0.2,1.6403050319 
14,l,r,0.1,0.3,0.4,0,2,-0.2,0.836342296511 
15,r,l,0.6,0,0.65,0.3,2,0.35,0.987933286858 
16,r,l,0.55,0,0.7,0.3,2,0.4,0.837015110803 
17,r,l,0.65,0,0.65,0.3,2,0.35,0.836040660681 
18,l,r,0.9,0.3,0.01,0,1,0.6,0.836113616447 
19,l,r,0.3,0.3,0.6,0,2,0.0,0.837098305976 
20,l,r,0.4,0.3,0.7,0,2,0.1,0.83643359788 
21,r,l,0.01,0,0.4,0.3,2,0.1,0.934089371241 
22,r,l,0.4,0,0.7,0.3,2,0.4,0.836963487132 
