# Time : Wed Feb 29 14:28:39 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S09CLn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05B50B98> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B505F8> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.9,0,0.65,0.3,1,0.35,1.10137651746 
1,r,l,0.01,0,0.55,0.3,1,0.25,1.14525407806 
2,l,r,0.6,0.3,0.6,0,2,0.3,0.835976664394 
3,r,l,0.1,0,0.7,0.3,1,0.4,0.83606284606 
4,l,r,0.55,0.3,0.55,0,1,0.25,0.83627958015 
5,r,l,0.9,0,0.4,0.3,1,0.1,1.8235643713 
6,r,l,0.3,0,0.5,0.3,1,0.2,0.83774040205 
7,r,l,0.2,0,0.5,0.3,1,0.2,0.851291829039 
8,l,r,0.1,0.3,0.55,0,2,-0.2,1.01012762566 
9,l,r,0.5,0.3,0.9,0,1,0.2,1.13695759947 
10,r,l,0.2,0,0.6,0.3,1,0.3,0.836624306814 
11,l,r,0.5,0.3,0.65,0,1,0.2,0.836696409296 
12,r,l,0.3,0,0.3,0.3,2,0.0,1.00144460951 
13,l,r,0.6,0.3,0.3,0,1,0.3,1.07328726738 
14,l,r,0.6,0.3,0.1,0,1,0.3,0.836224116702 
15,r,l,0.01,0,0.65,0.3,1,0.35,0.852975358017 
16,r,l,0.55,0,0.2,0.3,1,-0.1,1.06682193588 
17,r,l,0.3,0,0.2,0.3,2,-0.1,0.865631690278 
18,r,l,0.1,0,0.7,0.3,1,0.4,0.837455405254 
19,r,l,0.1,0,0.5,0.3,1,0.2,0.837498496087 
20,r,l,0.4,0,0.2,0.3,1,-0.1,0.909224254081 
21,l,r,0.55,0.3,0.1,0,1,0.25,0.837534334008 
22,r,l,0.7,0,0.55,0.3,1,0.25,0.836780884395 
23,r,l,0.65,0,0.3,0.3,1,0.0,1.08674355323 
24,r,l,0.65,0,0.2,0.3,2,-0.1,0.837460951599 
25,l,r,0.5,0.3,0.7,0,1,0.2,1.01744154793 
26,r,l,0.2,0,0.2,0.3,2,-0.1,1.27323854488 
27,r,l,0.55,0,0.55,0.3,2,0.25,0.83537936572 
28,l,r,0.1,0.3,0.55,0,1,-0.2,0.988866779357 
29,l,r,0.01,0.3,0.3,0,2,-0.29,0.836913143387 
30,r,l,0.4,0,0.01,0.3,2,-0.29,0.837057774994 
31,r,l,0.4,0,0.01,0.3,2,-0.29,0.83713286397 
32,r,l,0.6,0,0.65,0.3,1,0.35,0.837253176989 
33,l,r,0.1,0.3,0.65,0,2,-0.2,0.836551777689 
34,r,l,0.6,0,0.1,0.3,1,-0.2,0.83663241301 
35,l,r,0.1,0.3,0.6,0,2,-0.2,1.41377822983 
36,r,l,0.6,0,0.7,0.3,1,0.4,0.884648400136 
37,r,l,0.65,0,0.5,0.3,1,0.2,0.873440090516 
38,r,l,0.2,0,0.01,0.3,2,-0.29,0.862294497258 
39,r,l,0.01,0,0.3,0.3,2,0.0,0.852163885104 
40,l,r,0.65,0.3,0.3,0,1,0.35,1.64199368058 
41,l,r,0.3,0.3,0.2,0,1,0.0,1.22376685556 
42,l,r,0.6,0.3,0.1,0,1,0.3,1.02960596206 
43,r,l,0.4,0,0.01,0.3,2,-0.29,2.05242405134 
44,l,r,0.3,0.3,0.55,0,2,0.0,1.29722605963 
45,l,r,0.01,0.3,0.5,0,2,-0.29,0.836116602941 
46,r,l,0.65,0,0.4,0.3,1,0.1,0.836230089689 
47,l,r,0.55,0.3,0.1,0,1,0.25,1.25073531733 
48,l,r,0.65,0.3,0.6,0,1,0.35,1.36055294498 
49,l,r,0.55,0.3,0.5,0,1,0.25,0.945500335767 
50,l,r,0.4,0.3,0.01,0,2,0.1,2.1482576371 
51,r,l,0.3,0,0.1,0.3,2,-0.2,1.38807646788 
52,r,l,0.01,0,0.4,0.3,2,0.1,0.836773631482 
53,r,l,0.01,0,0.01,0.3,2,-0.29,0.836752299387 
54,l,r,0.65,0.3,0.4,0,1,0.35,0.837844502676 
55,r,l,0.7,0,0.9,0.3,1,0.6,0.836916556522 
56,l,r,0.9,0.3,0.9,0,1,0.6,0.836989512289 
57,r,l,0.2,0,0.65,0.3,1,0.35,0.836314564787 
58,r,l,0.7,0,0.4,0.3,1,0.1,1.15588599446 
59,l,r,0.9,0.3,0.5,0,1,0.6,0.83769560465 
60,r,l,0.7,0,0.7,0.3,1,0.4,0.995634599976 
61,r,l,0.5,0,0.9,0.3,1,0.6,0.860383994785 
62,l,r,0.7,0.3,0.2,0,1,0.4,0.866230268878 
63,r,l,0.4,0,0.2,0.3,2,-0.1,2.35211524793 
64,l,r,0.3,0.3,0.01,0,2,0.0,1.05590246283 
65,r,l,0.7,0,0.1,0.3,2,-0.2,0.853790244065 
66,l,r,0.6,0.3,0.9,0,1,0.3,1.35567984108 
67,l,r,0.9,0.3,0.55,0,1,0.6,0.836261234548 
68,l,r,0.4,0.3,0.5,0,1,0.1,1.01121044283 
69,r,l,0.5,0,0.6,0.3,1,0.3,0.94714717354 
70,r,l,0.5,0,0.2,0.3,2,-0.1,0.837837676406 
71,r,l,0.4,0,0.3,0.3,2,0.0,0.836843174113 
72,r,l,0.65,0,0.9,0.3,2,0.6,0.836103377041 
73,l,r,0.4,0.3,0.6,0,1,0.1,1.06545796169 
74,l,r,0.7,0.3,0.9,0,1,0.4,2.05522751533 
