# Time : Wed Feb 29 14:19:21 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S09CLn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05E4B9E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05E4B558> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.7,0.3,0.7,0,1,0.4,0.837510442061 
1,r,l,0.3,0,0.65,0.3,1,0.35,0.836764672002 
2,r,l,0.2,0,0.4,0.3,2,0.1,0.879214688769 
3,r,l,0.6,0,0.01,0.3,2,-0.29,0.836195531694 
4,r,l,0.01,0,0.7,0.3,1,0.4,0.970985790265 
5,r,l,0.2,0,0.9,0.3,1,0.6,0.83615670728 
6,r,l,0.2,0,0.3,0.3,2,0.0,0.986636295451 
7,l,r,0.9,0.3,0.1,0,1,0.6,0.837550119758 
8,r,l,0.01,0,0.7,0.3,1,0.4,0.83673736692 
9,l,r,0.6,0.3,0.65,0,1,0.3,0.92918640241 
10,l,r,0.3,0.3,0.4,0,1,0.0,1.18801511678 
11,l,r,0.4,0.3,0.6,0,1,0.1,0.836352109275 
12,l,r,0.55,0.3,0.55,0,1,0.25,0.83695410101 
13,l,r,0.1,0.3,0.4,0,2,-0.2,0.841497837352 
14,r,l,0.5,0,0.7,0.3,1,0.4,1.08841598951 
15,r,l,0.2,0,0.1,0.3,2,-0.2,0.837221178846 
16,l,r,0.2,0.3,0.3,0,2,-0.1,0.836384960702 
17,l,r,0.01,0.3,0.1,0,2,-0.29,0.83743663301 
18,l,r,0.2,0.3,0.9,0,1,-0.1,1.12076909884 
19,l,r,0.9,0.3,0.9,0,1,0.6,0.851630156074 
20,r,l,0.01,0,0.4,0.3,2,0.1,0.929408682846 
21,l,r,0.65,0.3,0.55,0,1,0.35,0.900234055752 
22,l,r,0.3,0.3,0.65,0,1,0.0,1.43305433797 
23,l,r,0.5,0.3,0.1,0,1,0.2,0.836079058452 
24,l,r,0.5,0.3,0.6,0,1,0.2,1.16585704254 
25,l,r,0.2,0.3,0.4,0,2,-0.1,0.975622961185 
26,r,l,0.9,0,0.3,0.3,2,0.0,1.55247908815 
27,r,l,0.3,0,0.3,0.3,2,0.0,0.881299261142 
28,r,l,0.5,0,0.4,0.3,2,0.1,1.21409104368 
29,l,r,0.55,0.3,0.7,0,1,0.25,1.65392216174 
30,r,l,0.55,0,0.1,0.3,2,-0.2,1.05666017887 
31,l,r,0.6,0.3,0.1,0,1,0.3,0.951490814826 
32,l,r,0.5,0.3,0.6,0,1,0.2,1.01738437791 
33,l,r,0.1,0.3,0.7,0,2,-0.2,1.94512446424 
34,r,l,0.1,0,0.3,0.3,2,0.0,1.06601088961 
35,l,r,0.65,0.3,0.2,0,1,0.35,0.935851402329 
36,r,l,0.55,0,0.4,0.3,1,0.1,1.27362166931 
37,r,l,0.65,0,0.01,0.3,2,-0.29,1.01441964328 
38,r,l,0.65,0,0.9,0.3,1,0.6,0.836575669636 
39,l,r,0.2,0.3,0.55,0,1,-0.1,1.16520940012 
40,r,l,0.9,0,0.6,0.3,2,0.3,0.837193447122 
41,l,r,0.2,0.3,0.5,0,1,-0.1,1.20488795104 
42,r,l,0.01,0,0.65,0.3,1,0.35,0.884740128146 
43,l,r,0.01,0.3,0.55,0,2,-0.29,0.836024448288 
44,l,r,0.1,0.3,0.01,0,2,-0.2,1.0393892877 
45,l,r,0.2,0.3,0.2,0,2,-0.1,0.835726652235 
46,r,l,0.7,0,0.5,0.3,1,0.2,1.80502336718 
47,l,r,0.2,0.3,0.2,0,2,-0.1,0.836744619832 
48,l,r,0.5,0.3,0.4,0,2,0.2,1.04174648426 
49,l,r,0.55,0.3,0.9,0,1,0.25,1.2555653304 
50,l,r,0.5,0.3,0.5,0,1,0.2,0.980380445124 
51,r,l,0.3,0,0.65,0.3,1,0.35,0.89422949751 
52,l,r,0.01,0.3,0.1,0,2,-0.29,0.837014684161 
53,r,l,0.4,0,0.9,0.3,1,0.6,0.872816340044 
54,r,l,0.65,0,0.4,0.3,2,0.1,1.12671819363 
55,r,l,0.9,0,0.5,0.3,2,0.2,1.39356094964 
56,r,l,0.55,0,0.1,0.3,2,-0.2,1.49630698763 
57,l,r,0.3,0.3,0.5,0,1,0.0,1.24418807058 
58,r,l,0.65,0,0.55,0.3,2,0.25,0.921990233313 
59,l,r,0.9,0.3,0.7,0,1,0.6,0.836006529328 
60,r,l,0.3,0,0.55,0.3,1,0.25,1.00373055686 
61,r,l,0.4,0,0.55,0.3,1,0.25,1.31547993375 
62,l,r,0.65,0.3,0.6,0,1,0.35,0.910287872362 
63,l,r,0.6,0.3,0.01,0,1,0.3,0.842237207782 
64,r,l,0.7,0,0.01,0.3,2,-0.29,0.836159693774 
65,r,l,0.01,0,0.6,0.3,1,0.3,2.0958634507 
66,r,l,0.6,0,0.6,0.3,1,0.3,1.34577961556 
67,r,l,0.3,0,0.7,0.3,1,0.4,0.89945628755 
68,r,l,0.6,0,0.01,0.3,1,-0.29,0.936339907316 
69,r,l,0.65,0,0.7,0.3,1,0.4,0.83672840744 
70,r,l,0.3,0,0.4,0.3,2,0.1,1.36996466552 
71,r,l,0.4,0,0.55,0.3,1,0.25,1.3057576179 
72,r,l,0.1,0,0.6,0.3,1,0.3,1.10872926414 
73,r,l,0.5,0,0.65,0.3,1,0.35,0.856477661456 
74,r,l,0.5,0,0.1,0.3,2,-0.2,0.83724677736 
