# Time : Wed Feb 29 14:24:07 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S09CLn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05B59918> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B69198> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.4,0,0.2,0.3,2,-0.1,1.11391338999 
1,r,l,0.01,0,0.7,0.3,2,0.4,0.837318879843 
2,l,r,0.55,0.3,0.65,0,2,0.25,0.860640406573 
3,r,l,0.2,0,0.7,0.3,1,0.4,0.89841997435 
4,l,r,0.2,0.3,0.55,0,2,-0.1,0.836562443737 
5,r,l,0.4,0,0.3,0.3,2,0.0,0.836678490336 
6,l,r,0.1,0.3,0.55,0,2,-0.2,0.83692722257 
7,l,r,0.65,0.3,0.55,0,2,0.35,0.835839712341 
8,l,r,0.4,0.3,0.6,0,2,0.1,0.836051326728 
9,l,r,0.2,0.3,0.7,0,2,-0.1,0.836158413848 
10,l,r,0.5,0.3,0.4,0,2,0.2,0.836222836776 
11,r,l,0.9,0,0.55,0.3,2,0.25,0.836340163301 
12,r,l,0.65,0,0.55,0.3,2,0.25,0.877050761001 
13,r,l,0.65,0,0.6,0.3,2,0.3,0.8360317012 
14,r,l,0.4,0,0.6,0.3,2,0.3,0.836079485094 
15,l,r,0.4,0.3,0.5,0,2,0.1,0.911565238241 
16,l,r,0.3,0.3,0.01,0,2,0.0,1.25945075827 
17,r,l,0.2,0,0.55,0.3,2,0.25,0.83686919927 
18,l,r,0.6,0.3,0.6,0,2,0.3,0.871187421231 
19,r,l,0.3,0,0.2,0.3,2,-0.1,0.876919781935 
20,l,r,0.7,0.3,0.01,0,2,0.4,0.938775179339 
21,r,l,0.3,0,0.1,0.3,2,-0.2,0.852619965305 
22,r,l,0.7,0,0.2,0.3,2,-0.1,0.898460505332 
23,r,l,0.7,0,0.1,0.3,2,-0.2,0.863356408972 
24,r,l,0.4,0,0.6,0.3,2,0.3,0.909213161391 
25,r,l,0.6,0,0.4,0.3,2,0.1,0.897053440312 
26,l,r,0.65,0.3,0.3,0,2,0.35,0.90179940492 
27,r,l,0.1,0,0.4,0.3,2,0.1,0.985723281764 
28,l,r,0.01,0.3,0.4,0,2,-0.29,0.86657243569 
29,r,l,0.7,0,0.01,0.3,2,-0.29,0.968459643515 
30,r,l,0.7,0,0.2,0.3,2,-0.1,0.849213229654 
31,r,l,0.2,0,0.01,0.3,2,-0.29,1.02409545515 
32,l,r,0.9,0.3,0.01,0,1,0.6,0.87093698243 
33,l,r,0.5,0.3,0.7,0,2,0.2,1.18066962301 
34,r,l,0.9,0,0.6,0.3,2,0.3,0.836747179684 
35,r,l,0.2,0,0.5,0.3,2,0.2,1.46835596953 
36,r,l,0.9,0,0.9,0.3,1,0.6,0.837149076363 
37,l,r,0.5,0.3,0.01,0,2,0.2,0.837394395461 
38,r,l,0.6,0,0.65,0.3,2,0.35,1.438861361 
39,r,l,0.65,0,0.3,0.3,2,0.0,0.836016768734 
40,l,r,0.4,0.3,0.6,0,2,0.1,0.850607495416 
41,r,l,0.65,0,0.65,0.3,2,0.35,0.837733149138 
42,l,r,0.3,0.3,0.9,0,2,0.0,0.855309942548 
43,r,l,0.55,0,0.6,0.3,2,0.3,2.22211788457 
44,l,r,0.9,0.3,0.1,0,1,0.6,0.837059481562 
45,r,l,0.3,0,0.2,0.3,2,-0.1,1.28877343011 
46,r,l,0.01,0,0.1,0.3,2,-0.2,1.16460484853 
47,r,l,0.4,0,0.65,0.3,2,0.35,1.27847173455 
48,l,r,0.4,0.3,0.3,0,2,0.1,0.836190838633 
49,r,l,0.65,0,0.55,0.3,2,0.25,0.849083530513 
50,l,r,0.5,0.3,0.6,0,2,0.2,0.999974828127 
51,l,r,0.3,0.3,0.9,0,2,0.0,0.95273362271 
52,r,l,0.5,0,0.1,0.3,2,-0.2,0.961608201081 
53,r,l,0.2,0,0.01,0.3,2,-0.29,0.955450051752 
54,l,r,0.1,0.3,0.2,0,2,-0.2,0.83596685163 
55,r,l,0.1,0,0.7,0.3,2,0.4,1.10822241355 
56,r,l,0.1,0,0.65,0.3,2,0.35,0.895917719548 
57,r,l,0.65,0,0.01,0.3,2,-0.29,0.836726700872 
58,l,r,0.55,0.3,0.1,0,2,0.25,0.915589751379 
59,l,r,0.9,0.3,0.3,0,1,0.6,0.836818855525 
60,r,l,0.5,0,0.7,0.3,1,0.4,0.878375910774 
61,r,l,0.1,0,0.65,0.3,1,0.35,1.2431244523 
