# Time : Thu Mar 01 13:48:12 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S10SH_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05CD9B98> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05CD95F8> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.5,0,0.6,0.3,2,0.3,0.837420968941 
1,l,r,0.3,0.3,0.9,0,2,0.0,0.943677451312 
2,r,l,0.3,0,0.2,0.3,2,-0.1,0.938516726916 
3,r,r,0.4,0.3,0.4,0,2,0.1,0.924362706428 
4,l,l,0.2,0,0.65,0.3,2,0.35,0.927252387838 
5,l,l,0.65,0,0.9,0.3,1,0.6,1.3150678561 
6,r,r,0.55,0.3,0.7,0,2,0.25,0.965869931485 
7,l,r,0.9,0.3,0.3,0,1,0.6,1.07971177423 
8,l,l,0.7,0,0.01,0.3,2,-0.29,0.924520565888 
9,l,l,0.7,0,0.4,0.3,2,0.1,0.992392027329 
10,l,l,0.6,0,0.65,0.3,2,0.35,0.952212954971 
11,l,l,0.5,0,0.5,0.3,2,0.2,0.874072522342 
12,l,l,0.6,0,0.3,0.3,2,0.0,0.836873580598 
13,r,l,0.5,0,0.55,0.3,2,0.25,0.974815869739 
14,r,r,0.2,0.3,0.1,0,2,-0.1,0.836638497997 
15,l,l,0.5,0,0.3,0.3,2,0.0,0.836693108837 
16,r,r,0.1,0.3,0.55,0,2,-0.2,0.836869314126 
17,l,l,0.9,0,0.01,0.3,2,-0.29,0.836872300657 
18,r,l,0.01,0,0.9,0.3,1,0.6,0.897989510452 
19,l,l,0.7,0,0.1,0.3,2,-0.2,0.982863715662 
20,l,l,0.65,0,0.7,0.3,1,0.4,0.967877306508 
21,r,l,0.65,0,0.5,0.3,2,0.2,1.04155927601 
