# Time : Thu Mar 01 13:28:53 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S10SH_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05C30EB8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05A89A58> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.5,0.3,0.6,0,1,0.2,0.837263962776 
1,r,r,0.9,0.3,0.7,0,1,0.6,0.836557861678 
2,r,l,0.7,0,0.65,0.3,1,0.35,1.01096013963 
3,r,l,0.55,0,0.5,0.3,1,0.2,1.20289249728 
4,l,l,0.3,0,0.7,0.3,1,0.4,0.836504957427 
5,r,r,0.7,0.3,0.7,0,1,0.4,0.904531718445 
6,r,l,0.3,0,0.6,0.3,1,0.3,1.26832908322 
7,l,r,0.65,0.3,0.6,0,1,0.35,1.2491406259 
8,l,r,0.9,0.3,0.5,0,1,0.6,0.990950386478 
9,l,l,0.7,0,0.55,0.3,1,0.25,0.89588485987 
10,l,l,0.9,0,0.2,0.3,1,-0.1,1.48464262112 
11,l,r,0.9,0.3,0.1,0,1,0.6,1.40043142564 
12,l,r,0.4,0.3,0.4,0,1,0.1,1.5922861335 
13,r,r,0.4,0.3,0.01,0,2,0.1,1.98322295259 
14,l,r,0.2,0.3,0.2,0,1,-0.1,1.58988624306 
15,l,l,0.2,0,0.9,0.3,1,0.6,0.884725476 
16,l,l,0.55,0,0.3,0.3,1,0.0,1.80951653621 
17,r,r,0.6,0.3,0.55,0,1,0.3,1.03133083631 
18,r,l,0.6,0,0.4,0.3,1,0.1,1.32613807071 
19,l,l,0.55,0,0.55,0.3,1,0.25,1.4409812544 
20,r,l,0.6,0,0.6,0.3,1,0.3,2.07079058151 
21,l,l,0.6,0,0.6,0.3,1,0.3,1.29656288758 
22,r,l,0.4,0,0.9,0.3,1,0.6,1.17239362299 
23,l,r,0.1,0.3,0.4,0,1,-0.2,1.85323038052 
24,l,r,0.5,0.3,0.6,0,1,0.2,1.02500835162 
25,l,l,0.1,0,0.4,0.3,1,0.1,1.18395618845 
26,r,r,0.55,0.3,0.1,0,1,0.25,0.848674215193 
27,l,l,0.2,0,0.9,0.3,1,0.6,0.837274628956 
28,l,l,0.4,0,0.7,0.3,1,0.4,0.836442666937 
29,l,r,0.2,0.3,0.5,0,2,-0.1,0.861231295254 
30,r,r,0.9,0.3,0.6,0,1,0.6,0.867168090886 
31,r,l,0.5,0,0.65,0.3,1,0.35,1.25689664515 
32,l,r,0.01,0.3,0.4,0,2,-0.29,1.1266873363 
33,l,l,0.1,0,0.55,0.3,1,0.25,1.28854106714 
34,l,l,0.3,0,0.1,0.3,2,-0.2,1.10838587849 
35,l,l,0.1,0,0.65,0.3,1,0.35,1.75222293852 
36,r,l,0.2,0,0.01,0.3,1,-0.29,1.00907606565 
37,l,r,0.55,0.3,0.01,0,1,0.25,1.07279283676 
38,l,l,0.9,0,0.3,0.3,2,0.0,1.30966095628 
39,r,r,0.6,0.3,0.1,0,1,0.3,1.25658263281 
40,l,l,0.7,0,0.7,0.3,1,0.4,1.07725044659 
41,r,l,0.6,0,0.65,0.3,1,0.35,1.14712629653 
42,r,l,0.2,0,0.3,0.3,1,0.0,0.96489930913 
43,r,r,0.5,0.3,0.2,0,1,0.2,0.950863469913 
44,r,r,0.01,0.3,0.5,0,2,-0.29,0.836013459866 
45,r,r,0.9,0.3,0.2,0,1,0.6,0.951567011127 
46,r,r,0.9,0.3,0.3,0,1,0.6,0.865406891291 
47,r,r,0.1,0.3,0.7,0,2,-0.2,0.895176198889 
48,l,l,0.2,0,0.3,0.3,2,0.0,0.836366723738 
49,l,r,0.01,0.3,0.6,0,2,-0.29,1.07483775674 
50,l,l,0.5,0,0.65,0.3,1,0.35,0.975678123708 
51,r,l,0.3,0,0.9,0.3,1,0.6,1.04826190335 
52,l,l,0.01,0,0.2,0.3,2,-0.1,0.86303643951 
53,l,l,0.9,0,0.9,0.3,1,0.6,0.940745531831 
54,r,r,0.2,0.3,0.1,0,2,-0.1,1.32771922519 
55,r,r,0.5,0.3,0.3,0,1,0.2,1.20142909742 
56,l,l,0.7,0,0.2,0.3,2,-0.1,0.913329183478 
57,l,l,0.9,0,0.01,0.3,1,-0.29,1.58116514787 
58,l,l,0.7,0,0.9,0.3,1,0.6,1.27698447474 
59,r,l,0.3,0,0.65,0.3,2,0.35,2.51378475735 
60,r,l,0.6,0,0.01,0.3,1,-0.29,1.12263376136 
61,l,r,0.2,0.3,0.5,0,1,-0.1,1.36431104799 
62,r,r,0.9,0.3,0.2,0,1,0.6,1.11033906932 
