# Time : Thu Mar 01 14:10:20 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S10SH_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x054975F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x058C3198> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.5,0,0.1,0.3,2,-0.2,0.836859074594 
1,r,l,0.65,0,0.01,0.3,2,-0.29,0.969787832619 
2,l,l,0.55,0,0.65,0.3,2,0.35,1.33164821915 
3,l,l,0.9,0,0.5,0.3,1,0.2,0.837045092768 
4,l,r,0.65,0.3,0.6,0,1,0.35,1.26026758458 
5,r,r,0.5,0.3,0.7,0,1,0.2,1.04912330402 
6,r,l,0.9,0,0.01,0.3,2,-0.29,1.13595070006 
7,r,r,0.5,0.3,0.4,0,1,0.2,1.03375504564 
8,l,l,0.4,0,0.65,0.3,1,0.35,1.11262675155 
9,r,r,0.01,0.3,0.1,0,2,-0.29,1.10044170783 
10,r,r,0.4,0.3,0.1,0,2,0.1,1.05726501233 
11,r,r,0.4,0.3,0.65,0,2,0.1,1.00712714129 
12,r,r,0.6,0.3,0.55,0,2,0.3,1.23891645267 
13,l,l,0.6,0,0.5,0.3,2,0.2,1.94076899743 
14,r,r,0.1,0.3,0.01,0,2,-0.2,0.996518132292 
15,l,r,0.01,0.3,0.1,0,2,-0.29,0.837653491659 
16,r,l,0.9,0,0.2,0.3,1,-0.1,1.35618043251 
17,r,r,0.01,0.3,0.7,0,2,-0.29,0.941031385447 
18,l,l,0.9,0,0.5,0.3,2,0.2,0.942835249761 
19,l,r,0.2,0.3,0.55,0,2,-0.1,0.953678488065 
20,r,r,0.4,0.3,0.2,0,2,0.1,0.955601813592 
21,l,r,0.4,0.3,0.65,0,2,0.1,0.917409637192 
22,l,l,0.3,0,0.9,0.3,1,0.6,0.873250799857 
23,l,l,0.5,0,0.65,0.3,1,0.35,0.919067588168 
24,l,l,0.9,0,0.4,0.3,2,0.1,0.92190991174 
25,r,r,0.2,0.3,0.2,0,2,-0.1,0.980708294064 
26,l,l,0.3,0,0.01,0.3,2,-0.29,0.902600286622 
27,r,l,0.7,0,0.1,0.3,1,-0.2,1.05841397321 
28,l,r,0.2,0.3,0.6,0,1,-0.1,1.26426185557 
29,r,r,0.55,0.3,0.3,0,1,0.25,1.10908131341 
30,l,l,0.4,0,0.55,0.3,1,0.25,0.903921186318 
31,r,l,0.2,0,0.9,0.3,1,0.6,0.955825803366 
32,r,r,0.3,0.3,0.9,0,2,0.0,0.862675069341 
33,r,r,0.55,0.3,0.7,0,1,0.25,0.94851605708 
34,l,l,0.6,0,0.3,0.3,2,0.0,1.03035424089 
35,r,l,0.1,0,0.5,0.3,1,0.2,0.909543969619 
36,r,l,0.01,0,0.2,0.3,2,-0.1,0.842078249654 
37,r,l,0.5,0,0.55,0.3,1,0.25,0.913097514055 
38,l,l,0.55,0,0.65,0.3,1,0.35,0.836871447362 
39,l,r,0.2,0.3,0.65,0,2,-0.1,0.915447486771 
40,l,r,0.3,0.3,0.7,0,2,0.0,0.83687486054 
41,r,r,0.2,0.3,0.01,0,2,-0.1,0.83679593081 
42,l,l,0.3,0,0.65,0.3,1,0.35,0.83694312409 
43,l,l,0.4,0,0.6,0.3,1,0.3,0.836159373204 
44,r,l,0.4,0,0.2,0.3,1,-0.1,0.961731453753 
45,l,r,0.65,0.3,0.65,0,1,0.35,0.891593215798 
46,l,r,0.1,0.3,0.9,0,1,-0.2,0.888470585023 
47,l,l,0.2,0,0.6,0.3,1,0.3,0.837214471702 
48,l,l,0.3,0,0.65,0.3,1,0.35,1.1721342215 
49,l,l,0.7,0,0.9,0.3,1,0.6,0.844039973428 
50,l,l,0.2,0,0.9,0.3,1,0.6,0.858801539514 
51,r,r,0.01,0.3,0.55,0,2,-0.29,0.837484539373 
52,l,l,0.2,0,0.6,0.3,1,0.3,0.915046011766 
53,l,l,0.01,0,0.5,0.3,1,0.2,0.902804650625 
54,l,r,0.1,0.3,0.6,0,2,-0.2,0.866627955545 
55,r,l,0.6,0,0.2,0.3,1,-0.1,1.08054458954 
56,r,r,0.6,0.3,0.55,0,1,0.3,1.16534711802 
57,r,r,0.2,0.3,0.7,0,2,-0.1,0.911147309755 
58,l,l,0.4,0,0.2,0.3,2,-0.1,1.00298439709 
59,r,r,0.3,0.3,0.1,0,2,0.0,0.837376597634 
60,l,l,0.6,0,0.01,0.3,2,-0.29,0.905692625446 
61,r,l,0.4,0,0.55,0.3,1,0.25,1.25352101259 
62,r,r,0.55,0.3,0.6,0,1,0.25,0.930330220658 
63,l,l,0.7,0,0.55,0.3,2,0.25,0.836139747433 
64,l,l,0.2,0,0.6,0.3,1,0.3,1.65203508576 
65,l,l,0.3,0,0.2,0.3,2,-0.1,0.86482878435 
66,l,r,0.6,0.3,0.55,0,1,0.3,0.879697012232 
67,l,l,0.4,0,0.9,0.3,1,0.6,0.940556527126 
68,l,l,0.6,0,0.55,0.3,1,0.25,1.41534189159 
