# Time : Thu Mar 01 14:23:28 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S10SH_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05D19B98> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05D195F8> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.1,0,0.65,0.3,2,0.35,0.849138833982 
1,r,r,0.2,0.3,0.55,0,2,-0.1,0.836205877748 
2,r,r,0.9,0.3,0.1,0,1,0.6,0.836368430327 
3,l,l,0.55,0,0.7,0.3,2,0.4,0.836457172942 
4,r,r,0.7,0.3,0.6,0,2,0.4,0.836714867844 
5,r,l,0.6,0,0.5,0.3,1,0.2,0.836708894783 
6,r,r,0.7,0.3,0.9,0,2,0.4,0.90634454235 
7,l,l,0.1,0,0.7,0.3,1,0.4,0.836698228604 
8,r,r,0.55,0.3,0.3,0,2,0.25,0.844890707923 
9,l,l,0.5,0,0.2,0.3,2,-0.1,1.29871276277 
10,r,l,0.55,0,0.6,0.3,2,0.3,0.894541347872 
11,r,l,0.9,0,0.9,0.3,2,0.6,0.923373738244 
12,r,r,0.5,0.3,0.65,0,2,0.2,0.836887659955 
13,l,l,0.2,0,0.01,0.3,2,-0.29,0.836007913452 
14,l,l,0.2,0,0.6,0.3,2,0.3,0.836057404526 
15,l,l,0.65,0,0.01,0.3,2,-0.29,0.83617515915 
16,l,r,0.2,0.3,0.9,0,2,-0.1,1.20960749739 
17,r,r,0.1,0.3,0.5,0,2,-0.2,0.836900032724 
18,l,l,0.6,0,0.1,0.3,2,-0.2,0.835959275673 
19,l,l,0.5,0,0.55,0.3,2,0.25,0.836086416535 
20,r,l,0.1,0,0.6,0.3,2,0.3,0.836201611276 
21,r,l,0.3,0,0.2,0.3,2,-0.1,1.04381794623 
22,l,r,0.1,0.3,0.7,0,2,-0.2,0.842690061723 
23,r,r,0.2,0.3,0.01,0,2,-0.1,0.836024552692 
24,l,l,0.3,0,0.55,0.3,2,0.25,0.836065510823 
25,r,r,0.01,0.3,0.5,0,2,-0.29,0.836170892678 
26,r,r,0.4,0.3,0.5,0,2,0.1,0.836325765608 
27,r,l,0.3,0,0.6,0.3,2,0.3,1.40387745498 
28,l,r,0.6,0.3,0.5,0,2,0.3,0.836372696798 
29,r,l,0.9,0,0.9,0.3,1,0.6,0.83740902282 
30,r,l,0.1,0,0.2,0.3,2,-0.1,0.83748795255 
31,l,l,0.2,0,0.2,0.3,2,-0.1,0.837619786531 
32,r,r,0.01,0.3,0.6,0,2,-0.29,0.837297241257 
33,r,r,0.01,0.3,0.6,0,2,-0.29,0.836840728765 
34,l,l,0.01,0,0.5,0.3,2,0.2,0.837024187056 
35,r,l,0.9,0,0.55,0.3,1,0.25,0.83617814568 
36,l,r,0.55,0.3,0.2,0,2,0.25,0.837181193221 
37,r,r,0.5,0.3,0.1,0,2,0.2,0.837270362484 
38,l,l,0.6,0,0.5,0.3,2,0.2,0.837517817853 
39,l,l,0.4,0,0.2,0.3,2,-0.1,0.837488379197 
40,l,l,0.3,0,0.01,0.3,2,-0.29,0.836743879853 
41,r,r,0.4,0.3,0.5,0,2,0.1,0.83776271334 
42,r,r,0.2,0.3,0.55,0,2,-0.1,0.836007913452 
43,l,r,0.4,0.3,0.1,0,1,0.1,0.991424818152 
44,l,l,0.4,0,0.6,0.3,1,0.3,0.836497704425 
45,r,r,0.65,0.3,0.65,0,2,0.35,0.836646177647 
46,l,l,0.3,0,0.5,0.3,2,0.2,0.83682920929 
47,r,r,0.4,0.3,0.7,0,1,0.1,0.876822263474 
48,r,r,0.65,0.3,0.7,0,1,0.35,0.83648319842 
49,l,r,0.01,0.3,0.5,0,2,-0.29,0.836492158011 
50,r,l,0.1,0,0.65,0.3,1,0.35,0.871350939925 
51,l,l,0.2,0,0.6,0.3,2,0.3,0.836294620363 
52,r,r,0.4,0.3,0.55,0,2,0.1,0.836369283621 
53,l,l,0.1,0,0.65,0.3,1,0.35,0.836508370605 
54,r,r,0.1,0.3,0.1,0,2,-0.2,0.836613325813 
55,l,r,0.3,0.3,0.4,0,2,0.0,0.836734066967 
56,l,l,0.3,0,0.2,0.3,2,-0.1,0.836841582059 
57,r,r,0.5,0.3,0.55,0,2,0.2,1.1671334898 
58,l,l,0.9,0,0.2,0.3,2,-0.1,0.836383362978 
59,r,r,0.3,0.3,0.1,0,2,0.0,0.836496424483 
60,r,r,0.3,0.3,0.6,0,2,0.0,0.836564261386 
61,l,l,0.5,0,0.55,0.3,2,0.25,0.836748572972 
62,l,r,0.3,0.3,0.65,0,1,0.0,1.51633056112 
63,r,l,0.2,0,0.7,0.3,1,0.4,0.92613201232 
64,r,r,0.55,0.3,0.3,0,1,0.25,0.83679891734 
65,l,l,0.2,0,0.2,0.3,2,-0.1,0.836818969758 
66,r,r,0.3,0.3,0.01,0,2,0.0,0.837018640642 
67,r,r,0.01,0.3,0.7,0,2,-0.29,0.836161933087 
68,r,r,0.65,0.3,0.01,0,1,0.35,0.836109028836 
69,r,r,0.7,0.3,0.7,0,1,0.4,0.836203317865 
70,l,l,0.01,0,0.4,0.3,2,0.1,0.836337711729 
71,r,l,0.6,0,0.01,0.3,1,-0.29,0.960945996279 
72,l,r,0.9,0.3,0.4,0,1,0.6,0.837405609643 
73,l,r,0.6,0.3,0.55,0,1,0.3,0.873644168565 
74,r,r,0.6,0.3,0.9,0,2,0.3,0.836993895105 
75,l,l,0.1,0,0.01,0.3,2,-0.29,0.837127862323 
76,l,l,0.9,0,0.3,0.3,2,0.0,0.837182473163 
77,r,r,0.6,0.3,0.4,0,1,0.3,0.955063811487 
78,l,l,0.1,0,0.3,0.3,2,0.0,0.908881386535 
79,r,l,0.7,0,0.4,0.3,2,0.1,0.836403415396 
80,r,r,0.5,0.3,0.5,0,2,0.2,0.837382997342 
81,r,r,0.4,0.3,0.3,0,2,0.1,0.837463207013 
82,r,r,0.65,0.3,0.9,0,1,0.35,0.893163277452 
83,r,r,0.3,0.3,0.4,0,2,0.0,0.83686718089 
84,r,r,0.7,0.3,0.65,0,1,0.4,0.8359929808 
85,r,r,0.7,0.3,0.2,0,1,0.4,0.836140174081 
86,l,l,0.4,0,0.6,0.3,2,0.3,0.837407742878 
87,l,l,0.7,0,0.65,0.3,1,0.35,0.837278895427 
88,r,r,0.9,0.3,0.2,0,1,0.6,0.836570234447 
89,l,l,0.6,0,0.5,0.3,2,0.2,0.837504165143 
90,l,l,0.2,0,0.1,0.3,2,-0.2,0.912960986954 
91,r,r,0.3,0.3,0.5,0,2,0.0,0.900858712797 
92,r,r,0.3,0.3,0.6,0,2,0.0,0.836869740773 
93,r,r,0.55,0.3,0.4,0,2,0.25,0.835975061619 
