# Time : Thu Mar 01 13:11:09 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S10SHn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x054D75F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B97A08> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.65,0,0.55,0.3,2,0.25,0.968501064698 
1,r,l,0.01,0,0.6,0.3,2,0.3,0.836927338144 
2,l,r,0.5,0.3,0.5,0,2,0.2,0.837112503024 
3,r,l,0.3,0,0.01,0.3,2,-0.29,0.837196979167 
4,l,r,0.4,0.3,0.7,0,2,0.1,0.837269509189 
5,l,r,0.4,0.3,0.4,0,2,0.1,0.836437120524 
6,l,r,0.01,0.3,0.9,0,2,-0.29,0.836687989071 
7,l,r,0.7,0.3,0.9,0,2,0.4,0.882250922305 
8,r,l,0.4,0,0.9,0.3,2,0.6,0.919182356261 
9,r,l,0.2,0,0.6,0.3,2,0.3,0.837039973002 
10,r,l,0.65,0,0.6,0.3,2,0.3,0.836842008706 
11,r,l,0.3,0,0.9,0.3,1,0.6,0.903671171065 
12,r,l,0.6,0,0.9,0.3,2,0.6,0.995603400719 
13,l,r,0.9,0.3,0.1,0,2,0.6,1.34036931434 
14,l,r,0.65,0.3,0.5,0,2,0.35,0.878433709906 
15,l,r,0.4,0.3,0.1,0,2,0.1,0.836208864278 
16,r,l,0.01,0,0.3,0.3,1,0.0,0.993954835982 
17,r,l,0.3,0,0.55,0.3,2,0.25,0.890675497695 
18,l,r,0.1,0.3,0.7,0,2,-0.2,1.29557647928 
19,r,l,0.7,0,0.6,0.3,2,0.3,0.842443886295 
20,l,r,0.4,0.3,0.4,0,2,0.1,1.06537685533 
21,l,r,0.65,0.3,0.5,0,2,0.35,0.88716589792 
22,r,l,0.1,0,0.1,0.3,2,-0.2,0.875828602172 
23,r,l,0.01,0,0.2,0.3,2,-0.1,0.837004561285 
24,l,r,0.1,0.3,0.9,0,1,-0.2,1.88760534452 
25,r,l,0.6,0,0.65,0.3,2,0.35,0.837469180074 
26,l,r,0.4,0.3,0.6,0,2,0.1,0.837542136743 
27,l,r,0.55,0.3,0.1,0,2,0.25,0.837764419928 
28,l,r,0.55,0.3,0.9,0,1,0.25,1.41487172639 
29,r,l,0.2,0,0.9,0.3,1,0.6,0.877672571322 
30,r,l,0.2,0,0.3,0.3,2,0.0,1.01053050591 
31,r,l,0.9,0,0.01,0.3,1,-0.29,1.40245671984 
32,l,r,0.6,0.3,0.01,0,1,0.3,1.30523790487 
33,l,r,0.2,0.3,0.5,0,2,-0.1,0.916103670147 
34,l,r,0.2,0.3,0.6,0,2,-0.1,0.839940747238 
35,l,r,0.5,0.3,0.3,0,2,0.2,0.837282308605 
36,r,l,0.3,0,0.2,0.3,2,-0.1,0.837346732331 
37,l,r,0.1,0.3,0.65,0,2,-0.2,0.876512517615 
38,r,l,0.7,0,0.55,0.3,2,0.25,0.88924196314 
39,l,r,0.01,0.3,0.2,0,2,-0.29,0.837214898349 
40,r,l,0.1,0,0.7,0.3,2,0.4,0.916968910646 
41,r,l,0.55,0,0.5,0.3,2,0.2,0.836362030619 
42,r,l,0.5,0,0.7,0.3,2,0.4,0.836462292708 
43,r,l,0.5,0,0.3,0.3,2,0.0,0.836596686573 
44,l,r,0.9,0.3,0.6,0,1,0.6,0.877318454155 
45,r,l,0.7,0,0.3,0.3,2,0.0,0.87415785178 
46,l,r,0.6,0.3,0.2,0,2,0.3,0.837095437136 
47,l,r,0.5,0.3,0.55,0,2,0.2,0.836902592607 
48,l,r,0.1,0.3,0.4,0,2,-0.2,0.835974634971 
49,r,l,0.65,0,0.2,0.3,2,-0.1,0.836158946557 
50,l,r,0.3,0.3,0.4,0,2,0.0,0.836200757981 
51,r,l,0.55,0,0.65,0.3,2,0.35,0.865222579705 
52,r,l,0.2,0,0.1,0.3,2,-0.2,0.83608257671 
53,l,r,0.5,0.3,0.4,0,2,0.2,0.836261341882 
54,l,r,0.01,0.3,0.1,0,2,-0.29,0.836285234125 
55,r,l,0.1,0,0.6,0.3,2,0.3,0.907636430038 
56,r,l,0.9,0,0.65,0.3,2,0.35,0.836387202803 
57,r,l,0.65,0,0.01,0.3,2,-0.29,0.836462292708 
58,r,l,0.6,0,0.65,0.3,2,0.35,0.836930324674 
59,l,r,0.2,0.3,0.01,0,1,-0.1,0.947988294508 
60,l,r,0.7,0.3,0.7,0,2,0.4,0.957836591567 
61,l,r,0.55,0.3,0.55,0,2,0.25,0.836046738346 
62,l,r,0.7,0.3,0.3,0,2,0.4,1.61450634574 
63,l,r,0.3,0.3,0.55,0,2,0.0,0.909316993315 
64,l,r,0.5,0.3,0.65,0,2,0.2,0.836502824191 
65,l,r,0.7,0.3,0.01,0,1,0.4,1.75201132151 
66,r,l,0.6,0,0.4,0.3,2,0.1,0.888782037471 
67,l,r,0.4,0.3,0.3,0,2,0.1,0.893649228601 
68,l,r,0.55,0.3,0.55,0,2,0.25,0.857542077012 
69,r,l,0.55,0,0.3,0.3,2,0.0,0.864310834663 
70,r,l,0.4,0,0.1,0.3,2,-0.2,0.837595040994 
71,l,r,0.2,0.3,0.5,0,2,-0.1,0.8377686864 
72,l,r,0.65,0.3,0.01,0,2,0.35,0.858918014196 
73,l,r,0.5,0.3,0.2,0,2,0.2,0.837269082542 
74,r,l,0.65,0,0.01,0.3,2,-0.29,0.880647155522 
