# Time : Thu Mar 01 12:56:16 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S10SHn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0598F3A0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05A7F7B0> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.9,0.3,0.4,0,1,0.6,0.837825003829 
1,l,r,0.01,0.3,0.3,0,2,-0.29,0.836906432432 
2,r,l,0.6,0,0.6,0.3,1,0.3,0.837041252943 
3,l,r,0.55,0.3,0.55,0,1,0.25,0.83715559439 
4,r,l,0.65,0,0.9,0.3,1,0.6,0.837273349014 
5,r,l,0.65,0,0.55,0.3,1,0.25,0.836603939575 
6,l,r,0.55,0.3,0.3,0,1,0.25,0.836696095368 
7,l,r,0.4,0.3,0.4,0,1,0.1,0.914362949617 
8,l,r,0.1,0.3,0.9,0,1,-0.2,1.24625435767 
9,r,l,0.1,0,0.5,0.3,1,0.2,0.852090805881 
10,r,l,0.5,0,0.5,0.3,1,0.2,0.836486184951 
11,l,r,0.3,0.3,0.6,0,1,0.0,1.19280741103 
12,l,r,0.4,0.3,0.6,0,1,0.1,0.837400489876 
13,l,r,0.65,0.3,0.7,0,1,0.35,0.836508370605 
14,l,r,0.9,0.3,0.3,0,1,0.6,0.837460220483 
15,r,l,0.2,0,0.9,0.3,1,0.6,0.836648310882 
16,l,r,0.65,0.3,0.01,0,1,0.35,0.836774171803 
17,r,l,0.1,0,0.55,0.3,1,0.25,0.836900032724 
18,l,r,0.65,0.3,0.5,0,1,0.35,0.835987434387 
19,r,l,0.4,0,0.01,0.3,2,-0.29,0.879634721743 
20,r,l,0.9,0,0.7,0.3,1,0.4,0.989406776949 
21,l,r,0.9,0.3,0.2,0,1,0.6,0.836092389595 
22,r,l,0.01,0,0.01,0.3,2,-0.29,0.836199051393 
23,l,r,0.65,0.3,0.2,0,1,0.35,0.83719655252 
24,r,l,0.3,0,0.3,0.3,1,0.0,1.22583971633 
25,l,r,0.5,0.3,0.01,0,1,0.2,0.837524217561 
26,l,r,0.4,0.3,0.1,0,1,0.1,0.951485521514 
27,l,r,0.3,0.3,0.5,0,1,0.0,1.27325045854 
28,r,l,0.7,0,0.1,0.3,2,-0.2,0.990122690932 
29,r,l,0.55,0,0.01,0.3,1,-0.29,1.4059535202 
30,r,l,0.3,0,0.7,0.3,1,0.4,0.837772099578 
31,r,l,0.65,0,0.01,0.3,2,-0.29,1.05960474551 
32,r,l,0.1,0,0.65,0.3,1,0.35,1.00153294335 
33,r,l,0.4,0,0.01,0.3,2,-0.29,1.04123374421 
34,r,l,0.5,0,0.3,0.3,1,0.0,1.14311453301 
35,r,l,0.7,0,0.2,0.3,2,-0.1,0.836672629772 
36,r,l,0.55,0,0.6,0.3,1,0.3,0.836767345448 
37,r,l,0.6,0,0.6,0.3,1,0.3,0.835885892356 
38,r,l,0.7,0,0.1,0.3,1,-0.2,0.877421276127 
39,r,l,0.2,0,0.5,0.3,1,0.2,0.836956350153 
40,l,r,0.5,0.3,0.6,0,1,0.2,0.836648310882 
41,r,l,0.55,0,0.6,0.3,1,0.3,0.836843288648 
42,r,l,0.9,0,0.7,0.3,1,0.4,1.31993675382 
43,r,l,0.01,0,0.7,0.3,1,0.4,1.32969716156 
44,l,r,0.9,0.3,0.3,0,2,0.6,0.837726448329 
45,l,r,0.1,0.3,0.5,0,1,-0.2,0.994326445683 
46,r,l,0.65,0,0.65,0.3,1,0.35,1.51523322455 
47,l,r,0.55,0.3,0.7,0,1,0.25,2.89405582337 
48,l,r,0.7,0.3,0.55,0,1,0.4,1.43776220136 
49,r,l,0.7,0,0.4,0.3,1,0.1,1.1394816322 
50,l,r,0.3,0.3,0.2,0,1,0.0,0.836304859895 
51,r,l,0.6,0,0.6,0.3,1,0.3,0.837405182995 
52,l,r,0.5,0.3,0.55,0,1,0.2,0.915143713972 
53,l,r,0.55,0.3,0.4,0,1,0.25,0.836481491832 
54,r,l,0.55,0,0.01,0.3,2,-0.29,0.845693657932 
55,l,r,0.2,0.3,0.65,0,1,-0.1,0.837568162222 
56,l,r,0.1,0.3,0.3,0,2,-0.2,0.96343932245 
57,r,l,0.1,0,0.2,0.3,2,-0.1,1.14926038577 
58,r,l,0.5,0,0.3,0.3,2,0.0,1.50310876474 
59,l,r,0.6,0.3,0.01,0,1,0.3,0.857904727123 
60,l,r,0.1,0.3,0.2,0,2,-0.2,0.991782348497 
61,r,l,0.9,0,0.6,0.3,1,0.3,1.35960811602 
62,r,l,0.5,0,0.4,0.3,1,0.1,1.09741421938 
63,l,r,0.4,0.3,0.01,0,1,0.1,0.837614666765 
64,r,l,0.1,0,0.55,0.3,1,0.25,0.940119640405 
65,l,r,0.2,0.3,0.65,0,2,-0.1,1.09395197745 
66,r,l,0.65,0,0.2,0.3,2,-0.1,1.24282752745 
67,r,l,0.01,0,0.5,0.3,1,0.2,0.944528612454 
68,l,r,0.1,0.3,0.6,0,2,-0.2,1.71443778353 
69,r,l,0.9,0,0.2,0.3,2,-0.1,1.32518067442 
70,l,r,0.3,0.3,0.9,0,2,0.0,1.27904731389 
71,l,r,0.4,0.3,0.4,0,1,0.1,0.859857491306 
72,l,r,0.65,0.3,0.1,0,1,0.35,0.837183753104 
73,r,l,0.2,0,0.7,0.3,1,0.4,1.44850304434 
74,r,l,0.4,0,0.2,0.3,2,-0.1,1.26231506444 
