# Time : Thu Mar 01 13:15:35 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S10SHn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x053D25F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x053D2D50> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.6,0,0.5,0.3,1,0.2,1.29889579441 
1,r,l,0.01,0,0.4,0.3,1,0.1,0.93470378099 
2,l,r,0.2,0.3,0.4,0,2,-0.1,1.05755299918 
3,r,l,0.3,0,0.7,0.3,1,0.4,0.911305169215 
4,l,r,0.4,0.3,0.01,0,1,0.1,1.21114513385 
5,l,r,0.65,0.3,0.7,0,1,0.35,0.906061248617 
6,r,l,0.6,0,0.6,0.3,1,0.3,1.68588996684 
7,l,r,0.01,0.3,0.6,0,2,-0.29,0.984732003702 
8,l,r,0.3,0.3,0.2,0,2,0.0,0.92153190233 
9,l,r,0.01,0.3,0.5,0,2,-0.29,1.16435857648 
10,r,l,0.5,0,0.7,0.3,1,0.4,1.15020199611 
11,l,r,0.9,0.3,0.1,0,1,0.6,1.00003711831 
12,l,r,0.1,0.3,0.55,0,2,-0.2,1.36878913688 
13,r,l,0.55,0,0.5,0.3,1,0.2,0.921682082141 
14,l,r,0.01,0.3,0.1,0,2,-0.29,2.27644689928 
15,r,l,0.7,0,0.2,0.3,2,-0.1,1.0632709248 
16,l,r,0.6,0.3,0.7,0,1,0.3,0.932207468288 
17,l,r,0.7,0.3,0.1,0,1,0.4,0.903960864507 
18,r,l,0.65,0,0.4,0.3,2,0.1,0.963760587783 
19,l,r,0.1,0.3,0.65,0,2,-0.2,1.48566742766 
20,r,l,0.55,0,0.65,0.3,1,0.35,0.881468878007 
21,r,l,0.01,0,0.1,0.3,1,-0.2,1.06327519128 
22,l,r,0.65,0.3,0.4,0,1,0.35,1.56414747145 
23,r,l,0.3,0,0.55,0.3,1,0.25,1.40493084689 
24,l,r,0.55,0.3,0.3,0,1,0.25,0.837498192083 
25,l,r,0.65,0.3,0.9,0,1,0.35,0.978598097068 
26,l,r,0.65,0.3,0.6,0,1,0.35,0.837217031585 
27,r,l,0.6,0,0.4,0.3,1,0.1,1.68229802415 
28,l,r,0.55,0.3,0.4,0,1,0.25,0.836816409875 
29,l,r,0.55,0.3,0.9,0,1,0.25,0.924931000483 
30,l,r,0.55,0.3,0.1,0,1,0.25,0.8557834373 
31,l,r,0.55,0.3,0.55,0,1,0.25,0.835507029652 
32,l,r,0.2,0.3,0.2,0,1,-0.1,0.837222577999 
33,l,r,0.1,0.3,0.1,0,1,-0.2,0.875305532718 
34,l,r,0.7,0.3,0.6,0,1,0.4,0.836994321753 
35,r,l,0.2,0,0.3,0.3,1,0.0,1.22302085835 
36,r,l,0.01,0,0.1,0.3,2,-0.2,0.917755221415 
37,r,l,0.9,0,0.2,0.3,2,-0.1,1.59267779562 
38,r,l,0.01,0,0.3,0.3,2,0.0,1.49647141443 
39,l,r,0.01,0.3,0.2,0,2,-0.29,0.915256775477 
40,l,r,0.01,0.3,0.3,0,2,-0.29,0.837045519415 
41,r,l,0.2,0,0.5,0.3,1,0.2,0.853986825988 
42,l,r,0.3,0.3,0.55,0,1,0.0,0.875847374648 
43,r,l,0.1,0,0.5,0.3,1,0.2,1.01769135233 
44,r,l,0.65,0,0.5,0.3,1,0.2,1.473437586 
45,r,l,0.5,0,0.5,0.3,1,0.2,2.3982973364 
46,l,r,0.1,0.3,0.4,0,1,-0.2,0.915067344126 
47,l,r,0.9,0.3,0.9,0,1,0.6,0.902898939654 
48,l,r,0.6,0.3,0.5,0,1,0.3,0.837122315909 
49,r,l,0.2,0,0.7,0.3,1,0.4,1.48956698297 
50,l,r,0.9,0.3,0.01,0,1,0.6,1.05342561428 
51,r,l,0.5,0,0.3,0.3,2,0.0,1.69825804219 
52,l,r,0.2,0.3,0.9,0,2,-0.1,0.941062957339 
53,l,r,0.4,0.3,0.3,0,1,0.1,1.19181332308 
54,r,l,0.1,0,0.6,0.3,1,0.3,2.03971829339 
55,l,r,0.4,0.3,0.4,0,1,0.1,0.988505271439 
56,r,l,0.4,0,0.3,0.3,2,0.0,1.37229447018 
57,l,r,0.3,0.3,0.55,0,2,0.0,0.973093921685 
58,l,r,0.55,0.3,0.3,0,1,0.25,0.83805411337 
59,r,l,0.55,0,0.6,0.3,1,0.3,0.93292508886 
60,r,l,0.65,0,0.2,0.3,1,-0.1,0.983719569923 
61,r,l,0.6,0,0.7,0.3,2,0.4,1.53646446861 
62,r,l,0.5,0,0.5,0.3,1,0.2,1.58628491414 
63,l,r,0.9,0.3,0.01,0,1,0.6,0.836986215456 
64,r,l,0.65,0,0.9,0.3,1,0.6,0.967962209299 
65,l,r,0.65,0.3,0.9,0,1,0.35,1.12071896878 
66,r,l,0.2,0,0.1,0.3,2,-0.2,1.31564212322 
67,l,r,0.01,0.3,0.3,0,2,-0.29,1.16644061476 
68,l,r,0.9,0.3,0.7,0,1,0.6,0.836530129611 
69,r,l,0.7,0,0.6,0.3,1,0.3,0.983200766941 
70,r,l,0.5,0,0.6,0.3,1,0.3,0.836359897383 
71,r,l,0.65,0,0.4,0.3,1,0.1,0.836454186412 
72,r,l,0.65,0,0.2,0.3,1,-0.1,0.837574561929 
73,r,l,0.4,0,0.65,0.3,1,0.35,0.836591566806 
74,r,l,0.7,0,0.01,0.3,1,-0.29,0.96236033171 
