# Time : Thu Mar 01 13:20:01 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S10SHn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05C155F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05C15D50> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.2,0,0.2,0.3,2,-0.1,1.06016962639 
1,l,r,0.01,0.3,0.55,0,2,-0.29,0.836995175047 
2,r,l,0.65,0,0.3,0.3,2,0.0,0.839843898327 
3,r,l,0.5,0,0.3,0.3,2,0.0,1.16679387864 
4,r,l,0.55,0,0.65,0.3,2,0.35,0.992564819441 
5,l,r,0.1,0.3,0.01,0,2,-0.2,0.921331804799 
6,l,r,0.4,0.3,0.2,0,2,0.1,0.876205331639 
7,r,l,0.1,0,0.3,0.3,2,0.0,1.6490843938 
8,l,r,0.55,0.3,0.1,0,2,0.25,0.836883393483 
9,l,r,0.1,0.3,0.1,0,2,-0.2,0.835968235264 
10,r,l,0.01,0,0.55,0.3,2,0.25,0.899539093042 
11,r,l,0.5,0,0.55,0.3,2,0.25,0.836430720816 
12,l,r,0.9,0.3,0.5,0,2,0.6,0.837263109482 
13,r,l,0.4,0,0.6,0.3,2,0.3,0.950065213023 
14,r,l,0.3,0,0.3,0.3,2,0.0,0.856967809896 
15,l,r,0.5,0.3,0.3,0,2,0.2,0.838712429982 
16,r,l,0.55,0,0.7,0.3,2,0.4,0.836927338144 
17,l,r,0.9,0.3,0.9,0,1,0.6,0.948481925305 
18,r,l,0.2,0,0.55,0.3,2,0.25,1.7582659693 
19,r,l,0.9,0,0.5,0.3,1,0.2,1.28610875152 
20,l,r,0.1,0.3,0.3,0,2,-0.2,0.85803869434 
21,l,r,0.1,0.3,0.1,0,2,-0.2,1.11280509007 
22,r,l,0.3,0,0.2,0.3,2,-0.1,1.41962073625 
23,l,r,0.4,0.3,0.9,0,2,0.1,0.837752900454 
24,l,r,0.4,0.3,0.01,0,2,0.1,0.872220020249 
25,l,r,0.7,0.3,0.65,0,1,0.4,1.17411045128 
26,r,l,0.01,0,0.2,0.3,2,-0.1,0.836746866383 
27,l,r,0.65,0.3,0.6,0,2,0.35,0.83778233911 
28,l,r,0.4,0.3,0.7,0,2,0.1,0.836816409875 
29,l,r,0.3,0.3,0.2,0,2,0.0,0.837001148108 
30,r,l,0.3,0,0.4,0.3,2,0.1,0.836134627667 
31,l,r,0.55,0.3,0.4,0,2,0.25,0.837201672286 
32,r,l,0.55,0,0.2,0.3,2,-0.1,0.837417129117 
33,l,r,0.3,0.3,0.4,0,2,0.0,0.836593700042 
34,l,r,0.55,0.3,0.2,0,2,0.25,0.837476859723 
35,l,r,0.2,0.3,0.5,0,2,-0.1,0.836707188194 
36,r,l,0.7,0,0.3,0.3,2,0.0,0.836861634477 
37,r,l,0.6,0,0.6,0.3,2,0.3,0.872237939431 
38,r,l,0.4,0,0.01,0.3,2,-0.29,0.862063683919 
39,r,l,0.6,0,0.2,0.3,2,-0.1,0.836269448179 
40,l,r,0.65,0.3,0.01,0,2,0.35,1.05874547807 
41,l,r,0.9,0.3,0.7,0,1,0.6,1.39258794372 
42,l,r,0.5,0.3,0.2,0,2,0.2,0.836889366544 
43,r,l,0.5,0,0.55,0.3,2,0.25,0.836016446396 
44,r,l,0.65,0,0.1,0.3,2,-0.2,1.86912896137 
45,r,l,0.4,0,0.7,0.3,1,0.4,0.857007914732 
46,r,l,0.55,0,0.4,0.3,2,0.1,0.86376643285 
47,r,l,0.01,0,0.65,0.3,1,0.35,1.46162372534 
48,l,r,0.01,0.3,0.5,0,2,-0.29,1.01852928741 
49,r,l,0.65,0,0.4,0.3,2,0.1,1.12918578224 
50,l,r,0.01,0.3,0.55,0,2,-0.29,0.844116769922 
51,l,r,0.6,0.3,0.6,0,1,0.3,1.57893932949 
52,r,l,0.9,0,0.65,0.3,2,0.35,1.57874819155 
53,r,l,0.1,0,0.1,0.3,2,-0.2,1.39455564055 
54,r,l,0.65,0,0.01,0.3,2,-0.29,1.2733929587 
55,r,l,0.01,0,0.9,0.3,1,0.6,0.90219838497 
56,r,l,0.3,0,0.5,0.3,2,0.2,0.83753659033 
57,r,l,0.65,0,0.7,0.3,1,0.4,1.10483489394 
58,r,l,0.4,0,0.6,0.3,1,0.3,1.16372628535 
59,l,r,0.9,0.3,0.6,0,2,0.6,1.23750467712 
60,r,l,0.7,0,0.5,0.3,1,0.2,1.57932373861 
61,l,r,0.7,0.3,0.55,0,2,0.4,1.01916371178 
62,l,r,0.6,0.3,0.6,0,2,0.3,1.21794844993 
63,l,r,0.7,0.3,0.6,0,1,0.4,0.836804463754 
64,r,l,0.7,0,0.65,0.3,2,0.35,0.835930263664 
65,l,r,0.2,0.3,0.9,0,2,-0.1,1.06246968138 
66,r,l,0.3,0,0.6,0.3,1,0.3,1.02029304689 
67,r,l,0.9,0,0.5,0.3,1,0.2,1.30714203128 
68,r,l,0.2,0,0.65,0.3,1,0.35,1.18299836551 
69,l,r,0.9,0.3,0.5,0,2,0.6,1.0148204434 
70,l,r,0.01,0.3,0.65,0,2,-0.29,0.870670011012 
71,l,r,0.5,0.3,0.1,0,2,0.2,1.05257103996 
72,r,l,0.7,0,0.6,0.3,1,0.3,1.21737930258 
73,l,r,0.1,0.3,0.4,0,2,-0.2,1.16219291535 
74,l,r,0.01,0.3,0.1,0,2,-0.29,0.955065091428 
