# Time : Tue Mar 13 12:51:52 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S11TL_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05DEBC38> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05DEBC10> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.2,0.3,0.01,0,2,-0.1,0.836285553137 
1,r,l,0.4,0,0.7,0.3,2,0.4,0.836380694283 
2,r,r,0.2,0.3,0.3,0,2,-0.1,0.946581873009 
3,r,r,0.4,0.3,0.9,0,2,0.1,1.31739640921 
4,l,l,0.6,0,0.4,0.3,2,0.1,0.920218816103 
5,l,r,0.6,0.3,0.9,0,2,0.3,1.15511419924 
6,r,r,0.01,0.3,0.9,0,2,-0.29,0.924891398302 
7,r,l,0.1,0,0.55,0.3,2,0.25,0.87981582722 
8,r,r,0.7,0.3,0.9,0,2,0.4,0.941612774683 
9,l,l,0.4,0,0.5,0.3,2,0.2,1.04742850122 
10,l,l,0.5,0,0.01,0.3,2,-0.29,1.06225686744 
11,r,l,0.65,0,0.5,0.3,2,0.2,1.01109866265 
12,l,r,0.5,0.3,0.3,0,2,0.2,0.898932371284 
13,l,r,0.01,0.3,0.7,0,2,-0.29,0.871786426473 
14,r,r,0.65,0.3,0.6,0,1,0.35,1.26962744775 
15,l,r,0.1,0.3,0.2,0,1,-0.2,1.10552305018 
16,r,r,0.65,0.3,0.9,0,1,0.35,0.989273369097 
17,l,r,0.2,0.3,0.3,0,2,-0.1,1.57310338472 
18,l,l,0.1,0,0.9,0.3,1,0.6,0.836143908023 
19,r,l,0.1,0,0.01,0.3,2,-0.29,0.843768852239 
20,r,r,0.65,0.3,0.65,0,1,0.35,0.978700755924 
21,l,r,0.6,0.3,0.65,0,2,0.3,0.899451594489 
22,r,r,0.01,0.3,0.1,0,2,-0.29,0.836170786463 
23,l,r,0.4,0.3,0.65,0,2,0.1,1.02320761334 
24,l,r,0.55,0.3,0.4,0,1,0.25,1.03795961066 
25,r,r,0.2,0.3,0.7,0,2,-0.1,0.916808667316 
26,r,r,0.65,0.3,0.3,0,1,0.35,1.30466840111 
27,r,r,0.4,0.3,0.55,0,1,0.1,1.14747218935 
28,l,l,0.2,0,0.6,0.3,2,0.3,0.845296656919 
29,r,r,0.1,0.3,0.4,0,2,-0.2,1.22018605 
30,r,r,0.1,0.3,0.5,0,2,-0.2,3.62694986019 
31,l,l,0.2,0,0.6,0.3,2,0.3,1.059656485 
32,l,l,0.01,0,0.2,0.3,2,-0.1,1.00950174198 
33,l,l,0.4,0,0.7,0.3,1,0.4,0.841413788896 
34,r,l,0.2,0,0.7,0.3,2,0.4,1.25623473155 
35,r,l,0.65,0,0.01,0.3,1,-0.29,1.18101264311 
36,r,r,0.5,0.3,0.3,0,2,0.2,4.66176298677 
37,r,l,0.55,0,0.6,0.3,1,0.3,1.21144415727 
38,r,r,0.01,0.3,0.65,0,2,-0.29,0.836833787991 
39,l,l,0.65,0,0.2,0.3,2,-0.1,1.20913474461 
40,l,l,0.4,0,0.1,0.3,2,-0.2,4.27290747076 
41,r,r,0.4,0.3,0.3,0,1,0.1,1.05568060904 
42,r,r,0.6,0.3,0.6,0,1,0.3,1.52544961658 
43,r,r,0.4,0.3,0.6,0,2,0.1,0.903239321366 
44,l,r,0.9,0.3,0.3,0,1,0.6,0.899103881332 
45,l,l,0.7,0,0.1,0.3,2,-0.2,1.007915914 
46,r,r,0.5,0.3,0.01,0,2,0.2,1.9027499631 
47,l,r,0.4,0.3,0.7,0,2,0.1,1.400539958 
48,l,l,0.01,0,0.7,0.3,2,0.4,1.56835784676 
49,l,r,0.7,0.3,0.01,0,1,0.4,0.89726292149 
50,l,l,0.65,0,0.65,0.3,2,0.35,0.966038024034 
51,l,l,0.5,0,0.2,0.3,2,-0.1,0.835941679757 
52,r,r,0.9,0.3,0.01,0,1,0.6,1.35811212661 
53,r,r,0.1,0.3,0.65,0,2,-0.2,1.1350074193 
54,l,l,0.7,0,0.3,0.3,2,0.0,1.11376790509 
55,r,r,0.7,0.3,0.9,0,1,0.4,1.23659469787 
56,l,l,0.65,0,0.4,0.3,2,0.1,1.06640979979 
