# Time : Tue Mar 13 12:34:38 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S11TL_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x059E45F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x059E4D50> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.5,0,0.3,0.3,2,0.0,1.13996414501 
1,l,l,0.6,0,0.5,0.3,2,0.2,1.07077136004 
2,l,r,0.3,0.3,0.9,0,2,0.0,2.89158389103 
3,l,l,0.1,0,0.3,0.3,1,0.0,1.13141722763 
4,l,r,0.7,0.3,0.2,0,2,0.4,3.84609362401 
5,r,l,0.7,0,0.01,0.3,2,-0.29,2.36578826786 
6,r,r,0.1,0.3,0.65,0,2,-0.2,0.924611521209 
7,r,r,0.4,0.3,0.3,0,2,0.1,1.2165630069 
8,r,r,0.3,0.3,0.65,0,2,0.0,1.04724504519 
9,l,l,0.6,0,0.7,0.3,1,0.4,0.982121997401 
10,l,r,0.9,0.3,0.2,0,2,0.6,2.2149097695 
11,r,r,0.7,0.3,0.9,0,1,0.4,0.899696486945 
12,r,l,0.3,0,0.1,0.3,2,-0.2,1.01759087259 
13,r,l,0.4,0,0.3,0.3,2,0.0,1.48138220033 
14,l,l,0.01,0,0.4,0.3,2,0.1,0.90919950885 
15,l,l,0.3,0,0.3,0.3,2,0.0,1.34505347103 
16,l,l,0.5,0,0.2,0.3,2,-0.1,1.01085803661 
17,l,l,0.9,0,0.9,0.3,1,0.6,1.12270136005 
18,l,l,0.55,0,0.4,0.3,2,0.1,1.15752984573 
19,r,r,0.2,0.3,0.01,0,2,-0.1,0.903367313939 
20,r,r,0.9,0.3,0.01,0,1,0.6,1.44321652162 
21,r,l,0.4,0,0.4,0.3,2,0.1,1.34404275635 
22,r,r,0.9,0.3,0.7,0,1,0.6,1.28981358308 
23,l,l,0.55,0,0.6,0.3,1,0.3,0.997637683744 
24,l,r,0.9,0.3,0.65,0,2,0.6,2.54245769632 
25,r,r,0.4,0.3,0.65,0,1,0.1,1.10923696801 
26,l,r,0.5,0.3,0.6,0,2,0.2,1.1450804348 
27,l,l,0.5,0,0.01,0.3,2,-0.29,1.01088534169 
28,r,l,0.5,0,0.2,0.3,1,-0.1,1.39471928242 
29,r,r,0.9,0.3,0.65,0,1,0.6,0.969552273447 
30,l,l,0.4,0,0.55,0.3,2,0.25,3.3543606643 
31,r,r,0.4,0.3,0.9,0,2,0.1,1.11209461552 
32,r,l,0.4,0,0.6,0.3,1,0.3,3.09986364525 
33,r,r,0.6,0.3,0.7,0,1,0.3,2.32367700477 
34,l,l,0.5,0,0.9,0.3,1,0.6,0.891386782463 
35,r,r,0.7,0.3,0.65,0,1,0.4,0.904233397017 
36,l,l,0.5,0,0.5,0.3,2,0.2,1.12409477253 
37,l,l,0.2,0,0.7,0.3,1,0.4,1.57494434456 
38,r,r,0.4,0.3,0.55,0,1,0.1,1.2787908627 
39,r,r,0.9,0.3,0.9,0,1,0.6,1.03556273641 
40,l,l,0.65,0,0.3,0.3,2,0.0,0.857389395218 
41,l,l,0.2,0,0.65,0.3,1,0.35,1.03921991087 
42,r,r,0.65,0.3,0.6,0,1,0.35,0.958045741132 
43,l,l,0.01,0,0.6,0.3,1,0.3,1.18389674242 
44,l,l,0.55,0,0.2,0.3,2,-0.1,0.911709016565 
45,l,l,0.65,0,0.2,0.3,2,-0.1,0.96461218677 
