# Time : Tue Mar 13 11:53:04 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S11TL_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x051A25F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05777800> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.55,0,0.5,0.3,2,0.2,0.930596880565 
1,r,r,0.4,0.3,0.55,0,2,0.1,1.17342311017 
2,l,l,0.65,0,0.6,0.3,1,0.3,1.67022414913 
3,r,r,0.65,0.3,0.9,0,2,0.35,0.978086391574 
4,r,l,0.6,0,0.55,0.3,2,0.25,3.53084151704 
5,r,r,0.01,0.3,0.5,0,2,-0.29,0.992587950097 
6,l,l,0.4,0,0.5,0.3,2,0.2,1.80041179477 
7,r,l,0.7,0,0.1,0.3,2,-0.2,1.5912407856 
8,r,r,0.1,0.3,0.3,0,2,-0.2,0.894027695886 
9,r,l,0.55,0,0.01,0.3,2,-0.29,1.16287694879 
10,r,r,0.2,0.3,0.55,0,2,-0.1,1.04469159336 
11,r,l,0.65,0,0.7,0.3,1,0.4,1.4745145455 
12,l,r,0.55,0.3,0.4,0,2,0.25,1.59042888605 
13,r,l,0.1,0,0.4,0.3,2,0.1,1.92611202081 
14,l,l,0.5,0,0.4,0.3,2,0.1,1.03096012349 
15,r,r,0.65,0.3,0.3,0,1,0.35,0.973737203943 
16,l,l,0.7,0,0.7,0.3,1,0.4,1.51863401206 
17,l,l,0.5,0,0.3,0.3,2,0.0,1.90539386301 
18,l,l,0.1,0,0.01,0.3,2,-0.29,0.987232740841 
19,l,r,0.01,0.3,0.2,0,1,-0.29,3.0120795124 
20,r,r,0.65,0.3,0.55,0,2,0.35,1.52674362149 
21,l,l,0.55,0,0.2,0.3,2,-0.1,1.10455286648 
22,r,r,0.3,0.3,0.7,0,2,0.0,1.16438683451 
23,l,l,0.65,0,0.4,0.3,2,0.1,1.78922183075 
24,l,l,0.1,0,0.01,0.3,2,-0.29,1.79600799698 
25,l,l,0.01,0,0.9,0.3,1,0.6,1.13881562499 
26,r,r,0.01,0.3,0.1,0,2,-0.29,1.34063004771 
27,r,l,0.65,0,0.5,0.3,2,0.2,3.80639800741 
28,l,l,0.1,0,0.6,0.3,1,0.3,1.16912938599 
29,l,l,0.2,0,0.55,0.3,1,0.25,1.20197484007 
30,l,l,0.2,0,0.9,0.3,1,0.6,0.976816278607 
31,r,r,0.9,0.3,0.65,0,1,0.6,1.21065870951 
32,r,r,0.65,0.3,0.65,0,1,0.35,0.929464999578 
33,r,l,0.55,0,0.9,0.3,1,0.6,1.76527058057 
34,l,l,0.9,0,0.1,0.3,2,-0.2,1.2451309492 
35,l,l,0.6,0,0.9,0.3,1,0.6,1.25891233618 
36,r,r,0.3,0.3,0.2,0,2,0.0,1.54371543667 
37,r,l,0.7,0,0.2,0.3,1,-0.1,2.8175052029 
38,r,r,0.7,0.3,0.1,0,1,0.4,1.39729235978 
39,l,l,0.65,0,0.65,0.3,1,0.35,1.39611184162 
40,r,r,0.4,0.3,0.4,0,2,0.1,1.59589032914 
41,r,r,0.3,0.3,0.9,0,2,0.0,1.12268898743 
42,l,l,0.7,0,0.65,0.3,1,0.35,1.66951080385 
43,l,l,0.9,0,0.5,0.3,1,0.2,1.34532012222 
44,l,r,0.4,0.3,0.4,0,1,0.1,1.87513257897 
45,l,l,0.3,0,0.3,0.3,2,0.0,1.06995263422 
46,r,r,0.65,0.3,0.9,0,2,0.35,1.66675427047 
47,r,l,0.7,0,0.6,0.3,2,0.3,2.31154970848 
48,l,l,0.1,0,0.5,0.3,1,0.2,1.56033783213 
49,r,l,0.5,0,0.9,0.3,1,0.6,1.6241280506 
50,l,r,0.7,0.3,0.1,0,2,0.4,1.9979192674 
51,l,r,0.1,0.3,0.55,0,2,-0.2,1.13908227619 
52,l,l,0.7,0,0.3,0.3,2,0.0,1.04493392597 
53,r,r,0.5,0.3,0.3,0,1,0.2,1.49973846851 
54,l,l,0.65,0,0.6,0.3,1,0.3,1.25457509452 
55,l,l,0.5,0,0.2,0.3,2,-0.1,0.916405490711 
56,r,r,0.01,0.3,0.2,0,2,-0.29,0.936487952059 
57,r,r,0.2,0.3,0.9,0,2,-0.1,0.946109153773 
58,l,r,0.9,0.3,0.65,0,1,0.6,1.73289443258 
59,l,l,0.01,0,0.1,0.3,2,-0.2,1.31069941115 
60,l,l,0.55,0,0.1,0.3,2,-0.2,1.26551845952 
61,r,r,0.4,0.3,0.55,0,2,0.1,1.2623421105 
62,l,l,0.2,0,0.55,0.3,1,0.25,1.99621355305 
63,l,l,0.65,0,0.9,0.3,1,0.6,1.08206926446 
64,l,r,0.01,0.3,0.65,0,2,-0.29,1.10281387405 
