# Time : Tue Mar 13 12:15:53 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S11TL_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05B64B98> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B645F8> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.2,0.3,0.2,0,2,-0.1,1.01142376378 
1,l,r,0.2,0.3,0.5,0,2,-0.1,1.19523773767 
2,r,r,0.4,0.3,0.5,0,2,0.1,1.07505484482 
3,r,r,0.3,0.3,0.7,0,2,0.0,0.903817847796 
4,r,r,0.1,0.3,0.01,0,2,-0.2,1.08483603725 
5,l,l,0.3,0,0.7,0.3,1,0.4,0.897536825596 
6,r,r,0.1,0.3,0.65,0,2,-0.2,0.933424663145 
7,l,r,0.65,0.3,0.5,0,2,0.35,1.48917908124 
8,r,r,0.5,0.3,0.4,0,1,0.2,1.20504794175 
9,l,l,0.01,0,0.65,0.3,2,0.35,3.93982770493 
10,l,r,0.9,0.3,0.4,0,1,0.6,0.864493409662 
11,r,r,0.7,0.3,0.6,0,1,0.4,1.01541627878 
12,l,l,0.7,0,0.5,0.3,2,0.2,1.03023269903 
13,r,r,0.7,0.3,0.1,0,1,0.4,1.03003175069 
14,l,l,0.7,0,0.1,0.3,2,-0.2,1.26891111598 
15,r,r,0.65,0.3,0.3,0,1,0.35,1.50471268654 
16,r,l,0.65,0,0.9,0.3,2,0.6,1.43545377207 
17,r,r,0.01,0.3,0.2,0,2,-0.29,1.27334733857 
18,l,l,0.1,0,0.5,0.3,2,0.2,1.00516236711 
19,l,r,0.7,0.3,0.2,0,1,0.4,0.981028087544 
20,l,l,0.1,0,0.65,0.3,2,0.35,1.13378423695 
21,r,r,0.2,0.3,0.55,0,2,-0.1,0.86460902962 
22,l,l,0.01,0,0.3,0.3,2,0.0,1.00746666007 
23,l,r,0.3,0.3,0.4,0,2,0.0,1.07830542953 
24,l,r,0.01,0.3,0.01,0,2,-0.29,1.05219750449 
25,l,l,0.1,0,0.65,0.3,2,0.35,3.19294325748 
26,r,r,0.5,0.3,0.55,0,1,0.2,0.948686497552 
27,l,l,0.7,0,0.01,0.3,2,-0.29,1.31153861579 
28,l,l,0.7,0,0.4,0.3,2,0.1,1.2743554934 
29,l,r,0.1,0.3,0.55,0,2,-0.2,1.49517340007 
30,l,l,0.6,0,0.65,0.3,2,0.35,1.14599003535 
31,r,l,0.1,0,0.2,0.3,2,-0.1,1.03579056319 
32,r,r,0.4,0.3,0.9,0,2,0.1,1.21064292376 
33,r,l,0.01,0,0.4,0.3,2,0.1,1.1294593679 
34,r,r,0.7,0.3,0.65,0,2,0.4,7.4843055507 
35,r,l,0.65,0,0.01,0.3,2,-0.29,2.66677218943 
36,r,r,0.5,0.3,0.7,0,2,0.2,1.06952769887 
37,r,l,0.3,0,0.7,0.3,2,0.4,1.00233458453 
38,r,r,0.55,0.3,0.3,0,1,0.25,1.10621549 
39,l,l,0.7,0,0.3,0.3,2,0.0,1.13304358659 
40,r,l,0.5,0,0.6,0.3,2,0.3,1.56804725144 
41,l,l,0.5,0,0.7,0.3,1,0.4,1.41763763255 
42,r,r,0.5,0.3,0.4,0,2,0.2,1.16050737963 
43,l,r,0.9,0.3,0.2,0,1,0.6,1.49725498595 
44,l,l,0.6,0,0.3,0.3,2,0.0,1.68526668959 
45,r,r,0.3,0.3,0.9,0,2,0.0,1.0958685704 
46,l,l,0.3,0,0.01,0.3,2,-0.29,1.02076423512 
47,l,r,0.6,0.3,0.01,0,2,0.3,1.33150247068 
48,l,l,0.9,0,0.55,0.3,2,0.25,1.15739844003 
