# Time : Tue Mar 13 11:43:18 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S11TLn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0585BAA8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05857878> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.5,0.3,0.55,0,2,0.2,1.01235768292 
1,l,r,0.7,0.3,0.55,0,2,0.4,0.908108158844 
2,l,r,0.01,0.3,0.1,0,2,-0.29,0.952027956991 
3,r,l,0.5,0,0.4,0.3,2,0.1,0.93779262302 
4,l,r,0.6,0.3,0.55,0,2,0.3,1.03564849144 
5,r,l,0.65,0,0.55,0.3,2,0.25,1.08247713413 
6,l,r,0.55,0.3,0.2,0,2,0.25,1.46332031507 
7,l,r,0.2,0.3,0.01,0,2,-0.1,1.03631703931 
8,l,r,0.3,0.3,0.01,0,2,0.0,1.09797660808 
9,r,l,0.9,0,0.65,0.3,2,0.35,1.03079757292 
10,r,l,0.65,0,0.9,0.3,1,0.6,1.03761232415 
11,l,r,0.01,0.3,0.65,0,2,-0.29,0.955466264144 
12,l,r,0.2,0.3,0.9,0,2,-0.1,0.917381220759 
13,l,r,0.1,0.3,0.6,0,2,-0.2,0.905161769813 
14,r,l,0.7,0,0.5,0.3,2,0.2,1.09303310827 
15,l,r,0.5,0.3,0.5,0,1,0.2,1.58582755305 
16,l,r,0.55,0.3,0.2,0,1,0.25,0.905624249644 
17,r,l,0.7,0,0.65,0.3,2,0.35,0.965462910739 
18,r,l,0.5,0,0.3,0.3,2,0.0,1.06340666739 
19,l,r,0.5,0.3,0.1,0,2,0.2,1.12516991014 
20,r,l,0.65,0,0.1,0.3,2,-0.2,1.21605871617 
21,l,r,0.9,0.3,0.5,0,1,0.6,0.966855469933 
22,l,r,0.4,0.3,0.9,0,2,0.1,1.09663140613 
23,r,l,0.4,0,0.3,0.3,2,0.0,1.1336208331 
24,r,l,0.6,0,0.4,0.3,2,0.1,1.26437719241 
25,r,l,0.4,0,0.4,0.3,2,0.1,1.32508833621 
26,r,l,0.3,0,0.7,0.3,2,0.4,1.32795067678 
27,l,r,0.2,0.3,0.4,0,2,-0.1,1.44973262351 
28,l,r,0.3,0.3,0.9,0,2,0.0,1.13564951538 
29,l,r,0.9,0.3,0.4,0,1,0.6,0.873430704394 
30,r,l,0.1,0,0.9,0.3,1,0.6,0.927248168213 
31,r,l,0.2,0,0.1,0.3,2,-0.2,0.874089439503 
32,r,l,0.5,0,0.5,0.3,2,0.2,1.21491915562 
33,r,l,0.3,0,0.2,0.3,2,-0.1,1.01482751294 
34,l,r,0.5,0.3,0.55,0,1,0.2,0.950594440173 
35,r,l,0.3,0,0.01,0.3,2,-0.29,1.06448607142 
36,r,l,0.65,0,0.1,0.3,2,-0.2,1.22224630379 
37,r,l,0.7,0,0.65,0.3,2,0.35,2.02109402932 
38,l,r,0.3,0.3,0.4,0,2,0.0,0.921860960815 
39,l,r,0.6,0.3,0.6,0,1,0.3,0.90872380312 
40,r,l,0.9,0,0.55,0.3,2,0.25,0.960584687139 
41,l,r,0.65,0.3,0.3,0,1,0.35,1.03445645394 
42,l,r,0.4,0.3,0.7,0,2,0.1,1.21723838105 
43,r,l,0.01,0,0.01,0.3,2,-0.29,0.912064835918 
44,l,r,0.3,0.3,0.2,0,2,0.0,0.891916671715 
45,l,r,0.4,0.3,0.01,0,2,0.1,0.856740899515 
46,r,l,0.3,0,0.2,0.3,2,-0.1,1.12656118941 
47,r,l,0.3,0,0.65,0.3,1,0.35,1.55340831423 
48,l,r,0.6,0.3,0.2,0,1,0.3,0.890212237285 
49,r,l,0.7,0,0.9,0.3,1,0.6,0.991061851984 
50,l,r,0.4,0.3,0.9,0,2,0.1,0.878904093458 
51,l,r,0.2,0.3,0.4,0,2,-0.1,0.932743742656 
52,l,r,0.55,0.3,0.6,0,1,0.25,0.887580709983 
53,r,l,0.5,0,0.1,0.3,2,-0.2,0.972471784037 
54,l,r,0.7,0.3,0.6,0,2,0.4,1.30128342419 
55,r,l,0.65,0,0.6,0.3,2,0.3,1.2820708857 
56,l,r,0.01,0.3,0.2,0,2,-0.29,1.15790187748 
57,l,r,0.6,0.3,0.55,0,1,0.3,0.975775698989 
58,r,l,0.4,0,0.7,0.3,1,0.4,1.78456460766 
59,r,l,0.65,0,0.7,0.3,2,0.4,1.03235865567 
60,l,r,0.1,0.3,0.3,0,2,-0.2,1.18326531239 
61,l,r,0.6,0.3,0.01,0,1,0.3,0.95203435662 
62,l,r,0.6,0.3,0.1,0,1,0.3,1.46598128066 
63,r,l,0.1,0,0.9,0.3,1,0.6,1.62267106847 
64,l,r,0.1,0.3,0.1,0,2,-0.2,0.851615650249 
65,r,l,0.6,0,0.7,0.3,1,0.4,1.81030562067 
66,r,l,0.01,0,0.01,0.3,2,-0.29,1.39220806814 
67,r,l,0.6,0,0.55,0.3,2,0.25,1.32005012189 
68,l,r,0.5,0.3,0.01,0,1,0.2,1.03375889442 
69,l,r,0.55,0.3,0.2,0,1,0.25,1.31276265143 
70,r,l,0.5,0,0.2,0.3,2,-0.1,0.995416159318 
71,r,l,0.55,0,0.65,0.3,1,0.35,1.32423846552 
72,l,r,0.65,0.3,0.55,0,2,0.35,1.4300861902 
73,l,r,0.01,0.3,0.7,0,2,-0.29,0.924905477485 
74,r,l,0.1,0,0.3,0.3,2,0.0,1.09470511791 
