# Time : Tue Mar 13 11:38:32 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S11TLn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05B025F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B02D50> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.3,0.3,0.55,0,2,0.0,1.09896257753 
1,r,l,0.3,0,0.9,0.3,1,0.6,1.71080504769 
2,l,r,0.01,0.3,0.55,0,2,-0.29,1.88062004722 
3,l,r,0.9,0.3,0.7,0,1,0.6,1.26041838212 
4,r,l,0.9,0,0.2,0.3,2,-0.1,1.39327509956 
5,l,r,0.6,0.3,0.3,0,1,0.3,1.4490320775 
6,l,r,0.65,0.3,0.7,0,1,0.35,2.13391478937 
7,r,l,0.55,0,0.3,0.3,2,0.0,1.24661992947 
8,r,l,0.7,0,0.55,0.3,2,0.25,1.08447253834 
9,r,l,0.65,0,0.6,0.3,1,0.3,1.12130538772 
10,l,r,0.5,0.3,0.5,0,2,0.2,1.37918183734 
11,l,r,0.1,0.3,0.2,0,2,-0.2,0.915906746318 
12,l,r,0.65,0.3,0.1,0,1,0.35,2.45572864892 
13,l,r,0.7,0.3,0.2,0,1,0.4,0.890502353783 
14,r,l,0.4,0,0.65,0.3,1,0.35,1.67940462975 
15,r,l,0.1,0,0.65,0.3,1,0.35,1.05819822295 
16,r,l,0.3,0,0.2,0.3,2,-0.1,1.34403251694 
17,r,l,0.4,0,0.55,0.3,2,0.25,1.30583526673 
18,l,r,0.1,0.3,0.4,0,2,-0.2,1.17281173231 
19,r,l,0.6,0,0.4,0.3,1,0.1,1.30946470946 
20,r,l,0.1,0,0.5,0.3,2,0.2,2.08826453164 
21,r,l,0.9,0,0.4,0.3,2,0.1,1.20216000266 
22,r,l,0.01,0,0.55,0.3,1,0.25,1.12995171267 
23,l,r,0.7,0.3,0.7,0,1,0.4,1.29268488314 
24,l,r,0.01,0.3,0.1,0,2,-0.29,0.840659485999 
25,r,l,0.1,0,0.1,0.3,2,-0.2,1.24636565089 
26,r,l,0.3,0,0.1,0.3,2,-0.2,1.13327184001 
