# Time : Tue Mar 13 11:24:02 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S11TLn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05E6DF58> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05E6DBC0> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.4,0,0.9,0.3,1,0.6,1.14787621924 
1,r,l,0.1,0,0.55,0.3,2,0.25,1.1577086087 
2,r,l,0.65,0,0.2,0.3,2,-0.1,1.01556219031 
3,l,r,0.1,0.3,0.55,0,2,-0.2,1.21536798291 
4,r,l,0.2,0,0.6,0.3,1,0.3,1.15818175457 
5,l,r,0.5,0.3,0.1,0,2,0.2,1.10397860647 
6,r,l,0.9,0,0.01,0.3,2,-0.29,1.59484121668 
7,l,r,0.6,0.3,0.9,0,2,0.3,1.22665010158 
8,r,l,0.7,0,0.3,0.3,1,0.0,1.43146680342 
9,r,l,0.7,0,0.55,0.3,1,0.25,1.30323957735 
10,r,l,0.2,0,0.4,0.3,2,0.1,1.16211325977 
11,r,l,0.5,0,0.4,0.3,2,0.1,0.954998664611 
12,r,l,0.01,0,0.6,0.3,2,0.3,1.18874467444 
13,r,l,0.6,0,0.5,0.3,2,0.2,0.948561918114 
14,l,r,0.55,0.3,0.2,0,1,0.25,1.98337077827 
15,l,r,0.55,0.3,0.3,0,1,0.25,1.20624893873 
16,l,r,0.9,0.3,0.65,0,1,0.6,0.958042754639 
17,l,r,0.1,0.3,0.01,0,2,-0.2,1.41586962847 
18,r,l,0.5,0,0.2,0.3,1,-0.1,1.0546570951 
19,r,l,0.9,0,0.3,0.3,2,0.0,1.08349126195 
20,l,r,0.7,0.3,0.9,0,1,0.4,1.08132946739 
21,l,r,0.65,0.3,0.4,0,1,0.35,1.21424335484 
22,l,r,0.65,0.3,0.7,0,1,0.35,1.34198548906 
23,l,r,0.4,0.3,0.9,0,1,0.1,2.6067743909 
24,r,l,0.55,0,0.55,0.3,2,0.25,1.3715342811 
25,r,l,0.01,0,0.55,0.3,1,0.25,1.29938358777 
26,r,l,0.6,0,0.5,0.3,1,0.2,1.23123863533 
27,l,r,0.6,0.3,0.3,0,1,0.3,1.27003233092 
28,r,l,0.7,0,0.4,0.3,1,0.1,1.41094660747 
29,l,r,0.6,0.3,0.3,0,1,0.3,1.12974863112 
30,r,l,0.7,0,0.1,0.3,2,-0.2,0.996502389621 
31,l,r,0.65,0.3,0.1,0,1,0.35,1.02831067723 
32,l,r,0.6,0.3,0.4,0,1,0.3,1.13924269354 
33,l,r,0.6,0.3,0.9,0,2,0.3,1.09305017394 
34,r,l,0.65,0,0.9,0.3,1,0.6,1.94580111831 
35,r,l,0.4,0,0.65,0.3,1,0.35,1.03364711424 
36,r,l,0.5,0,0.2,0.3,2,-0.1,0.92163654717 
37,r,l,0.6,0,0.65,0.3,1,0.35,1.70038474567 
38,r,l,0.3,0,0.01,0.3,2,-0.29,1.03118923019 
39,l,r,0.3,0.3,0.4,0,2,0.0,2.13398390536 
40,l,r,0.9,0.3,0.3,0,1,0.6,0.870760779321 
41,r,l,0.2,0,0.01,0.3,2,-0.29,0.899667475295 
42,r,l,0.6,0,0.65,0.3,1,0.35,0.952396148959 
43,l,r,0.1,0.3,0.55,0,2,-0.2,1.33819946875 
44,r,l,0.01,0,0.1,0.3,1,-0.2,1.35606808522 
45,r,l,0.4,0,0.01,0.3,2,-0.29,0.868866489241 
46,l,r,0.3,0.3,0.2,0,2,0.0,1.20281959106 
47,r,l,0.65,0,0.01,0.3,2,-0.29,0.977575701207 
48,r,l,0.01,0,0.3,0.3,2,0.0,1.28140660425 
49,r,l,0.1,0,0.2,0.3,1,-0.1,1.07922654941 
50,r,l,0.55,0,0.7,0.3,1,0.4,1.27615250912 
