# Time : Tue Mar 13 11:33:40 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S11TLn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x059C35F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x059C3D50> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.3,0.3,0.9,0,2,0.0,1.46726419288 
1,l,r,0.9,0.3,0.55,0,1,0.6,1.64005587302 
2,r,l,0.1,0,0.1,0.3,2,-0.2,1.49286014764 
3,l,r,0.6,0.3,0.3,0,2,0.3,0.911662939239 
4,r,l,0.01,0,0.2,0.3,1,-0.1,0.96351998348 
5,l,r,0.3,0.3,0.1,0,2,0.0,0.941390920889 
6,r,l,0.4,0,0.55,0.3,1,0.25,1.00818811154 
7,r,l,0.5,0,0.55,0.3,1,0.25,1.00843855034 
8,l,r,0.4,0.3,0.6,0,2,0.1,0.93588724025 
9,r,l,0.2,0,0.1,0.3,2,-0.2,0.969729329839 
10,l,r,0.6,0.3,0.5,0,2,0.3,0.963663335162 
11,l,r,0.4,0.3,0.4,0,2,0.1,0.965380142208 
12,l,r,0.3,0.3,0.65,0,2,0.0,1.63026316126 
13,l,r,0.9,0.3,0.6,0,1,0.6,0.884032755859 
14,l,r,0.5,0.3,0.55,0,2,0.2,0.837095319482 
15,r,l,0.7,0,0.2,0.3,2,-0.1,1.0477723746 
16,l,r,0.7,0.3,0.5,0,1,0.4,1.01458390041 
17,r,l,0.1,0,0.1,0.3,2,-0.2,0.893398399069 
18,r,l,0.3,0,0.01,0.3,2,-0.29,1.01827733943 
19,l,r,0.2,0.3,0.3,0,2,-0.1,1.3851040537 
20,l,r,0.01,0.3,0.9,0,2,-0.29,1.20105883989 
21,r,l,0.55,0,0.5,0.3,1,0.2,0.944711901517 
22,l,r,0.65,0.3,0.55,0,1,0.35,1.93955422747 
23,l,r,0.4,0.3,0.6,0,2,0.1,0.907431078133 
24,l,r,0.3,0.3,0.3,0,2,0.0,0.887220624211 
25,l,r,0.3,0.3,0.01,0,2,0.0,0.948040135058 
26,l,r,0.6,0.3,0.65,0,2,0.3,1.0708839935 
27,l,r,0.9,0.3,0.4,0,1,0.6,0.955697077418 
28,r,l,0.65,0,0.4,0.3,2,0.1,1.05354910606 
29,l,r,0.9,0.3,0.6,0,1,0.6,0.907378601178 
30,r,l,0.01,0,0.2,0.3,2,-0.1,0.887212518015 
31,r,l,0.65,0,0.6,0.3,2,0.3,1.05206652542 
32,r,l,0.3,0,0.7,0.3,1,0.4,0.880871765948 
33,r,l,0.6,0,0.65,0.3,2,0.35,0.836818855525 
34,l,r,0.9,0.3,0.9,0,1,0.6,0.901588643816 
35,r,l,0.7,0,0.55,0.3,2,0.25,1.04143588895 
36,r,l,0.55,0,0.01,0.3,2,-0.29,0.847251530151 
37,r,l,0.5,0,0.5,0.3,2,0.2,0.950248860226 
38,r,l,0.1,0,0.4,0.3,2,0.1,0.836079058452 
39,l,r,0.2,0.3,0.9,0,2,-0.1,1.00780882688 
40,r,l,0.5,0,0.5,0.3,2,0.2,1.08764718079 
41,r,l,0.9,0,0.4,0.3,2,0.1,1.16449733477 
42,r,l,0.65,0,0.55,0.3,2,0.25,1.10130398833 
43,l,r,0.55,0.3,0.6,0,1,0.25,1.10514120567 
44,r,l,0.5,0,0.6,0.3,1,0.3,1.52395082355 
45,l,r,0.65,0.3,0.6,0,2,0.35,1.27872345327 
46,r,l,0.1,0,0.4,0.3,2,0.1,1.04264285891 
47,r,l,0.01,0,0.65,0.3,1,0.35,1.23340384302 
48,r,l,0.65,0,0.1,0.3,2,-0.2,1.04722584631 
49,l,r,0.65,0.3,0.01,0,2,0.35,1.01409326221 
50,l,r,0.7,0.3,0.2,0,1,0.4,1.26994785583 
51,l,r,0.7,0.3,0.7,0,2,0.4,1.18573215592 
52,r,l,0.2,0,0.7,0.3,2,0.4,1.06555139627 
53,r,l,0.3,0,0.3,0.3,2,0.0,1.07144545426 
54,l,r,0.55,0.3,0.01,0,2,0.25,1.30024796428 
55,r,l,0.9,0,0.2,0.3,2,-0.1,1.16000394217 
56,r,l,0.4,0,0.65,0.3,1,0.35,1.17788450462 
57,l,r,0.01,0.3,0.4,0,2,-0.29,1.09769033136 
58,l,r,0.5,0.3,0.5,0,2,0.2,1.03855306956 
59,l,r,0.55,0.3,0.4,0,2,0.25,1.7243658608 
60,l,r,0.2,0.3,0.2,0,2,-0.1,1.39031335142 
61,l,r,0.01,0.3,0.7,0,2,-0.29,0.917969986595 
62,l,r,0.1,0.3,0.2,0,2,-0.2,0.937828887582 
63,r,l,0.2,0,0.3,0.3,2,0.0,1.79566241703 
64,r,l,0.65,0,0.1,0.3,2,-0.2,1.17844255224 
65,r,l,0.4,0,0.5,0.3,1,0.2,1.06733305289 
66,r,l,0.1,0,0.6,0.3,1,0.3,1.2343829862 
67,r,l,0.7,0,0.65,0.3,2,0.35,1.45594282316 
68,r,l,0.01,0,0.9,0.3,1,0.6,1.05274147292 
69,l,r,0.01,0.3,0.55,0,2,-0.29,1.10658922832 
70,r,l,0.2,0,0.6,0.3,1,0.3,1.11842470154 
71,r,l,0.1,0,0.7,0.3,1,0.4,1.04124048695 
72,l,r,0.01,0.3,0.55,0,2,-0.29,0.896289324651 
73,r,l,0.7,0,0.5,0.3,2,0.2,1.13995390561 
74,l,r,0.1,0.3,0.3,0,2,-0.2,1.12675915126 
