# Time : Wed May 23 12:42:19 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JD_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B9614E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B9612B0> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.7,0.3,0.6,0,1,0.4,1.71859495441 
1,l,r,0.6,0.3,0.01,0,1,0.3,1.84931056242 
2,r,l,0.4,0,0.1,0.3,1,-0.2,2.15008232122 
3,l,l,0.3,0,0.3,0.3,2,0.0,1.62984034504 
4,l,l,0.01,0,0.6,0.3,1,0.3,0.836661380531 
5,l,r,0.5,0.3,0.55,0,1,0.2,1.38650955878 
6,r,r,0.9,0.3,0.3,0,1,0.6,0.905316726589 
7,l,l,0.55,0,0.01,0.3,2,-0.29,1.19714685176 
8,l,l,0.6,0,0.1,0.3,1,-0.2,2.15798550003 
9,l,r,0.55,0.3,0.9,0,1,0.25,2.13274558667 
10,r,r,0.4,0.3,0.1,0,1,0.1,1.90153835521 
11,r,r,0.3,0.3,0.3,0,2,0.0,1.78329316467 
12,r,r,0.7,0.3,0.55,0,1,0.4,1.03910887435 
13,r,r,0.9,0.3,0.65,0,1,0.6,1.49293880583 
14,r,r,0.6,0.3,0.7,0,1,0.3,0.83667247331 
