# Time : Wed May 23 12:17:48 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JD_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BAC14E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BAC12B0> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.55,0,0.4,0.3,1,0.1,1.08842353256 
1,r,l,0.4,0,0.9,0.3,1,0.6,1.52424860284 
2,r,r,0.4,0.3,0.9,0,1,0.1,2.88600462398 
3,r,r,0.6,0.3,0.3,0,1,0.3,0.886812263665 
4,l,l,0.65,0,0.7,0.3,1,0.4,0.836606343278 
5,l,l,0.4,0,0.7,0.3,1,0.4,0.836641754844 
6,l,l,0.9,0,0.2,0.3,2,-0.1,2.09729476971 
7,l,l,0.4,0,0.1,0.3,2,-0.2,0.843064900867 
8,r,r,0.65,0.3,0.7,0,1,0.35,0.836648581169 
9,l,l,0.6,0,0.01,0.3,2,-0.29,3.00079825348 
10,l,l,0.65,0,0.1,0.3,2,-0.2,1.68444455253 
11,l,l,0.4,0,0.1,0.3,2,-0.2,1.08833607026 
12,l,l,0.3,0,0.55,0.3,2,0.25,3.44407468513 
13,l,r,0.4,0.3,0.4,0,1,0.1,2.70883714818 
14,l,l,0.2,0,0.2,0.3,2,-0.1,1.71755905945 
15,r,r,0.4,0.3,0.6,0,2,0.1,3.12736132212 
16,r,r,0.1,0.3,0.7,0,2,-0.2,2.44603981369 
17,l,l,0.5,0,0.3,0.3,2,0.0,1.11280162228 
18,l,l,0.65,0,0.5,0.3,1,0.2,2.20468226226 
19,l,l,0.2,0,0.7,0.3,1,0.4,1.17744223542 
20,r,r,0.5,0.3,0.1,0,2,0.2,2.34629951273 
21,l,r,0.65,0.3,0.01,0,2,0.35,1.69704424355 
22,l,r,0.4,0.3,0.55,0,2,0.1,1.78790861427 
23,l,l,0.55,0,0.5,0.3,1,0.2,1.04260139334 
24,r,r,0.9,0.3,0.3,0,1,0.6,0.913419575428 
25,l,l,0.3,0,0.01,0.3,2,-0.29,1.28524314733 
26,r,l,0.55,0,0.5,0.3,2,0.2,2.28912604683 
27,l,l,0.4,0,0.4,0.3,1,0.1,1.09889554313 
28,l,l,0.2,0,0.65,0.3,1,0.35,1.3117019865 
29,r,l,0.01,0,0.7,0.3,2,0.4,3.17856644596 
30,r,r,0.55,0.3,0.2,0,1,0.25,2.06229705013 
31,l,l,0.5,0,0.2,0.3,2,-0.1,1.97003968229 
32,l,l,0.01,0,0.4,0.3,1,0.1,0.864782003416 
33,r,r,0.55,0.3,0.3,0,1,0.25,4.7105808478 
34,l,l,0.5,0,0.5,0.3,1,0.2,0.970266230976 
35,r,l,0.3,0,0.3,0.3,2,0.0,1.80314924012 
36,l,l,0.01,0,0.65,0.3,1,0.35,1.43291492222 
37,l,l,0.5,0,0.7,0.3,1,0.4,0.895758590398 
38,r,l,0.1,0,0.7,0.3,1,0.4,1.0526736372 
39,l,r,0.3,0.3,0.1,0,2,0.0,2.62538147429 
40,l,l,0.7,0,0.7,0.3,1,0.4,0.917121577291 
41,r,l,0.1,0,0.7,0.3,1,0.4,1.41698569074 
42,r,l,0.2,0,0.7,0.3,2,0.4,1.55181501339 
43,l,l,0.5,0,0.2,0.3,2,-0.1,1.3055207484 
44,r,r,0.4,0.3,0.65,0,2,0.1,1.96441521639 
45,r,r,0.2,0.3,0.5,0,2,-0.1,2.04420259341 
46,r,r,0.65,0.3,0.01,0,1,0.35,1.32004290346 
47,l,r,0.6,0.3,0.3,0,1,0.3,1.28173526911 
48,r,l,0.4,0,0.55,0.3,1,0.25,1.82273908886 
49,r,l,0.6,0,0.5,0.3,1,0.2,2.89932491903 
50,l,l,0.3,0,0.3,0.3,1,0.0,3.73206158882 
51,l,l,0.7,0,0.2,0.3,2,-0.1,3.76667148776 
52,r,l,0.7,0,0.1,0.3,2,-0.2,1.57835320861 
53,r,l,0.6,0,0.4,0.3,2,0.1,1.67420463704 
54,l,l,0.2,0,0.9,0.3,1,0.6,1.39800210507 
55,l,l,0.55,0,0.4,0.3,2,0.1,1.91682847192 
56,r,r,0.3,0.3,0.6,0,1,0.0,2.5905322273 
57,r,l,0.4,0,0.2,0.3,2,-0.1,3.21131659774 
58,r,r,0.6,0.3,0.7,0,1,0.3,2.01496671953 
59,l,r,0.1,0.3,0.7,0,2,-0.2,3.56373804486 
60,r,r,0.65,0.3,0.65,0,1,0.35,5.98442659076 
61,r,l,0.65,0,0.3,0.3,1,0.0,5.55805512855 
62,r,r,0.2,0.3,0.55,0,2,-0.1,2.40665020669 
63,l,l,0.01,0,0.6,0.3,1,0.3,1.16344954727 
64,r,l,0.1,0,0.7,0.3,2,0.4,1.98018914896 
65,l,r,0.55,0.3,0.55,0,2,0.25,3.00300528998 
66,l,r,0.55,0.3,0.7,0,2,0.25,1.83971530808 
67,r,r,0.1,0.3,0.3,0,2,-0.2,2.171461094 
68,l,l,0.6,0,0.6,0.3,1,0.3,1.04228354254 
69,l,l,0.9,0,0.6,0.3,1,0.3,1.23317875972 
70,r,l,0.4,0,0.7,0.3,1,0.4,2.18297241268 
71,l,l,0.6,0,0.9,0.3,1,0.6,0.941832450391 
72,l,l,0.01,0,0.6,0.3,1,0.3,0.936582579131 
73,r,r,0.3,0.3,0.4,0,1,0.0,4.762379862 
74,r,r,0.6,0.3,0.3,0,1,0.3,0.836439951584 
75,l,r,0.55,0.3,0.01,0,2,0.25,2.67479170106 
76,l,l,0.3,0,0.55,0.3,1,0.25,1.09260081737 
77,l,l,0.7,0,0.01,0.3,2,-0.29,1.1603926332 
78,r,r,0.4,0.3,0.6,0,1,0.1,2.58529174224 
79,r,r,0.01,0.3,0.7,0,2,-0.29,0.895005987968 
80,r,r,0.5,0.3,0.1,0,1,0.2,2.2838962279 
81,r,r,0.01,0.3,0.55,0,2,-0.29,1.07859660979 
82,r,r,0.6,0.3,0.01,0,2,0.3,2.03548153543 
83,r,l,0.1,0,0.5,0.3,2,0.2,3.2002430172 
84,l,l,0.5,0,0.7,0.3,1,0.4,0.898995548809 
85,l,l,0.3,0,0.9,0.3,1,0.6,1.06373569831 
86,r,r,0.65,0.3,0.9,0,1,0.35,2.95755219899 
87,l,l,0.5,0,0.7,0.3,1,0.4,4.09127651014 
88,l,l,0.7,0,0.01,0.3,2,-0.29,1.24903162167 
89,r,r,0.55,0.3,0.2,0,1,0.25,1.68685339228 
90,r,l,0.6,0,0.4,0.3,1,0.1,1.65763714409 
91,r,r,0.5,0.3,0.55,0,1,0.2,1.11842267501 
92,r,r,0.1,0.3,0.7,0,2,-0.2,1.4012373569 
93,l,l,0.6,0,0.65,0.3,2,0.35,7.90399113943 
94,l,l,0.4,0,0.5,0.3,1,0.2,1.20549246182 
95,r,r,0.7,0.3,0.55,0,1,0.4,0.877417959295 
96,l,l,0.4,0,0.6,0.3,1,0.3,1.38614435034 
97,l,r,0.1,0.3,0.4,0,2,-0.2,1.54595717248 
98,l,r,0.3,0.3,0.6,0,2,0.0,0.954787537006 
99,r,r,0.6,0.3,0.01,0,1,0.3,0.972676777309 
100,r,l,0.65,0,0.3,0.3,2,0.0,2.39744874603 
101,r,r,0.2,0.3,0.1,0,2,-0.1,1.93544471593 
102,r,l,0.55,0,0.7,0.3,1,0.4,1.67231630464 
103,r,l,0.6,0,0.9,0.3,1,0.6,0.979160506974 
104,l,l,0.5,0,0.9,0.3,1,0.6,3.40488218828 
105,l,l,0.6,0,0.1,0.3,2,-0.2,1.28771939705 
