# Time : Wed May 23 12:57:34 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JD_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BB28A58> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BB289E0> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.7,0.3,0.55,0,1,0.4,2.16854539955 
1,r,r,0.5,0.3,0.3,0,1,0.2,1.40831796343 
2,r,r,0.5,0.3,0.2,0,1,0.2,0.836815399509 
3,l,l,0.65,0,0.65,0.3,1,0.35,0.876915797697 
4,l,l,0.7,0,0.6,0.3,1,0.3,1.09866046154 
5,r,r,0.55,0.3,0.5,0,1,0.25,0.836106314906 
6,r,l,0.2,0,0.3,0.3,1,0.0,1.861471662 
7,l,l,0.3,0,0.1,0.3,2,-0.2,0.837101678551 
8,l,r,0.4,0.3,0.4,0,1,0.1,1.48798502645 
9,r,r,0.55,0.3,0.01,0,1,0.25,1.01990087322 
10,l,l,0.4,0,0.55,0.3,1,0.25,1.65866109297 
11,r,r,0.6,0.3,0.1,0,1,0.3,1.15050470014 
12,r,r,0.9,0.3,0.4,0,1,0.6,1.04932191118 
13,l,l,0.6,0,0.01,0.3,2,-0.29,1.04817807495 
14,l,r,0.3,0.3,0.2,0,1,0.0,1.47808941378 
15,l,l,0.01,0,0.1,0.3,1,-0.2,1.28184150381 
16,l,l,0.65,0,0.4,0.3,2,0.1,3.55051929141 
17,l,r,0.9,0.3,0.3,0,1,0.6,2.01134791351 
18,l,l,0.6,0,0.01,0.3,2,-0.29,0.836936993439 
19,r,l,0.5,0,0.7,0.3,1,0.4,1.24008060184 
20,l,l,0.7,0,0.65,0.3,1,0.35,1.66171587381 
21,r,r,0.6,0.3,0.6,0,1,0.3,0.836417766025 
22,l,l,0.7,0,0.9,0.3,1,0.6,0.848501216153 
23,l,l,0.3,0,0.2,0.3,1,-0.1,1.84717093589 
