# Time : Wed May 23 13:13:42 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JD_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B9C14E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B9C12B0> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.55,0,0.7,0.3,2,0.4,2.47479912469 
1,r,l,0.9,0,0.55,0.3,2,0.25,1.18164810546 
2,r,l,0.1,0,0.01,0.3,2,-0.29,1.30247748699 
3,l,r,0.5,0.3,0.1,0,2,0.2,1.30520844399 
4,l,l,0.1,0,0.3,0.3,2,0.0,1.17213604697 
5,r,l,0.55,0,0.7,0.3,1,0.4,1.22893875804 
6,r,l,0.6,0,0.9,0.3,1,0.6,0.837359372353 
7,r,r,0.2,0.3,0.9,0,2,-0.1,1.5226128445 
8,l,r,0.55,0.3,0.9,0,2,0.25,2.01241111377 
9,l,l,0.9,0,0.5,0.3,1,0.2,1.25821217671 
10,r,l,0.7,0,0.5,0.3,1,0.2,1.63897140921 
11,l,l,0.3,0,0.4,0.3,1,0.1,1.20275681171 
12,r,r,0.2,0.3,0.5,0,2,-0.1,1.41957073503 
13,l,l,0.7,0,0.55,0.3,1,0.25,1.49744759408 
14,r,l,0.55,0,0.9,0.3,1,0.6,1.96417672163 
15,r,l,0.6,0,0.5,0.3,2,0.2,1.93208616359 
16,l,l,0.6,0,0.3,0.3,1,0.0,1.06884179008 
17,r,l,0.3,0,0.9,0.3,2,0.6,1.28968409897 
18,l,l,0.01,0,0.01,0.3,1,-0.29,0.84552323148 
19,r,r,0.4,0.3,0.4,0,2,0.1,1.02038895552 
20,r,r,0.1,0.3,0.01,0,1,-0.2,0.995172507655 
21,r,r,0.01,0.3,0.65,0,2,-0.29,0.955003846208 
22,r,l,0.9,0,0.5,0.3,2,0.2,1.23789020452 
23,r,l,0.2,0,0.7,0.3,1,0.4,1.25164610449 
24,r,r,0.55,0.3,0.01,0,2,0.25,1.4005368052 
25,r,l,0.5,0,0.6,0.3,1,0.3,0.837338040085 
26,l,l,0.3,0,0.1,0.3,2,-0.2,0.837429768839 
27,l,l,0.7,0,0.1,0.3,1,-0.2,0.836609756441 
28,r,r,0.4,0.3,0.01,0,2,0.1,1.49293411273 
29,l,r,0.55,0.3,0.55,0,1,0.25,1.31966660224 
