# Time : Wed May 23 11:49:36 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JD_n_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B9C12B0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B9C1080> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.4,0.3,0.4,0,1,0.1,1.62629321544 
1,l,r,0.01,0.3,0.9,0,1,-0.29,1.76019245119 
2,r,l,0.6,0,0.9,0.3,1,0.6,1.24788949202 
3,r,l,0.55,0,0.6,0.3,1,0.3,1.0618209139 
4,r,l,0.01,0,0.55,0.3,1,0.25,1.13157273856 
5,r,l,0.5,0,0.01,0.3,2,-0.29,1.55838151226 
6,r,l,0.3,0,0.7,0.3,1,0.4,1.20720416303 
7,r,l,0.01,0,0.9,0.3,1,0.6,1.49401992519 
8,r,l,0.4,0,0.65,0.3,1,0.35,2.98585371952 
9,r,l,0.5,0,0.2,0.3,1,-0.1,3.74257583728 
10,r,l,0.1,0,0.5,0.3,1,0.2,0.938208097985 
11,l,r,0.4,0.3,0.1,0,1,0.1,5.2452157055 
12,r,l,0.5,0,0.01,0.3,2,-0.29,1.43370592273 
13,l,r,0.2,0.3,0.9,0,1,-0.1,1.6004487456 
14,l,r,0.3,0.3,0.1,0,2,0.0,2.29530600499 
15,l,r,0.6,0.3,0.6,0,1,0.3,0.83713581018 
16,l,r,0.55,0.3,0.5,0,1,0.25,0.836864890371 
17,l,r,0.4,0.3,0.65,0,1,0.1,1.39087243431 
18,l,r,0.3,0.3,0.65,0,1,0.0,1.58969130928 
19,l,r,0.2,0.3,0.3,0,2,-0.1,3.08532950035 
20,r,l,0.01,0,0.55,0.3,1,0.25,0.973137980952 
21,l,r,0.3,0.3,0.1,0,1,0.0,1.43089646298 
22,l,r,0.2,0.3,0.01,0,1,-0.1,3.3726802758 
23,l,r,0.3,0.3,0.5,0,1,0.0,1.57749863793 
24,l,r,0.1,0.3,0.2,0,1,-0.2,2.07324306371 
25,r,l,0.5,0,0.4,0.3,1,0.1,2.68413608793 
26,l,r,0.4,0.3,0.7,0,2,0.1,1.07775739835 
27,l,r,0.1,0.3,0.55,0,2,-0.2,1.45864035801 
28,r,l,0.2,0,0.1,0.3,1,-0.2,1.17539561758 
29,r,l,0.2,0,0.01,0.3,2,-0.29,1.6083706968 
30,l,r,0.5,0.3,0.3,0,2,0.2,4.11802205501 
31,r,l,0.65,0,0.7,0.3,1,0.4,0.837013789605 
32,r,l,0.9,0,0.65,0.3,1,0.35,1.99351115059 
33,r,l,0.7,0,0.7,0.3,1,0.4,0.904370853807 
34,r,l,0.4,0,0.4,0.3,1,0.1,0.844137060678 
35,r,l,0.55,0,0.2,0.3,1,-0.1,1.0510110002 
36,l,r,0.2,0.3,0.4,0,1,-0.1,1.73786567241 
37,r,l,0.4,0,0.5,0.3,1,0.2,0.858782942889 
38,l,r,0.7,0.3,0.2,0,1,0.4,0.920477996405 
39,l,r,0.01,0.3,0.9,0,2,-0.29,0.907319826594 
40,l,r,0.9,0.3,0.6,0,1,0.6,0.836033785193 
41,r,l,0.6,0,0.1,0.3,1,-0.2,1.32599588629 
42,r,l,0.65,0,0.65,0.3,1,0.35,0.928858591379 
43,l,r,0.6,0.3,0.4,0,1,0.3,1.19566852556 
44,l,r,0.3,0.3,0.2,0,1,0.0,1.81148674392 
45,l,r,0.55,0.3,0.01,0,1,0.25,1.05729249996 
46,l,r,0.65,0.3,0.3,0,1,0.35,1.03113871222 
47,r,l,0.7,0,0.1,0.3,1,-0.2,2.58196561494 
48,l,r,0.2,0.3,0.01,0,2,-0.1,0.867704097545 
49,r,l,0.55,0,0.3,0.3,1,0.0,1.94554511839 
50,r,l,0.6,0,0.9,0.3,1,0.6,1.37733369684 
51,l,r,0.5,0.3,0.65,0,1,0.2,0.954160368314 
52,r,l,0.7,0,0.6,0.3,1,0.3,3.25195115593 
53,l,r,0.5,0.3,0.55,0,1,0.2,1.82868908517 
54,r,l,0.65,0,0.9,0.3,1,0.6,1.28249085806 
55,r,l,0.1,0,0.6,0.3,1,0.3,0.998315604085 
56,l,r,0.55,0.3,0.55,0,1,0.25,0.951142278977 
57,l,r,0.3,0.3,0.6,0,1,0.0,4.83399186046 
58,l,r,0.4,0.3,0.2,0,2,0.1,2.32064191356 
59,l,r,0.5,0.3,0.3,0,1,0.2,0.837217726091 
60,r,l,0.4,0,0.01,0.3,1,-0.29,2.40030812329 
61,r,l,0.1,0,0.5,0.3,1,0.2,1.5891132048 
62,r,l,0.2,0,0.7,0.3,1,0.4,0.883950753178 
63,r,l,0.5,0,0.1,0.3,2,-0.2,2.10566597849 
64,r,l,0.1,0,0.55,0.3,1,0.25,0.836254360849 
65,l,r,0.7,0.3,0.9,0,1,0.4,0.857241473172 
66,l,r,0.1,0.3,0.6,0,1,-0.2,1.01507892726 
67,r,l,0.65,0,0.65,0.3,1,0.35,3.25495431268 
68,r,l,0.3,0,0.55,0.3,1,0.25,1.1456029715 
69,r,l,0.55,0,0.6,0.3,1,0.3,2.4435883094 
70,l,r,0.65,0.3,0.7,0,1,0.35,1.20630095479 
71,l,r,0.01,0.3,0.7,0,2,-0.29,2.51806011177 
72,r,l,0.3,0,0.9,0.3,1,0.6,1.16577775104 
73,l,r,0.6,0.3,0.9,0,1,0.3,2.6396220434 
74,r,l,0.01,0,0.65,0.3,1,0.35,1.51448610352 
