# Time : Wed May 23 11:55:02 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JD_n_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B9114E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B9112B0> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.6,0.3,0.1,0,2,0.3,1.95419279336 
1,l,r,0.1,0.3,0.2,0,1,-0.2,2.46598591132 
2,r,l,0.2,0,0.01,0.3,2,-0.29,1.34875869663 
3,l,r,0.3,0.3,0.7,0,2,0.0,1.11858949335 
4,r,l,0.01,0,0.5,0.3,2,0.2,2.72936988319 
5,l,r,0.01,0.3,0.1,0,2,-0.29,0.928150360067 
6,r,l,0.2,0,0.55,0.3,2,0.25,2.75499377738 
7,r,l,0.3,0,0.5,0.3,2,0.2,1.22574531746 
8,r,l,0.6,0,0.7,0.3,1,0.4,2.59961678713 
9,r,l,0.6,0,0.4,0.3,1,0.1,1.59627914041 
10,r,l,0.9,0,0.6,0.3,2,0.3,1.62016914782 
11,l,r,0.9,0.3,0.3,0,1,0.6,2.02601939445 
12,r,l,0.6,0,0.65,0.3,1,0.35,1.294664757 
13,r,l,0.55,0,0.2,0.3,1,-0.1,1.36954827215 
14,r,l,0.7,0,0.01,0.3,2,-0.29,1.28235390489 
15,r,l,0.01,0,0.9,0.3,1,0.6,0.837010376442 
16,r,l,0.4,0,0.1,0.3,2,-0.2,2.94105083608 
17,l,r,0.1,0.3,0.55,0,2,-0.2,1.66767824284 
18,l,r,0.55,0.3,0.3,0,2,0.25,1.27149791349 
19,r,l,0.3,0,0.4,0.3,2,0.1,1.62031890035 
20,l,r,0.55,0.3,0.2,0,2,0.25,1.31416927667 
21,l,r,0.5,0.3,0.7,0,2,0.2,2.65292612593 
22,l,r,0.2,0.3,0.55,0,2,-0.1,1.16773562664 
23,l,r,0.7,0.3,0.1,0,1,0.4,0.848549853725 
24,l,r,0.65,0.3,0.01,0,1,0.35,1.20737183466 
25,l,r,0.3,0.3,0.01,0,2,0.0,3.67115369601 
26,r,l,0.4,0,0.55,0.3,2,0.25,2.35087784418 
