# Time : Tue May 29 17:24:23 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S013MG_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BCBD530> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BCBD558> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.7,0.3,0.2,0,1,0.4,0.836459894125 
1,r,l,0.9,0,0.3,0.3,2,0.0,0.836724837621 
2,l,l,0.2,0,0.2,0.3,2,-0.1,0.859868355934 
3,r,r,0.65,0.3,0.55,0,2,0.35,0.873713253489 
4,l,l,0.5,0,0.65,0.3,1,0.35,0.836018748272 
5,l,l,0.3,0,0.3,0.3,2,0.0,0.836109195971 
6,r,r,0.4,0.3,0.01,0,1,0.1,1.14823268609 
7,l,l,0.4,0,0.7,0.3,2,0.4,1.05410948267 
8,l,l,0.4,0,0.3,0.3,2,0.0,0.876072999826 
9,r,l,0.4,0,0.55,0.3,2,0.25,0.8977975132 
10,l,l,0.4,0,0.3,0.3,2,0.0,1.00556509333 
11,l,l,0.5,0,0.2,0.3,2,-0.1,0.933450545587 
12,r,r,0.55,0.3,0.65,0,2,0.25,0.837031591845 
13,l,r,0.65,0.3,0.9,0,2,0.35,0.836566127507 
14,r,r,0.9,0.3,0.3,0,1,0.6,0.837369064156 
15,l,l,0.01,0,0.6,0.3,1,0.3,1.07784901719 
16,l,r,0.3,0.3,0.6,0,2,0.0,0.866757313464 
17,r,l,0.6,0,0.4,0.3,2,0.1,1.0485588951 
18,l,l,0.2,0,0.6,0.3,2,0.3,1.21545751177 
19,r,l,0.1,0,0.5,0.3,1,0.2,0.846202220576 
20,r,l,0.65,0,0.55,0.3,1,0.25,0.981034568087 
21,l,l,0.1,0,0.2,0.3,2,-0.1,0.869924689491 
22,r,r,0.5,0.3,0.01,0,1,0.2,0.947731042674 
23,r,r,0.2,0.3,0.65,0,2,-0.1,1.09361678163 
