# Time : Tue Jun 05 12:10:45 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S014JN_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B9A14E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B9A12B0> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.2,0,0.6,0.3,1,0.3,0.836229188772 
1,l,l,0.6,0,0.5,0.3,2,0.2,0.836675459828 
2,r,r,0.3,0.3,0.3,0,2,0.0,0.950917863514 
3,l,l,0.2,0,0.01,0.3,2,-0.29,0.836820519253 
4,l,l,0.01,0,0.4,0.3,1,0.1,0.837741646604 
5,l,l,0.4,0,0.1,0.3,2,-0.2,0.835965521934 
6,l,r,0.7,0.3,0.2,0,2,0.4,0.836059383916 
7,r,l,0.65,0,0.7,0.3,1,0.4,1.6041379481 
8,r,r,0.6,0.3,0.9,0,2,0.3,0.836574344875 
9,l,l,0.1,0,0.1,0.3,1,-0.2,0.836707031585 
10,r,r,0.9,0.3,0.01,0,2,0.6,0.836791080723 
11,r,r,0.3,0.3,0.3,0,1,0.0,0.836855930819 
12,r,r,0.1,0.3,0.55,0,2,-0.2,0.861350068071 
13,r,r,0.3,0.3,0.1,0,2,0.0,0.837308174909 
14,r,l,0.4,0,0.55,0.3,2,0.25,1.29006466664 
15,l,l,0.6,0,0.5,0.3,1,0.2,1.49385609337 
16,l,l,0.3,0,0.9,0.3,1,0.6,1.03361197542 
17,l,r,0.55,0.3,0.2,0,2,0.25,0.864534975747 
18,r,r,0.7,0.3,0.5,0,1,0.4,0.837142636506 
19,r,r,0.6,0.3,0.5,0,2,0.3,0.83727489657 
20,r,r,0.01,0.3,0.65,0,2,-0.29,0.837269776826 
21,r,r,0.2,0.3,0.4,0,1,-0.1,0.837505711715 
22,l,l,0.01,0,0.5,0.3,1,0.2,0.837600853632 
23,r,r,0.55,0.3,0.65,0,2,0.25,0.837746766348 
24,l,l,0.55,0,0.1,0.3,1,-0.2,0.836976244813 
25,l,l,0.5,0,0.2,0.3,1,-0.1,0.837015922832 
26,r,l,0.9,0,0.65,0.3,1,0.35,0.836122954075 
27,l,l,0.9,0,0.55,0.3,2,0.25,1.22697874922 
28,l,l,0.6,0,0.55,0.3,1,0.25,0.836482189476 
29,l,l,0.6,0,0.65,0.3,2,0.35,0.836594397208 
30,r,r,0.2,0.3,0.9,0,2,-0.1,0.836672046665 
31,r,l,0.9,0,0.2,0.3,2,-0.1,0.836814546218 
