# Time : Tue Jun 05 11:57:37 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S014JN_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BAB8CD8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BAB8C60> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.3,0.3,0.55,0,1,0.0,0.875553519035 
1,r,r,0.6,0.3,0.3,0,1,0.3,0.836535520147 
2,l,l,0.9,0,0.6,0.3,1,0.3,0.836330303725 
3,r,l,0.55,0,0.65,0.3,1,0.35,0.836796200467 
4,r,r,0.2,0.3,0.55,0,2,-0.1,0.836517601041 
5,l,l,0.65,0,0.01,0.3,2,-0.29,0.837653331012 
6,l,l,0.5,0,0.1,0.3,2,-0.2,0.837797537147 
7,l,l,0.4,0,0.2,0.3,2,-0.1,0.968592927841 
8,r,r,0.55,0.3,0.65,0,1,0.25,0.83758165459 
9,l,l,0.55,0,0.2,0.3,1,-0.1,0.837683196188 
10,r,l,0.9,0,0.6,0.3,1,0.3,1.54408633254 
11,l,r,0.65,0.3,0.9,0,1,0.35,1.00087035655 
12,r,l,0.01,0,0.3,0.3,1,0.0,1.60864972287 
13,r,r,0.9,0.3,0.7,0,1,0.6,0.836361022191 
14,l,l,0.65,0,0.6,0.3,1,0.3,0.837425502386 
15,r,r,0.55,0.3,0.2,0,1,0.25,0.837558189095 
16,r,r,0.1,0.3,0.4,0,2,-0.2,1.14804082314 
17,l,l,0.9,0,0.01,0.3,2,-0.29,0.836427578869 
18,l,r,0.01,0.3,0.65,0,2,-0.29,0.836483042767 
19,l,r,0.4,0.3,0.4,0,1,0.1,0.836620849221 
20,l,l,0.2,0,0.6,0.3,1,0.3,0.836792360659 
21,r,r,0.1,0.3,0.2,0,1,-0.2,0.836925047368 
22,r,r,0.1,0.3,0.01,0,1,-0.2,0.863115099961 
