# Time : Tue Jun 05 11:26:54 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S014JN_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B8F14E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B8F12B0> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.6,0.3,0.5,0,1,0.3,0.860856012735 
1,l,l,0.65,0,0.9,0.3,1,0.6,0.837248444558 
2,l,l,0.01,0,0.6,0.3,2,0.3,1.40948825168 
3,l,l,0.7,0,0.2,0.3,1,-0.1,1.07246016946 
4,r,r,0.7,0.3,0.5,0,1,0.4,0.933099872988 
5,l,l,0.4,0,0.3,0.3,1,0.0,0.837987394336 
6,l,r,0.1,0.3,0.01,0,2,-0.2,1.85487871112 
7,l,l,0.55,0,0.01,0.3,2,-0.29,1.1545894029 
8,r,l,0.6,0,0.55,0.3,1,0.25,1.32453505254 
9,l,l,0.2,0,0.1,0.3,2,-0.2,0.84626943423 
10,l,l,0.55,0,0.7,0.3,1,0.4,0.836075169794 
11,r,l,0.4,0,0.4,0.3,1,0.1,0.836180124555 
12,l,l,0.6,0,0.01,0.3,2,-0.29,0.836733910243 
13,l,r,0.2,0.3,0.4,0,1,-0.1,1.15367339529 
14,l,r,0.65,0.3,0.1,0,1,0.35,0.83780734999 
15,l,l,0.9,0,0.3,0.3,1,0.0,1.0174152373 
16,r,r,0.1,0.3,0.3,0,2,-0.2,1.84915611679 
17,l,l,0.1,0,0.3,0.3,1,0.0,0.836425018996 
18,r,r,0.01,0.3,0.01,0,2,-0.29,0.836432698613 
19,l,l,0.3,0,0.55,0.3,1,0.25,0.836552585962 
