# Time : Tue Jun 05 11:42:36 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S014JN_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B8814E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B8812B0> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.2,0.3,0.3,0,2,-0.1,0.863489267949 
1,l,l,0.3,0,0.55,0.3,2,0.25,1.06148343741 
2,r,r,0.9,0.3,0.3,0,1,0.6,0.83733761344 
3,r,r,0.5,0.3,0.4,0,2,0.2,0.945022051166 
4,r,r,0.55,0.3,0.2,0,2,0.25,0.836375101488 
5,l,l,0.4,0,0.65,0.3,2,0.35,0.962681329615 
6,l,r,0.6,0.3,0.55,0,1,0.3,0.837384117785 
7,l,l,0.4,0,0.7,0.3,1,0.4,1.16346064004 
8,l,r,0.65,0.3,0.5,0,2,0.35,1.17217145853 
9,l,l,0.5,0,0.5,0.3,1,0.2,0.836570931712 
10,l,l,0.1,0,0.7,0.3,1,0.4,0.837201940212 
11,r,l,0.01,0,0.2,0.3,2,-0.1,1.14667683789 
12,l,r,0.4,0.3,0.65,0,1,0.1,0.908508460591 
13,r,l,0.1,0,0.65,0.3,1,0.35,0.836104608325 
14,r,l,0.1,0,0.4,0.3,1,0.1,0.836204869986 
15,l,r,0.9,0.3,0.01,0,1,0.6,0.83633073037 
16,r,r,0.2,0.3,0.2,0,2,-0.1,1.26090004254 
17,l,r,0.7,0.3,0.5,0,2,0.4,1.37771170463 
18,r,r,0.6,0.3,0.1,0,1,0.3,0.837687035996 
19,l,l,0.9,0,0.1,0.3,1,-0.2,0.837170368455 
20,r,l,0.1,0,0.2,0.3,1,-0.1,0.837250577784 
21,r,r,0.5,0.3,0.7,0,2,0.2,0.836054690816 
22,l,l,0.1,0,0.4,0.3,1,0.1,0.837093998934 
23,l,l,0.6,0,0.9,0.3,1,0.6,0.837229245516 
24,l,l,0.01,0,0.9,0.3,1,0.6,0.836811986346 
25,l,l,0.01,0,0.2,0.3,1,-0.1,0.837440861619 
26,r,r,0.65,0.3,0.2,0,2,0.35,0.968304942217 
27,r,r,0.9,0.3,0.01,0,2,0.6,0.837270203471 
28,r,r,0.7,0.3,0.01,0,1,0.4,0.836522720786 
29,l,l,0.2,0,0.6,0.3,1,0.3,0.837578241428 
30,r,r,0.9,0.3,0.3,0,1,0.6,0.836651141042 
31,l,r,0.6,0.3,0.1,0,1,0.3,0.837829962195 
32,l,r,0.6,0.3,0.9,0,2,0.3,1.04334418293 
33,r,r,0.2,0.3,0.7,0,2,-0.1,0.837016776123 
34,l,l,0.3,0,0.5,0.3,1,0.2,0.856133048505 
35,l,l,0.5,0,0.2,0.3,1,-0.1,0.837440008328 
36,l,l,0.1,0,0.2,0.3,2,-0.1,0.837392224047 
37,r,r,0.7,0.3,0.6,0,2,0.4,0.837537710118 
38,l,r,0.5,0.3,0.01,0,1,0.2,1.21043301518 
39,r,r,0.7,0.3,0.2,0,1,0.4,0.837252711011 
40,r,r,0.55,0.3,0.5,0,2,0.25,0.836410513054 
41,l,r,0.3,0.3,0.3,0,1,0.0,0.83740758328 
42,l,l,0.4,0,0.65,0.3,1,0.35,0.836630662064 
43,r,r,0.4,0.3,0.6,0,1,0.1,0.83762133261 
44,r,l,0.1,0,0.4,0.3,1,0.1,0.836835451841 
45,r,r,0.3,0.3,0.7,0,2,0.0,0.836888355867 
46,r,l,0.1,0,0.4,0.3,1,0.1,0.837011229733 
47,l,l,0.3,0,0.1,0.3,1,-0.2,0.836173298229 
48,r,r,0.2,0.3,0.6,0,2,-0.1,1.15788481172 
49,l,r,0.4,0.3,0.65,0,1,0.1,0.836753109285 
50,r,r,0.9,0.3,0.55,0,2,0.6,0.836812839636 
51,l,r,0.6,0.3,0.7,0,2,0.3,0.836716417783 
52,l,l,0.7,0,0.7,0.3,1,0.4,0.836835025196 
53,r,r,0.9,0.3,0.65,0,2,0.6,0.836391314012 
54,r,l,0.65,0,0.3,0.3,1,0.0,0.836027385513 
55,r,r,0.7,0.3,0.9,0,2,0.4,1.25961711991 
56,l,l,0.7,0,0.3,0.3,2,0.0,0.83677102839 
57,r,r,0.6,0.3,0.5,0,2,0.3,1.07934366583 
58,r,l,0.6,0,0.3,0.3,1,0.0,0.835884459314 
59,l,l,0.7,0,0.5,0.3,2,0.2,0.874990347149 
60,l,l,0.65,0,0.5,0.3,1,0.2,0.837454514271 
61,r,l,0.4,0,0.7,0.3,1,0.4,0.836640901553 
62,l,l,0.5,0,0.55,0.3,2,0.25,0.837125144046 
63,l,r,0.6,0.3,0.65,0,1,0.3,0.836818386026 
64,r,r,0.01,0.3,0.9,0,2,-0.29,1.30719319825 
65,r,r,0.55,0.3,0.2,0,2,0.25,0.847023316596 
66,l,r,0.9,0.3,0.9,0,1,0.6,0.97374893712 
67,r,r,0.3,0.3,0.1,0,2,0.0,0.836965152033 
68,r,r,0.01,0.3,0.55,0,2,-0.29,1.11748618842 
69,l,l,0.2,0,0.4,0.3,2,0.1,0.977266628183 
70,l,r,0.1,0.3,0.4,0,2,-0.2,0.83613362021 
71,l,l,0.3,0,0.9,0.3,1,0.6,0.836494562191 
72,l,l,0.4,0,0.2,0.3,1,-0.1,0.83670105855 
