# Time : Tue Jun 05 11:17:01 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S014JNn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B7D12B0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B7D1080> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.6,0,0.01,0.3,2,-0.29,0.851749267343 
1,r,l,0.55,0,0.2,0.3,2,-0.1,0.836141299826 
2,r,l,0.9,0,0.7,0.3,2,0.4,1.06448744745 
3,l,r,0.3,0.3,0.9,0,2,0.0,1.2063875638 
4,r,l,0.65,0,0.7,0.3,1,0.4,0.836096075417 
5,l,r,0.65,0.3,0.5,0,2,0.35,0.844002667387 
6,r,l,0.3,0,0.55,0.3,2,0.25,0.837241191586 
7,r,l,0.4,0,0.1,0.3,2,-0.2,0.849665958009 
8,r,l,0.65,0,0.4,0.3,1,0.1,1.04050144483 
9,l,r,0.2,0.3,0.9,0,1,-0.1,0.878318181023 
10,r,l,0.6,0,0.6,0.3,2,0.3,0.837538563408 
11,r,l,0.65,0,0.5,0.3,2,0.2,0.837033415292 
12,l,r,0.4,0.3,0.5,0,1,0.1,0.857972316689 
13,l,r,0.55,0.3,0.1,0,2,0.25,1.15969122821 
14,l,r,0.5,0.3,0.9,0,2,0.2,1.11253070247 
15,l,r,0.01,0.3,0.4,0,2,-0.29,1.29234679271 
16,l,r,0.3,0.3,0.1,0,1,0.0,1.44822295804 
17,l,r,0.01,0.3,0.4,0,2,-0.29,0.836893475611 
18,l,r,0.55,0.3,0.5,0,2,0.25,0.837005683343 
19,l,r,0.7,0.3,0.7,0,2,0.4,0.837103811778 
20,l,r,0.1,0.3,0.01,0,2,-0.2,1.14556628 
21,r,l,0.6,0,0.55,0.3,1,0.25,0.836994163918 
22,r,l,0.01,0,0.1,0.3,1,-0.2,0.938299400094 
23,l,r,0.1,0.3,0.55,0,2,-0.2,1.52503917671 
