# Time : Tue Jun 05 11:12:25 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S014JNn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B9312B0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B931080> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.01,0.3,0.9,0,2,-0.29,1.69035999056 
1,l,r,0.1,0.3,0.7,0,2,-0.2,1.76512233843 
2,r,l,0.55,0,0.3,0.3,2,0.0,1.88498664813 
3,r,l,0.1,0,0.4,0.3,2,0.1,1.36074401833 
4,l,r,0.6,0.3,0.6,0,1,0.3,0.837424649095 
5,r,l,0.7,0,0.3,0.3,2,0.0,1.19240255526 
6,r,l,0.9,0,0.9,0.3,1,0.6,0.836943393119 
7,l,r,0.9,0.3,0.6,0,1,0.6,0.837570135166 
8,l,r,0.5,0.3,0.3,0,1,0.2,0.981875251454 
9,r,l,0.2,0,0.1,0.3,2,-0.2,0.836447204556 
10,r,l,0.2,0,0.7,0.3,1,0.4,0.837009949797 
11,l,r,0.65,0.3,0.65,0,1,0.35,0.837629012226 
12,r,l,0.65,0,0.65,0.3,1,0.35,0.837778338105 
13,r,l,0.5,0,0.6,0.3,1,0.3,0.836872569988 
14,l,r,0.2,0.3,0.6,0,1,-0.1,0.836020985832 
15,l,r,0.55,0.3,0.4,0,2,0.25,0.837041094909 
16,l,r,0.9,0.3,0.4,0,1,0.6,0.837234791906 
17,r,l,0.4,0,0.65,0.3,1,0.35,0.837358945708 
18,l,r,0.65,0.3,0.01,0,1,0.35,0.923374918457 
19,r,l,0.01,0,0.01,0.3,2,-0.29,0.878222185815 
20,r,l,0.3,0,0.65,0.3,1,0.35,0.836589704109 
21,r,l,0.65,0,0.9,0.3,1,0.6,0.836666500275 
22,l,r,0.01,0.3,0.5,0,1,-0.29,0.836798760339 
23,r,l,0.1,0,0.7,0.3,1,0.4,0.836866170307 
24,r,l,0.9,0,0.4,0.3,2,0.1,1.03844629409 
25,r,l,0.01,0,0.5,0.3,2,0.2,1.36533216262 
26,l,r,0.9,0.3,0.65,0,1,0.6,0.837410569798 
27,l,r,0.01,0.3,0.1,0,1,-0.29,1.43705679546 
28,r,l,0.1,0,0.5,0.3,1,0.2,1.05775626347 
29,l,r,0.2,0.3,0.1,0,2,-0.1,0.836240281552 
30,l,r,0.01,0.3,0.4,0,1,-0.29,1.56649673382 
31,r,l,0.55,0,0.1,0.3,2,-0.2,0.837123010819 
32,l,r,0.55,0.3,0.9,0,1,0.25,0.836750549413 
33,r,l,0.2,0,0.55,0.3,1,0.25,0.844987791543 
34,l,r,0.6,0.3,0.1,0,1,0.3,2.11478381666 
35,l,r,0.55,0.3,0.6,0,2,0.25,0.83662554232 
36,l,r,0.1,0.3,0.65,0,2,-0.2,0.837629012226 
37,r,l,0.2,0,0.2,0.3,1,-0.1,0.836717271074 
38,l,r,0.7,0.3,0.01,0,1,0.4,1.35320263479 
39,r,l,0.55,0,0.3,0.3,2,0.0,1.20985363077 
40,r,l,0.55,0,0.3,0.3,2,0.0,0.836326037271 
41,r,l,0.2,0,0.6,0.3,2,0.3,0.83638235446 
42,l,r,0.65,0.3,0.7,0,2,0.35,0.836477496377 
43,l,r,0.55,0.3,0.55,0,1,0.25,1.18131190891 
44,r,l,0.3,0,0.6,0.3,1,0.3,0.836721110882 
45,l,r,0.4,0.3,0.4,0,1,0.1,0.867987816715 
46,l,r,0.5,0.3,0.5,0,2,0.2,0.837362358871 
47,r,l,0.5,0,0.65,0.3,1,0.35,0.837033415292 
48,l,r,0.3,0.3,0.5,0,1,0.0,1.26343175615 
49,l,r,0.6,0.3,0.1,0,1,0.3,0.837296228839 
50,r,l,0.01,0,0.4,0.3,2,0.1,1.58716258218 
51,l,r,0.5,0.3,0.7,0,1,0.2,0.837130263791 
52,r,l,0.9,0,0.6,0.3,2,0.3,1.42481250003 
53,l,r,0.3,0.3,0.7,0,1,0.0,1.35056639306 
