# Time : Tue Jun 05 10:58:08 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S014JNn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B8A14E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B8A12B0> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.2,0.3,0.4,0,1,-0.1,1.40905477999 
1,r,l,0.2,0,0.55,0.3,1,0.25,0.837351266091 
2,l,r,0.5,0.3,0.7,0,1,0.2,1.42282646584 
3,r,l,0.65,0,0.9,0.3,1,0.6,0.956515877394 
4,r,l,0.3,0,0.55,0.3,2,0.25,1.23036290028 
5,r,l,0.1,0,0.5,0.3,1,0.2,1.13330363882 
6,l,r,0.3,0.3,0.55,0,2,0.0,1.09603317936 
7,l,r,0.7,0.3,0.65,0,1,0.4,1.61201211502 
8,r,l,0.01,0,0.3,0.3,1,0.0,1.10667499478 
9,l,r,0.5,0.3,0.1,0,2,0.2,1.4694972027 
10,r,l,0.6,0,0.65,0.3,1,0.35,1.88227147701 
11,r,l,0.9,0,0.6,0.3,1,0.3,1.10806500539 
12,r,l,0.7,0,0.55,0.3,2,0.25,1.47288860673 
13,r,l,0.5,0,0.1,0.3,2,-0.2,0.876710154629 
14,l,r,0.6,0.3,0.01,0,1,0.3,0.961572051657 
15,l,r,0.7,0.3,0.65,0,1,0.4,1.27534966788 
16,l,r,0.55,0.3,0.01,0,2,0.25,1.27222662378 
17,l,r,0.4,0.3,0.65,0,1,0.1,1.50804546504 
18,l,r,0.1,0.3,0.5,0,2,-0.2,1.20691788399 
19,l,r,0.65,0.3,0.3,0,1,0.35,1.04667756319 
20,r,l,0.55,0,0.6,0.3,1,0.3,1.17254989298 
21,l,r,0.2,0.3,0.55,0,1,-0.1,0.917301621636 
22,r,l,0.2,0,0.2,0.3,2,-0.1,1.42618928463 
23,l,r,0.4,0.3,0.9,0,1,0.1,0.928013406904 
24,l,r,0.3,0.3,0.65,0,2,0.0,1.03483346111 
25,l,r,0.6,0.3,0.01,0,1,0.3,1.4577798143 
26,l,r,0.01,0.3,0.5,0,2,-0.29,1.08656591863 
27,r,l,0.55,0,0.01,0.3,2,-0.29,1.14628560409 
