# Time : Tue Jun 05 11:07:41 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S014JNn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B8114E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B8112B0> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.4,0.3,0.65,0,2,0.1,1.11134036189 
1,r,l,0.7,0,0.9,0.3,2,0.6,0.875202816542 
2,r,l,0.2,0,0.2,0.3,2,-0.1,0.837280869606 
3,r,l,0.3,0,0.7,0.3,2,0.4,0.83743062213 
4,r,l,0.6,0,0.5,0.3,2,0.2,0.837526190693 
5,r,l,0.1,0,0.1,0.3,2,-0.2,0.836701485195 
6,l,r,0.2,0.3,0.9,0,2,-0.1,0.837736100214 
7,l,r,0.5,0.3,0.1,0,2,0.2,0.841211126741 
8,r,l,0.5,0,0.3,0.3,2,0.0,0.836025678931 
9,r,l,0.4,0,0.55,0.3,2,0.25,0.926977511949 
10,l,r,0.9,0.3,0.01,0,1,0.6,0.836759508965 
11,r,l,0.1,0,0.6,0.3,2,0.3,0.836879822959 
12,l,r,0.3,0.3,0.65,0,2,0.0,0.839484492934 
13,l,r,0.7,0.3,0.65,0,2,0.4,2.00625376781 
14,l,r,0.4,0.3,0.01,0,2,0.1,1.86807015927 
15,r,l,0.6,0,0.55,0.3,1,0.25,1.21599049775 
16,l,r,0.55,0.3,0.5,0,2,0.25,1.46270031533 
17,l,r,0.01,0.3,0.6,0,2,-0.29,1.29963218903 
18,l,r,0.1,0.3,0.2,0,2,-0.2,1.01550599927 
19,r,l,0.01,0,0.4,0.3,2,0.1,1.23916416759 
20,r,l,0.1,0,0.6,0.3,1,0.3,0.893025500167 
21,l,r,0.65,0.3,0.2,0,1,0.35,0.836865743662 
22,r,l,0.1,0,0.6,0.3,1,0.3,1.20872942023 
23,l,r,0.3,0.3,0.3,0,2,0.0,0.836596103789 
24,r,l,0.2,0,0.2,0.3,2,-0.1,0.974324908367 
25,r,l,0.3,0,0.65,0.3,2,0.35,0.887228242899 
26,r,l,0.4,0,0.1,0.3,2,-0.2,1.47607351441 
27,r,l,0.55,0,0.2,0.3,2,-0.1,0.837016349477 
28,l,r,0.1,0.3,0.9,0,2,-0.2,0.982718302702 
29,l,r,0.9,0.3,0.7,0,1,0.6,0.912556471848 
30,l,r,0.2,0.3,0.2,0,2,-0.1,0.836788094205 
31,l,r,0.55,0.3,0.6,0,1,0.25,0.837842761556 
32,r,l,0.5,0,0.65,0.3,1,0.35,1.12905553088 
33,r,l,0.4,0,0.3,0.3,2,0.0,1.44404481995 
34,r,l,0.5,0,0.9,0.3,1,0.6,0.837422089223 
35,r,l,0.7,0,0.6,0.3,1,0.3,0.904541085309 
36,l,r,0.5,0.3,0.2,0,2,0.2,1.04441335622 
37,l,r,0.55,0.3,0.1,0,2,0.25,0.83707693312 
38,r,l,0.6,0,0.7,0.3,1,0.4,0.836152392606 
39,l,r,0.4,0.3,0.55,0,2,0.1,1.67990973891 
40,r,l,0.65,0,0.3,0.3,1,0.0,0.867722443296 
41,r,l,0.55,0,0.7,0.3,2,0.4,0.836080289539 
42,l,r,0.01,0.3,0.5,0,2,-0.29,1.20745204399 
43,r,l,0.7,0,0.55,0.3,2,0.25,1.11931308389 
44,l,r,0.3,0.3,0.4,0,2,0.0,0.874104204718 
45,r,l,0.7,0,0.55,0.3,2,0.25,0.887069957468 
46,r,l,0.5,0,0.4,0.3,1,0.1,1.55577300248 
47,l,r,0.2,0.3,0.01,0,2,-0.1,1.08459055057 
48,r,l,0.65,0,0.5,0.3,1,0.2,0.837087599254 
49,l,r,0.5,0.3,0.55,0,2,0.2,2.07225793955 
50,l,r,0.5,0.3,0.1,0,2,0.2,0.836584157719 
51,r,l,0.9,0,0.3,0.3,1,0.0,1.024899877 
52,l,r,0.65,0.3,0.6,0,1,0.35,0.919677609694 
53,r,l,0.7,0,0.01,0.3,2,-0.29,1.01952115884 
54,l,r,0.7,0.3,0.9,0,2,0.4,0.906385899883 
55,l,r,0.1,0.3,0.01,0,1,-0.2,2.11024089677 
56,r,l,0.3,0,0.9,0.3,1,0.6,1.65605556971 
57,l,r,0.01,0.3,0.55,0,2,-0.29,1.55581481372 
58,r,l,0.3,0,0.6,0.3,2,0.3,1.02863131739 
59,r,l,0.4,0,0.5,0.3,2,0.2,0.97940412148 
60,r,l,0.65,0,0.01,0.3,1,-0.29,0.859298757139 
61,r,l,0.4,0,0.01,0.3,2,-0.29,1.13015840916 
62,r,l,0.01,0,0.1,0.3,2,-0.2,1.12509242205 
63,r,l,0.9,0,0.6,0.3,1,0.3,0.837105518359 
64,r,l,0.55,0,0.1,0.3,1,-0.2,1.68657777937 
65,l,r,0.4,0.3,0.2,0,1,0.1,1.09738564518 
66,l,r,0.7,0.3,0.6,0,2,0.4,0.854337724794 
67,r,l,0.3,0,0.6,0.3,1,0.3,0.88428780302 
68,r,l,0.55,0,0.65,0.3,2,0.35,0.977083170675 
69,l,r,0.9,0.3,0.3,0,1,0.6,0.836032078612 
70,l,r,0.65,0.3,0.01,0,1,0.35,0.840607850189 
71,r,l,0.5,0,0.2,0.3,2,-0.1,1.11150590029 
72,l,r,0.4,0.3,0.65,0,2,0.1,0.836612316313 
73,l,r,0.65,0.3,0.4,0,1,0.35,0.89018062885 
74,r,l,0.9,0,0.01,0.3,2,-0.29,1.43105986816 
