# Time : Tue Jun 05 15:02:47 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S015KB_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B8614E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B8612B0> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.7,0.3,0.1,0,1,0.4,0.83680221649 
1,l,l,0.4,0,0.3,0.3,1,0.0,1.1946720105 
2,l,l,0.2,0,0.3,0.3,2,0.0,1.17850100218 
3,r,r,0.55,0.3,0.9,0,1,0.25,1.36236873295 
4,l,l,0.3,0,0.6,0.3,1,0.3,1.31615146812 
5,l,l,0.65,0,0.55,0.3,1,0.25,1.66294777135 
6,r,r,0.1,0.3,0.01,0,1,-0.2,1.3947862652 
7,r,r,0.01,0.3,0.2,0,2,-0.29,0.836698115864 
8,r,r,0.6,0.3,0.01,0,1,0.3,1.08156241387 
9,r,r,0.55,0.3,0.65,0,1,0.25,1.27825585374 
10,l,l,0.2,0,0.01,0.3,2,-0.29,0.907085498185 
11,l,l,0.6,0,0.4,0.3,2,0.1,1.87091095727 
12,r,r,0.6,0.3,0.2,0,1,0.3,0.977707960199 
13,r,r,0.2,0.3,0.9,0,2,-0.1,0.837103425679 
14,l,l,0.1,0,0.3,0.3,1,0.0,0.881388002659 
15,l,r,0.6,0.3,0.5,0,1,0.3,1.73523541674 
16,r,r,0.2,0.3,0.65,0,2,-0.1,1.84805660344 
17,r,r,0.6,0.3,0.9,0,2,0.3,1.66083546725 
18,r,r,0.7,0.3,0.01,0,1,0.4,1.14471309611 
19,r,l,0.7,0,0.01,0.3,2,-0.29,2.89943964852 
20,r,r,0.7,0.3,0.3,0,1,0.4,3.11515406466 
21,l,l,0.01,0,0.3,0.3,1,0.0,1.81891141463 
22,l,l,0.2,0,0.01,0.3,2,-0.29,1.04880399473 
23,r,r,0.5,0.3,0.2,0,1,0.2,1.19053230405 
24,l,r,0.5,0.3,0.55,0,1,0.2,1.29440211683 
25,l,r,0.5,0.3,0.4,0,1,0.2,1.65816127576 
26,l,l,0.7,0,0.55,0.3,1,0.25,1.39896564935 
27,l,l,0.55,0,0.9,0.3,1,0.6,0.869825153612 
28,r,r,0.3,0.3,0.55,0,1,0.0,1.67563994153 
29,r,r,0.5,0.3,0.6,0,1,0.2,0.983470185837 
30,l,l,0.9,0,0.7,0.3,1,0.4,0.836675077201 
31,l,r,0.7,0.3,0.3,0,2,0.4,1.00716033118 
32,r,r,0.2,0.3,0.3,0,2,-0.1,2.61494842326 
33,l,l,0.4,0,0.01,0.3,2,-0.29,0.890702875481 
34,l,l,0.7,0,0.5,0.3,1,0.2,1.37554386177 
35,l,r,0.9,0.3,0.3,0,1,0.6,1.05534868163 
36,l,l,0.2,0,0.9,0.3,1,0.6,0.836439997508 
37,l,l,0.55,0,0.01,0.3,2,-0.29,1.15603617241 
38,r,r,0.6,0.3,0.5,0,1,0.3,1.55701727814 
39,r,r,0.4,0.3,0.7,0,1,0.1,3.31763746189 
40,l,l,0.5,0,0.01,0.3,2,-0.29,1.05238266708 
41,l,l,0.9,0,0.55,0.3,1,0.25,1.38625769342 
42,r,r,0.4,0.3,0.4,0,1,0.1,1.4970519044 
43,r,r,0.6,0.3,0.65,0,1,0.3,1.01282698903 
44,l,l,0.7,0,0.7,0.3,1,0.4,0.83659444188 
45,l,l,0.9,0,0.01,0.3,2,-0.29,0.837594917159 
46,l,l,0.9,0,0.3,0.3,1,0.0,1.07436155171 
47,r,r,0.55,0.3,0.65,0,1,0.25,1.31925272816 
48,l,l,0.6,0,0.3,0.3,1,0.0,1.19295221696 
49,r,r,0.4,0.3,0.5,0,1,0.1,1.31289277721 
50,l,l,0.6,0,0.55,0.3,1,0.25,1.29164771666 
51,l,l,0.55,0,0.5,0.3,1,0.2,0.973512790298 
52,r,r,0.9,0.3,0.4,0,1,0.6,0.886330649187 
53,r,r,0.1,0.3,0.1,0,1,-0.2,1.5071483852 
54,r,r,0.6,0.3,0.3,0,1,0.3,0.836668677572 
55,r,r,0.5,0.3,0.01,0,1,0.2,0.837350024703 
56,r,l,0.7,0,0.2,0.3,2,-0.1,1.41875586099 
57,l,l,0.3,0,0.6,0.3,1,0.3,1.28147529359 
58,r,r,0.4,0.3,0.65,0,1,0.1,0.957349461535 
59,r,r,0.3,0.3,0.3,0,1,0.0,1.45520643922 
60,r,r,0.01,0.3,0.7,0,2,-0.29,0.836160973699 
61,r,r,0.7,0.3,0.3,0,1,0.4,0.890837694325 
62,l,l,0.9,0,0.65,0.3,1,0.35,0.967712166889 
63,l,l,0.01,0,0.1,0.3,2,-0.2,0.97654877413 
64,r,r,0.5,0.3,0.2,0,1,0.2,0.881361124219 
65,l,l,0.01,0,0.6,0.3,1,0.3,0.879270152217 
66,l,r,0.1,0.3,0.1,0,1,-0.2,2.46001341362 
67,r,r,0.6,0.3,0.9,0,2,0.3,1.03884489263 
68,l,l,0.01,0,0.1,0.3,1,-0.2,1.05362462168 
69,l,l,0.1,0,0.9,0.3,1,0.6,2.03456610091 
70,l,l,0.65,0,0.1,0.3,2,-0.2,0.871224112436 
71,l,l,0.4,0,0.9,0.3,1,0.6,0.836502713869 
72,r,r,0.6,0.3,0.2,0,1,0.3,1.4839390653 
73,l,l,0.4,0,0.7,0.3,1,0.4,1.03973444101 
74,l,l,0.7,0,0.4,0.3,1,0.1,2.05356147867 
75,l,l,0.55,0,0.7,0.3,1,0.4,0.836361922039 
76,l,l,0.01,0,0.9,0.3,1,0.6,0.896221061946 
77,r,r,0.6,0.3,0.65,0,1,0.3,0.837603023355 
78,r,l,0.3,0,0.01,0.3,2,-0.29,0.837265976246 
79,l,l,0.01,0,0.1,0.3,1,-0.2,1.17773432667 
80,r,r,0.6,0.3,0.01,0,1,0.3,1.96253060089 
81,l,l,0.4,0,0.5,0.3,1,0.2,0.890346202844 
82,r,r,0.2,0.3,0.9,0,2,-0.1,1.02320889327 
83,l,r,0.55,0.3,0.6,0,1,0.25,3.37398277903 
84,r,r,0.2,0.3,0.2,0,1,-0.1,1.70569089111 
85,r,l,0.01,0,0.55,0.3,1,0.25,1.36449170309 
86,r,r,0.2,0.3,0.01,0,2,-0.1,1.26134419507 
87,l,l,0.3,0,0.7,0.3,1,0.4,1.09815707761 
88,l,l,0.01,0,0.5,0.3,1,0.2,1.70197142694 
89,r,r,0.9,0.3,0.65,0,1,0.6,0.928811810813 
90,r,r,0.6,0.3,0.7,0,1,0.3,0.964729939937 
91,l,l,0.55,0,0.01,0.3,2,-0.29,0.837573158421 
92,l,l,0.4,0,0.01,0.3,2,-0.29,0.893299844788 
93,r,r,0.1,0.3,0.65,0,2,-0.2,1.14514229788 
94,r,l,0.6,0,0.2,0.3,1,-0.1,2.54795071091 
95,r,r,0.3,0.3,0.9,0,1,0.0,1.41071878069 
96,l,l,0.65,0,0.3,0.3,1,0.0,1.41754035819 
97,r,r,0.4,0.3,0.5,0,2,0.1,1.10437666337 
98,r,r,0.7,0.3,0.4,0,2,0.4,0.868228659585 
99,r,l,0.2,0,0.2,0.3,1,-0.1,0.836458343111 
100,r,r,0.55,0.3,0.4,0,2,0.25,1.66386675802 
101,l,l,0.01,0,0.01,0.3,2,-0.29,1.67538651624 
102,l,r,0.65,0.3,0.55,0,1,0.35,1.21545075144 
103,r,r,0.6,0.3,0.5,0,1,0.3,1.35113311825 
104,r,r,0.55,0.3,0.4,0,2,0.25,1.14392764836 
105,l,r,0.9,0.3,0.6,0,1,0.6,0.83765763352 
106,l,l,0.3,0,0.5,0.3,1,0.2,0.913600320152 
107,r,r,0.2,0.3,0.5,0,2,-0.1,1.42145991742 
108,r,r,0.5,0.3,0.4,0,1,0.2,1.01125012053 
109,r,l,0.55,0,0.01,0.3,2,-0.29,1.16309368288 
110,r,l,0.6,0,0.55,0.3,1,0.25,1.3399683261 
111,r,l,0.2,0,0.5,0.3,1,0.2,2.06977515118 
112,l,l,0.01,0,0.65,0.3,1,0.35,0.837568892002 
113,r,r,0.01,0.3,0.1,0,1,-0.29,1.24039949042 
114,l,l,0.6,0,0.5,0.3,1,0.2,0.918175627996 
115,l,l,0.7,0,0.01,0.3,2,-0.29,0.836425065042 
116,l,l,0.1,0,0.5,0.3,1,0.2,1.89597360964 
117,r,l,0.55,0,0.5,0.3,1,0.2,1.29868261511 
118,r,r,0.01,0.3,0.9,0,2,-0.29,0.83623264954 
119,r,l,0.01,0,0.01,0.3,2,-0.29,0.90836414399 
120,l,l,0.6,0,0.4,0.3,1,0.1,1.80016604903 
121,l,l,0.7,0,0.65,0.3,2,0.35,0.902979923085 
122,r,r,0.65,0.3,0.9,0,1,0.35,1.0588023479 
123,l,l,0.4,0,0.6,0.3,1,0.3,0.840733721691 
124,r,l,0.5,0,0.65,0.3,1,0.35,1.37546791951 
125,r,l,0.01,0,0.3,0.3,1,0.0,0.836324804193 
126,l,r,0.1,0.3,0.3,0,1,-0.2,1.22213921667 
127,l,r,0.01,0.3,0.9,0,2,-0.29,2.44495466076 
128,l,l,0.7,0,0.5,0.3,1,0.2,0.992727462001 
129,l,r,0.5,0.3,0.55,0,1,0.2,1.40055617039 
130,r,r,0.65,0.3,0.65,0,2,0.35,1.37637154708 
131,r,r,0.2,0.3,0.3,0,1,-0.1,0.87222800085 
132,r,l,0.1,0,0.5,0.3,1,0.2,0.836756992448 
133,l,l,0.3,0,0.1,0.3,2,-0.2,1.02089052113 
134,l,l,0.2,0,0.7,0.3,1,0.4,0.923712586704 
135,r,r,0.2,0.3,0.3,0,1,-0.1,1.10258007429 
136,l,l,0.4,0,0.9,0.3,1,0.6,0.836668677572 
137,l,l,0.2,0,0.55,0.3,1,0.25,0.837113665084 
138,l,l,0.2,0,0.9,0.3,1,0.6,0.836892664575 
139,r,r,0.4,0.3,0.4,0,1,0.1,0.836083324872 
140,r,r,0.55,0.3,0.4,0,1,0.25,0.836444263928 
141,r,r,0.7,0.3,0.5,0,1,0.4,0.836367895026 
142,l,r,0.7,0.3,0.65,0,1,0.4,0.836367041742 
143,r,r,0.55,0.3,0.01,0,1,0.25,1.8653061625 
144,l,r,0.9,0.3,0.55,0,1,0.6,1.28512649506 
145,l,r,0.65,0.3,0.5,0,1,0.35,0.977945173101 
146,l,l,0.6,0,0.3,0.3,2,0.0,0.858784514264 
147,l,l,0.7,0,0.1,0.3,2,-0.2,0.83633547024 
148,l,l,0.7,0,0.7,0.3,1,0.4,0.991481240982 
149,r,l,0.3,0,0.7,0.3,1,0.4,1.00731520219 
150,l,l,0.1,0,0.55,0.3,1,0.25,0.836029567991 
151,r,l,0.9,0,0.2,0.3,1,-0.1,1.80211665584 
152,l,l,0.1,0,0.1,0.3,2,-0.2,0.977980157738 
153,l,r,0.65,0.3,0.1,0,1,0.35,1.01880424219 
154,r,l,0.7,0,0.9,0.3,1,0.6,1.03371068388 
155,r,r,0.1,0.3,0.65,0,2,-0.2,1.48944957221 
156,r,r,0.4,0.3,0.5,0,1,0.1,1.47638878341 
157,r,r,0.9,0.3,0.6,0,2,0.6,1.07310082487 
158,r,l,0.2,0,0.65,0.3,1,0.35,1.35794658955 
159,l,l,0.55,0,0.1,0.3,1,-0.2,1.72673969638 
160,r,r,0.2,0.3,0.7,0,1,-0.1,1.61654107751 
161,r,r,0.6,0.3,0.4,0,1,0.3,0.846357288708 
162,l,r,0.4,0.3,0.55,0,1,0.1,0.917174299433 
163,r,r,0.3,0.3,0.01,0,1,0.0,2.48902890328 
164,l,l,0.4,0,0.65,0.3,1,0.35,1.69778308331 
165,r,r,0.5,0.3,0.65,0,1,0.2,0.868566133336 
166,l,l,0.55,0,0.4,0.3,1,0.1,1.3383995638 
167,r,r,0.3,0.3,0.9,0,1,0.0,1.42817483444 
168,l,l,0.5,0,0.3,0.3,1,0.0,1.66605969744 
169,r,l,0.1,0,0.2,0.3,2,-0.1,1.09485700243 
170,l,l,0.2,0,0.2,0.3,2,-0.1,1.32271151413 
