# Time : Tue Jun 05 16:02:23 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S015KB_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BA38B98> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BA38B20> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.3,0,0.65,0.3,2,0.35,1.12514857805 
1,r,r,0.55,0.3,0.65,0,2,0.25,0.836748032967 
2,r,r,0.2,0.3,0.65,0,2,-0.1,1.79783701084 
3,l,l,0.01,0,0.01,0.3,2,-0.29,0.836160973699 
4,r,r,0.9,0.3,0.3,0,2,0.6,0.979456765389 
5,r,r,0.5,0.3,0.01,0,2,0.2,0.836372161445 
6,r,l,0.7,0,0.6,0.3,2,0.3,1.66721803023 
7,l,r,0.01,0.3,0.01,0,2,-0.29,0.836587615609 
8,r,r,0.5,0.3,0.6,0,2,0.2,0.837586810963 
9,l,l,0.1,0,0.9,0.3,2,0.6,1.26174651839 
10,r,l,0.1,0,0.2,0.3,2,-0.1,0.836486074835 
11,r,r,0.01,0.3,0.3,0,2,-0.29,0.836580789339 
12,r,r,0.7,0.3,0.9,0,2,0.4,0.837582117902 
13,r,r,0.65,0.3,0.3,0,2,0.35,0.919031471667 
14,l,r,0.2,0.3,0.7,0,2,-0.1,0.836430184744 
15,l,l,0.6,0,0.5,0.3,2,0.2,0.920735906098 
16,r,r,0.3,0.3,0.2,0,2,0.0,0.836157560564 
17,r,r,0.2,0.3,0.2,0,2,-0.1,0.836278300224 
18,l,l,0.55,0,0.4,0.3,2,0.1,0.84124057228 
19,r,l,0.1,0,0.65,0.3,2,0.35,0.836521486113 
20,r,r,0.4,0.3,0.01,0,2,0.1,0.847044608825 
21,l,l,0.9,0,0.3,0.3,2,0.0,0.91778354408 
22,l,l,0.55,0,0.7,0.3,2,0.4,0.837078253806 
23,l,l,0.6,0,0.4,0.3,2,0.1,0.856444810029 
24,l,l,0.65,0,0.7,0.3,2,0.4,0.982360490229 
25,r,l,0.7,0,0.01,0.3,2,-0.29,0.836689156384 
26,r,r,0.5,0.3,0.1,0,2,0.2,0.836363201965 
27,l,l,0.5,0,0.5,0.3,2,0.2,0.836854693445 
28,r,r,0.7,0.3,0.9,0,2,0.4,0.836681050188 
29,l,l,0.4,0,0.55,0.3,2,0.25,0.866557076581 
30,l,r,0.55,0.3,0.6,0,2,0.25,1.02448113944 
31,l,l,0.5,0,0.4,0.3,2,0.1,0.836401173095 
32,l,r,0.9,0.3,0.01,0,2,0.6,1.56606251328 
33,l,l,0.3,0,0.5,0.3,2,0.2,0.835867444065 
34,r,r,0.6,0.3,0.3,0,2,0.3,0.836314564787 
35,l,l,0.2,0,0.1,0.3,2,-0.2,0.836033407768 
36,r,r,0.2,0.3,0.5,0,2,-0.1,0.83647839528 
37,r,l,0.1,0,0.01,0.3,2,-0.29,0.83717296831 
38,l,l,0.4,0,0.01,0.3,2,-0.29,1.02410270807 
39,r,r,0.1,0.3,0.7,0,2,-0.2,0.934951187899 
40,l,l,0.3,0,0.9,0.3,2,0.6,2.92977260839 
41,l,l,0.4,0,0.2,0.3,2,-0.1,0.848529749314 
42,l,l,0.4,0,0.5,0.3,2,0.2,0.8370099911 
43,l,l,0.6,0,0.3,0.3,2,0.0,0.854287708532 
44,l,l,0.5,0,0.3,0.3,2,0.0,0.836523619323 
45,l,r,0.9,0.3,0.65,0,2,0.6,0.850966727904 
46,r,r,0.5,0.3,0.65,0,2,0.2,0.905728776912 
47,l,l,0.01,0,0.6,0.3,2,0.3,0.909677347789 
48,r,r,0.2,0.3,0.01,0,2,-0.1,0.836904183907 
49,r,l,0.3,0,0.2,0.3,2,-0.1,1.12027419422 
50,r,r,0.01,0.3,0.1,0,2,-0.29,1.44310004838 
51,l,l,0.6,0,0.6,0.3,2,0.3,1.09297465832 
52,r,r,0.7,0.3,0.9,0,2,0.4,0.836837627769 
53,r,r,0.55,0.3,0.7,0,2,0.25,0.83600695597 
54,l,r,0.55,0.3,0.2,0,2,0.25,0.836052180012 
55,r,r,0.3,0.3,0.7,0,2,0.0,1.33331783201 
56,l,r,0.3,0.3,0.2,0,2,0.0,0.837622648883 
57,l,l,0.9,0,0.55,0.3,2,0.25,0.837848342454 
58,r,r,0.3,0.3,0.6,0,2,0.0,0.844953210182 
59,r,l,0.1,0,0.01,0.3,2,-0.29,1.03577051102 
60,r,l,0.3,0,0.9,0.3,2,0.6,0.906644777092 
61,r,r,0.3,0.3,0.01,0,2,0.0,1.39049467423 
62,l,l,0.7,0,0.2,0.3,2,-0.1,1.15818687428 
63,l,r,0.6,0.3,0.7,0,2,0.3,1.20705273209 
