# Time : Tue Jun 05 14:38:08 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S015KBn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B7C14E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B7C12B0> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.3,0,0.65,0.3,2,0.35,1.51482879287 
1,l,r,0.9,0.3,0.5,0,2,0.6,3.92553562759 
2,l,r,0.5,0.3,0.9,0,2,0.2,4.04133221496 
3,l,r,0.7,0.3,0.2,0,1,0.4,1.40900282693 
4,r,l,0.9,0,0.4,0.3,1,0.1,1.60781923694 
5,l,r,0.4,0.3,0.55,0,1,0.1,1.39061456061 
6,l,r,0.3,0.3,0.4,0,2,0.0,2.71017831072 
7,l,r,0.7,0.3,0.6,0,2,0.4,0.998095897155 
8,r,l,0.65,0,0.9,0.3,1,0.6,1.40601590692 
9,l,r,0.01,0.3,0.6,0,2,-0.29,1.1728360509 
10,l,r,0.5,0.3,0.3,0,1,0.2,1.79764630191 
11,r,l,0.3,0,0.01,0.3,2,-0.29,1.22043392895 
12,l,r,0.55,0.3,0.7,0,1,0.25,1.1952624829 
13,l,r,0.55,0.3,0.5,0,2,0.25,2.4430198397 
14,r,l,0.55,0,0.1,0.3,2,-0.2,0.989800271856 
15,l,r,0.5,0.3,0.4,0,1,0.2,1.71862155412 
16,r,l,0.6,0,0.55,0.3,2,0.25,1.32842510259 
17,r,l,0.3,0,0.4,0.3,2,0.1,2.80328096162 
18,r,l,0.6,0,0.1,0.3,2,-0.2,1.03198875713 
19,r,l,0.55,0,0.3,0.3,2,0.0,1.4308059351 
20,l,r,0.4,0.3,0.2,0,1,0.1,2.03660587588 
21,l,r,0.2,0.3,0.9,0,2,-0.1,1.15443242547 
22,l,r,0.5,0.3,0.2,0,2,0.2,3.70720802974 
23,l,r,0.7,0.3,0.2,0,1,0.4,1.24891739615 
24,l,r,0.65,0.3,0.01,0,1,0.35,2.04671899572 
25,r,l,0.4,0,0.65,0.3,1,0.35,1.53951685364 
26,l,r,0.65,0.3,0.9,0,1,0.35,1.54830610362 
27,l,r,0.1,0.3,0.01,0,2,-0.2,2.53312277133 
28,l,r,0.4,0.3,0.4,0,1,0.1,1.06088180057 
29,r,l,0.3,0,0.6,0.3,2,0.3,2.78667861833 
30,l,r,0.55,0.3,0.7,0,2,0.25,1.46346281346 
31,r,l,0.3,0,0.1,0.3,2,-0.2,1.66827610217 
32,r,l,0.65,0,0.6,0.3,2,0.3,1.73009352844 
33,r,l,0.65,0,0.4,0.3,2,0.1,1.4748524459 
34,l,r,0.3,0.3,0.9,0,2,0.0,1.52670693029 
35,r,l,0.55,0,0.6,0.3,1,0.3,1.3124896006 
36,r,l,0.01,0,0.55,0.3,1,0.25,1.66031752398 
37,r,l,0.65,0,0.9,0.3,1,0.6,1.44011312837 
38,l,r,0.1,0.3,0.6,0,2,-0.2,1.38989097593 
39,r,l,0.4,0,0.01,0.3,2,-0.29,2.38866651364 
40,l,r,0.55,0.3,0.6,0,1,0.25,2.01845482246 
41,l,r,0.55,0.3,0.5,0,1,0.25,1.26434391434 
42,l,r,0.1,0.3,0.55,0,2,-0.2,2.12510548721 
43,r,l,0.9,0,0.7,0.3,2,0.4,1.15782081552 
44,l,r,0.3,0.3,0.55,0,2,0.0,0.974733412802 
45,r,l,0.1,0,0.3,0.3,2,0.0,1.52054494118 
46,r,l,0.4,0,0.65,0.3,2,0.35,1.56246378877 
47,l,r,0.6,0.3,0.01,0,1,0.3,1.16218450897 
48,l,r,0.01,0.3,0.7,0,2,-0.29,1.62800963869 
49,r,l,0.2,0,0.3,0.3,1,0.0,3.09777907287 
50,r,l,0.5,0,0.4,0.3,2,0.1,1.27351330227 
51,l,r,0.2,0.3,0.1,0,2,-0.1,2.79723075269 
52,l,r,0.2,0.3,0.01,0,1,-0.1,1.58617355964 
53,r,l,0.2,0,0.6,0.3,1,0.3,1.72887375922 
54,l,r,0.2,0.3,0.5,0,2,-0.1,1.44262092952 
55,r,l,0.65,0,0.01,0.3,2,-0.29,1.85649771363 
56,l,r,0.7,0.3,0.3,0,1,0.4,2.37226383877 
57,r,l,0.6,0,0.9,0.3,1,0.6,1.35405518869 
58,l,r,0.01,0.3,0.65,0,2,-0.29,1.41884716236 
59,r,l,0.7,0,0.5,0.3,2,0.2,2.82457977905 
60,l,r,0.01,0.3,0.1,0,2,-0.29,0.988363768545 
61,r,l,0.7,0,0.9,0.3,1,0.6,0.88424053047 
62,r,l,0.5,0,0.2,0.3,1,-0.1,1.68905100333 
63,r,l,0.2,0,0.1,0.3,2,-0.2,1.16382622704 
64,l,r,0.7,0.3,0.5,0,1,0.4,1.45364322326 
65,r,l,0.1,0,0.5,0.3,1,0.2,1.12948197993 
66,r,l,0.55,0,0.65,0.3,1,0.35,2.15630709002 
67,r,l,0.1,0,0.5,0.3,2,0.2,1.98805359988 
68,r,l,0.65,0,0.9,0.3,1,0.6,1.31386125434 
69,l,r,0.6,0.3,0.4,0,1,0.3,2.38070665553 
70,r,l,0.7,0,0.3,0.3,1,0.0,1.73143190411 
71,r,l,0.1,0,0.65,0.3,1,0.35,2.02825478714 
72,r,l,0.01,0,0.6,0.3,2,0.3,1.80099373434 
73,r,l,0.1,0,0.2,0.3,2,-0.1,2.03176946319 
74,l,r,0.2,0.3,0.01,0,2,-0.1,1.76457344768 
