# Time : Tue Jun 05 14:43:47 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S015KBn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B7614E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B7612B0> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.55,0,0.65,0.3,1,0.35,1.38700133027 
1,l,r,0.3,0.3,0.01,0,1,0.0,1.28177138308 
2,r,l,0.2,0,0.4,0.3,1,0.1,1.19060653974 
3,l,r,0.65,0.3,0.3,0,1,0.35,1.85441911424 
4,r,l,0.7,0,0.5,0.3,1,0.2,1.01823296867 
5,r,l,0.55,0,0.6,0.3,2,0.3,2.17704359342 
6,l,r,0.3,0.3,0.55,0,1,0.0,4.35974360528 
7,l,r,0.6,0.3,0.2,0,1,0.3,2.12243726871 
8,r,l,0.2,0,0.2,0.3,2,-0.1,1.17023310861 
9,l,r,0.2,0.3,0.1,0,1,-0.1,1.82705771526 
10,r,l,0.01,0,0.4,0.3,1,0.1,1.3448363103 
11,r,l,0.55,0,0.7,0.3,1,0.4,0.837152062856 
12,r,l,0.01,0,0.65,0.3,1,0.35,0.848507990576 
13,l,r,0.7,0.3,0.6,0,1,0.4,2.3673391112 
14,r,l,0.55,0,0.9,0.3,1,0.6,0.982105785008 
15,r,l,0.3,0,0.1,0.3,1,-0.2,1.75203486859 
16,r,l,0.2,0,0.01,0.3,2,-0.29,1.29684293519 
17,l,r,0.2,0.3,0.6,0,1,-0.1,2.17154673905 
18,r,l,0.55,0,0.01,0.3,2,-0.29,0.842349841247 
19,l,r,0.5,0.3,0.6,0,1,0.2,2.46528372114 
20,r,l,0.7,0,0.4,0.3,1,0.1,1.62800110586 
21,l,r,0.6,0.3,0.9,0,1,0.3,2.06571949318 
22,l,r,0.3,0.3,0.4,0,1,0.0,2.38848561747 
23,r,l,0.9,0,0.9,0.3,1,0.6,1.46634349964 
24,l,r,0.6,0.3,0.9,0,2,0.3,2.55106903663 
25,l,r,0.2,0.3,0.1,0,2,-0.1,1.4458570084 
26,l,r,0.6,0.3,0.9,0,1,0.3,0.970654716142 
27,r,l,0.7,0,0.3,0.3,1,0.0,1.23671287767 
28,r,l,0.7,0,0.55,0.3,2,0.25,1.48227516185 
29,r,l,0.5,0,0.6,0.3,2,0.3,1.19811671728 
30,l,r,0.4,0.3,0.4,0,1,0.1,2.70191041714 
31,r,l,0.3,0,0.5,0.3,1,0.2,0.86270151364 
32,r,l,0.65,0,0.1,0.3,2,-0.2,0.852547009539 
33,r,l,0.3,0,0.2,0.3,1,-0.1,3.05045467228 
34,l,r,0.55,0.3,0.01,0,2,0.25,2.23711264114 
35,l,r,0.55,0.3,0.5,0,2,0.25,1.59287226427 
36,l,r,0.9,0.3,0.01,0,1,0.6,1.85565040279 
37,r,l,0.7,0,0.4,0.3,1,0.1,2.39545012001 
38,r,l,0.1,0,0.65,0.3,1,0.35,1.16924329938 
39,l,r,0.2,0.3,0.65,0,2,-0.1,1.6580405361 
40,l,r,0.01,0.3,0.01,0,1,-0.29,2.22982218418 
41,r,l,0.65,0,0.2,0.3,1,-0.1,2.71458040195 
42,r,l,0.01,0,0.1,0.3,2,-0.2,1.14635481418 
43,r,l,0.65,0,0.5,0.3,1,0.2,1.83616652004 
44,l,r,0.7,0.3,0.5,0,1,0.4,1.33700572468 
45,r,l,0.4,0,0.5,0.3,1,0.2,2.60275755732 
46,l,r,0.5,0.3,0.55,0,1,0.2,2.13551213668 
47,r,l,0.4,0,0.65,0.3,1,0.35,0.840298973585 
48,l,r,0.01,0.3,0.6,0,2,-0.29,1.03913415584 
49,l,r,0.1,0.3,0.1,0,1,-0.2,1.55698485336 
50,r,l,0.3,0,0.6,0.3,2,0.3,1.14983023918 
51,l,r,0.01,0.3,0.4,0,2,-0.29,0.999645460573 
52,r,l,0.3,0,0.4,0.3,1,0.1,2.24043618162 
53,l,r,0.1,0.3,0.5,0,2,-0.2,1.91527019659 
54,r,l,0.6,0,0.01,0.3,2,-0.29,0.965085332648 
55,r,l,0.9,0,0.1,0.3,2,-0.2,0.950855971664 
56,l,r,0.7,0.3,0.2,0,1,0.4,1.12867605336 
57,l,r,0.55,0.3,0.2,0,1,0.25,1.16350155255 
58,r,l,0.4,0,0.55,0.3,1,0.25,1.54134330765 
59,r,l,0.1,0,0.5,0.3,1,0.2,0.934182379177 
60,l,r,0.9,0.3,0.5,0,2,0.6,1.93804775488 
61,r,l,0.1,0,0.01,0.3,2,-0.29,2.50579934348 
62,r,l,0.65,0,0.65,0.3,1,0.35,0.842602413257 
63,r,l,0.9,0,0.3,0.3,1,0.0,1.49738084531 
