# Time : Tue Jun 05 14:49:34 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S015_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B7114E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B7112B0> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.7,0,0.7,0.3,2,0.4,1.14880928509 
1,l,r,0.55,0.3,0.6,0,1,0.25,1.48670754465 
2,l,r,0.1,0.3,0.55,0,2,-0.2,1.09847193933 
3,l,r,0.7,0.3,0.1,0,1,0.4,1.63025249522 
4,l,r,0.2,0.3,0.3,0,2,-0.1,1.34810524061 
5,r,l,0.01,0,0.2,0.3,1,-0.1,1.49391565972 
6,l,r,0.55,0.3,0.65,0,2,0.25,1.99285033487 
7,r,l,0.2,0,0.65,0.3,1,0.35,1.23950098256 
8,r,l,0.6,0,0.65,0.3,1,0.35,1.73330358217 
9,l,r,0.1,0.3,0.2,0,2,-0.2,1.1981393293 
10,l,r,0.4,0.3,0.3,0,2,0.1,2.80591931519 
11,r,l,0.01,0,0.1,0.3,2,-0.2,1.4016790919 
12,l,r,0.2,0.3,0.7,0,2,-0.1,1.12952635068 
13,r,l,0.5,0,0.65,0.3,2,0.35,1.59633659658 
14,r,l,0.4,0,0.55,0.3,2,0.25,1.11513059936 
15,l,r,0.55,0.3,0.65,0,2,0.25,2.35898204947 
16,r,l,0.4,0,0.9,0.3,1,0.6,1.16570515802 
17,l,r,0.4,0.3,0.9,0,2,0.1,0.958575203743 
18,r,l,0.3,0,0.5,0.3,2,0.2,1.66438043488 
19,r,l,0.3,0,0.01,0.3,2,-0.29,1.00518113936 
20,l,r,0.5,0.3,0.55,0,1,0.2,0.909048477614 
21,l,r,0.4,0.3,0.4,0,1,0.1,1.27285926022 
22,l,r,0.6,0.3,0.65,0,2,0.3,2.01269984974 
23,r,l,0.01,0,0.55,0.3,1,0.25,2.13053749201 
24,l,r,0.9,0.3,0.1,0,1,0.6,1.85926448641 
25,l,r,0.1,0.3,0.2,0,2,-0.2,0.943044584933 
26,l,r,0.7,0.3,0.6,0,2,0.4,1.58587021724 
27,r,l,0.9,0,0.65,0.3,1,0.35,1.08966562367 
28,r,l,0.65,0,0.9,0.3,1,0.6,3.07745299899 
29,l,r,0.3,0.3,0.65,0,2,0.0,1.82221319638 
30,l,r,0.3,0.3,0.55,0,1,0.0,2.17098143852 
31,l,r,0.01,0.3,0.1,0,2,-0.29,1.04180792069 
32,l,r,0.6,0.3,0.3,0,2,0.3,1.23960294997 
33,r,l,0.6,0,0.5,0.3,1,0.2,1.22143867065 
34,r,l,0.2,0,0.1,0.3,2,-0.2,1.97223201128 
35,l,r,0.9,0.3,0.7,0,2,0.6,2.33902672741 
36,r,l,0.65,0,0.55,0.3,2,0.25,1.31480413297 
37,l,r,0.6,0.3,0.5,0,1,0.3,1.34161729709 
38,l,r,0.01,0.3,0.4,0,2,-0.29,0.839452516035 
39,l,r,0.3,0.3,0.1,0,2,0.0,1.17428279362 
40,l,r,0.4,0.3,0.9,0,2,0.1,0.983126739099 
41,l,r,0.6,0.3,0.55,0,2,0.3,0.911964148427 
42,r,l,0.3,0,0.6,0.3,1,0.3,1.01981410359 
43,r,l,0.9,0,0.5,0.3,2,0.2,1.91466735157 
44,r,l,0.6,0,0.2,0.3,2,-0.1,0.980421402747 
45,r,l,0.2,0,0.65,0.3,1,0.35,1.76526034116 
46,r,l,0.5,0,0.5,0.3,1,0.2,2.15803498976 
47,l,r,0.4,0.3,0.01,0,1,0.1,1.332841273 
48,r,l,0.6,0,0.4,0.3,2,0.1,3.5186741164 
49,l,r,0.01,0.3,0.2,0,1,-0.29,1.59730891349 
50,r,l,0.65,0,0.3,0.3,2,0.0,0.83618358572 
51,l,r,0.3,0.3,0.4,0,2,0.0,1.68300506083 
52,l,r,0.01,0.3,0.4,0,2,-0.29,0.836562870378 
53,l,r,0.9,0.3,0.2,0,2,0.6,0.965656606166 
54,r,l,0.55,0,0.01,0.3,2,-0.29,1.59155010099 
55,r,l,0.1,0,0.6,0.3,1,0.3,1.77423560702 
56,r,l,0.7,0,0.01,0.3,2,-0.29,2.11008811862 
57,l,r,0.3,0.3,0.01,0,2,0.0,2.9108134952 
58,r,l,0.3,0,0.9,0.3,2,0.6,1.96662849644 
59,l,r,0.2,0.3,0.5,0,2,-0.1,1.35837707124 
60,l,r,0.2,0.3,0.9,0,1,-0.1,1.59122457321 
61,r,l,0.4,0,0.6,0.3,1,0.3,1.33404141669 
62,r,l,0.5,0,0.65,0.3,1,0.35,1.32791654543 
63,r,l,0.5,0,0.1,0.3,2,-0.2,0.837128170909 
64,l,r,0.4,0.3,0.9,0,1,0.1,2.37743516536 
65,r,l,0.01,0,0.5,0.3,1,0.2,1.39128310848 
66,r,l,0.1,0,0.7,0.3,2,0.4,0.836657584883 
67,r,l,0.1,0,0.65,0.3,2,0.35,1.25388350799 
68,r,l,0.55,0,0.7,0.3,2,0.4,1.97067946137 
69,l,r,0.3,0.3,0.01,0,1,0.0,1.16946728638 
70,l,r,0.55,0.3,0.5,0,1,0.25,1.36227231188 
71,r,l,0.7,0,0.7,0.3,2,0.4,1.31517317822 
72,r,l,0.55,0,0.1,0.3,2,-0.2,3.06204311984 
73,l,r,0.2,0.3,0.6,0,2,-0.1,1.39968027455 
74,l,r,0.5,0.3,0.7,0,2,0.2,0.894491455642 
