# Time : Fri Jun 08 17:56:35 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S016PW_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BDBD7D8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BDBDB70> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.55,0.3,0.9,0,1,0.25,0.860709505742 
1,r,r,0.65,0.3,0.3,0,2,0.35,0.836418774695 
2,r,r,0.7,0.3,0.1,0,1,0.4,0.836554448501 
3,l,l,0.5,0,0.7,0.3,1,0.4,0.836716574433 
4,l,l,0.5,0,0.6,0.3,1,0.3,0.836804890401 
5,l,r,0.55,0.3,0.3,0,2,0.25,1.49387569293 
6,l,l,0.3,0,0.01,0.3,2,-0.29,0.836759665799 
7,r,l,0.01,0,0.1,0.3,2,-0.2,1.15154294823 
8,l,l,0.65,0,0.65,0.3,1,0.35,0.836235316404 
9,l,l,0.2,0,0.5,0.3,1,0.2,0.836705481606 
10,l,r,0.65,0.3,0.7,0,2,0.35,1.15111715433 
11,l,l,0.4,0,0.55,0.3,2,0.25,0.836260488588 
12,r,r,0.2,0.3,0.9,0,2,-0.1,0.836335578493 
13,l,l,0.6,0,0.6,0.3,2,0.3,0.846567431375 
14,l,l,0.5,0,0.4,0.3,2,0.1,0.836890646486 
15,r,r,0.9,0.3,0.6,0,1,0.6,0.837028453528 
16,l,l,0.55,0,0.3,0.3,2,0.0,0.859142857265 
17,l,r,0.01,0.3,0.7,0,2,-0.29,1.33696808295 
18,l,l,0.6,0,0.9,0.3,1,0.6,0.906800628195 
19,r,r,0.9,0.3,0.65,0,1,0.6,0.837079224543 
20,r,l,0.7,0,0.5,0.3,1,0.2,1.06946882852 
21,r,l,0.2,0,0.3,0.3,1,0.0,1.29830488805 
22,r,r,0.4,0.3,0.65,0,2,0.1,0.836876567128 
23,l,l,0.55,0,0.4,0.3,2,0.1,0.835989567623 
24,r,l,0.1,0,0.3,0.3,2,0.0,0.836193504979 
25,r,r,0.55,0.3,0.55,0,2,0.25,0.836309126367 
26,r,l,0.9,0,0.5,0.3,2,0.2,1.72054950451 
27,r,r,0.5,0.3,0.9,0,2,0.2,0.906325343227 
28,r,r,0.4,0.3,0.7,0,2,0.1,0.836536955966 
29,l,l,0.01,0,0.55,0.3,1,0.25,1.34104640343 
30,r,l,0.4,0,0.9,0.3,1,0.6,0.837827137065 
31,r,l,0.9,0,0.2,0.3,2,-0.1,1.22067387217 
32,l,l,0.9,0,0.4,0.3,2,0.1,0.836698228604 
33,r,r,0.4,0.3,0.65,0,2,0.1,0.837351852097 
34,r,r,0.5,0.3,0.55,0,1,0.2,0.836475092124 
35,r,r,0.65,0.3,0.9,0,2,0.35,0.912065881152 
36,l,l,0.1,0,0.4,0.3,2,0.1,0.836605219516 
37,l,l,0.1,0,0.1,0.3,2,-0.2,0.83661375246 
38,l,r,0.3,0.3,0.55,0,2,0.0,1.06564393647 
39,l,r,0.7,0.3,0.65,0,1,0.4,1.48642771295 
40,r,r,0.2,0.3,0.4,0,2,-0.1,1.21023125558 
41,r,r,0.4,0.3,0.4,0,2,0.1,0.836155106732 
42,r,l,0.3,0,0.3,0.3,1,0.0,1.14387780483 
43,l,l,0.01,0,0.55,0.3,1,0.25,0.993711647084 
44,l,r,0.1,0.3,0.6,0,2,-0.2,0.930555490373 
45,r,r,0.1,0.3,0.1,0,2,-0.2,1.14939520628 
46,l,l,0.55,0,0.2,0.3,2,-0.1,0.84823007547 
47,r,r,0.9,0.3,0.2,0,1,0.6,0.837232390884 
48,l,l,0.4,0,0.55,0.3,2,0.25,0.836070630589 
49,l,r,0.3,0.3,0.7,0,2,0.0,1.19573293081 
50,r,r,0.6,0.3,0.5,0,1,0.3,0.835937516666 
51,l,l,0.01,0,0.4,0.3,1,0.1,0.845313941934 
52,r,r,0.3,0.3,0.01,0,1,0.0,0.836637218056 
53,l,r,0.1,0.3,0.7,0,2,-0.2,0.851053199918 
54,r,l,0.1,0,0.4,0.3,1,0.1,0.836299313482 
55,r,r,0.9,0.3,0.4,0,1,0.6,0.835994260742 
56,l,l,0.01,0,0.01,0.3,2,-0.29,1.70246265024 
57,r,r,0.6,0.3,0.65,0,1,0.3,0.837136395266 
58,l,r,0.1,0.3,0.5,0,2,-0.2,1.87215260999 
59,l,l,0.9,0,0.6,0.3,2,0.3,1.48311778406 
60,l,l,0.5,0,0.65,0.3,1,0.35,0.838723096162 
61,r,r,0.4,0.3,0.01,0,1,0.1,0.90955292921 
62,l,l,0.4,0,0.6,0.3,1,0.3,0.836340698259 
63,r,r,0.6,0.3,0.01,0,1,0.3,0.837426942002 
64,l,r,0.7,0.3,0.55,0,1,0.4,1.07110032737 
65,r,r,0.6,0.3,0.5,0,1,0.3,0.837536163682 
66,r,r,0.6,0.3,0.1,0,1,0.3,0.836830062585 
67,r,r,0.2,0.3,0.9,0,2,-0.1,0.86569231826 
68,r,l,0.5,0,0.55,0.3,1,0.25,1.2235221688 
69,r,r,0.3,0.3,0.01,0,1,0.0,0.836870594068 
70,l,l,0.3,0,0.2,0.3,2,-0.1,0.837109516494 
71,l,r,0.6,0.3,0.2,0,1,0.3,0.836034792225 
72,r,r,0.01,0.3,0.9,0,2,-0.29,0.905896989449 
73,r,r,0.65,0.3,0.65,0,2,0.35,0.836715721138 
74,r,l,0.7,0,0.2,0.3,2,-0.1,1.14857817691 
75,l,r,0.1,0.3,0.65,0,2,-0.2,0.838425723071 
76,l,l,0.3,0,0.5,0.3,1,0.2,0.836112015366 
77,r,l,0.01,0,0.7,0.3,1,0.4,1.19608747462 
78,r,r,0.65,0.3,0.1,0,1,0.35,0.836516050254 
79,r,l,0.6,0,0.01,0.3,2,-0.29,1.17868794897 
80,l,l,0.1,0,0.9,0.3,1,0.6,0.836323632372 
81,r,r,0.2,0.3,0.9,0,1,-0.1,1.12240422517 
82,l,l,0.7,0,0.01,0.3,2,-0.29,1.65323012453 
83,l,l,0.9,0,0.2,0.3,2,-0.1,0.836469119063 
84,r,r,0.4,0.3,0.4,0,1,0.1,0.836148280377 
85,l,r,0.01,0.3,0.4,0,2,-0.29,1.8387171231 
86,r,r,0.01,0.3,0.3,0,2,-0.29,0.836986215456 
87,l,r,0.5,0.3,0.3,0,1,0.2,0.836997308283 
88,r,r,0.65,0.3,0.5,0,1,0.35,0.837121462615 
89,l,l,0.2,0,0.7,0.3,1,0.4,0.837185459693 
90,l,r,0.9,0.3,0.4,0,1,0.6,0.83598999427 
91,r,l,0.5,0,0.5,0.3,2,0.2,1.38873403966 
92,r,l,0.01,0,0.5,0.3,1,0.2,1.65262513882 
93,r,r,0.55,0.3,0.01,0,1,0.25,0.835930263664 
94,r,l,0.55,0,0.01,0.3,2,-0.29,1.34322614392 
95,r,r,0.2,0.3,0.3,0,1,-0.1,1.02501560462 
96,l,r,0.2,0.3,0.2,0,1,-0.1,1.00784006874 
97,l,l,0.65,0,0.65,0.3,1,0.35,0.836205451101 
98,r,l,0.7,0,0.7,0.3,1,0.4,1.39053491745 
99,l,l,0.55,0,0.9,0.3,1,0.6,0.837010960993 
100,r,l,0.2,0,0.55,0.3,1,0.25,1.05319223826 
101,l,l,0.9,0,0.9,0.3,1,0.6,0.836324059019 
102,l,l,0.2,0,0.4,0.3,2,0.1,0.836464852591 
103,l,r,0.9,0.3,0.3,0,1,0.6,0.836978535807 
104,r,r,0.4,0.3,0.4,0,2,0.1,0.836741746617 
105,l,l,0.2,0,0.01,0.3,1,-0.29,0.836775025097 
106,l,l,0.2,0,0.6,0.3,2,0.3,0.978018710186 
107,r,l,0.9,0,0.01,0.3,2,-0.29,0.836595406631 
108,l,l,0.4,0,0.3,0.3,2,0.0,0.83764282548 
109,r,r,0.1,0.3,0.6,0,2,-0.2,0.836792090985 
110,r,r,0.7,0.3,0.55,0,1,0.4,0.835934530136 
111,r,r,0.55,0.3,0.7,0,2,0.25,0.836129081254 
112,l,r,0.7,0.3,0.2,0,1,0.4,0.836174732503 
113,r,r,0.3,0.3,0.65,0,2,0.0,0.83626774159 
114,r,r,0.5,0.3,0.01,0,1,0.2,0.836413654929 
115,r,r,0.6,0.3,0.6,0,2,0.3,0.888588339647 
116,r,r,0.01,0.3,0.1,0,2,-0.29,0.836644471058 
117,l,l,0.2,0,0.55,0.3,1,0.25,1.22031122206 
118,r,r,0.1,0.3,0.5,0,2,-0.2,0.836083856652 
119,l,l,0.3,0,0.5,0.3,1,0.2,1.46503135644 
120,r,r,0.01,0.3,0.6,0,2,-0.29,0.933783503004 
121,r,r,0.5,0.3,0.6,0,2,0.2,0.836934591146 
122,l,r,0.4,0.3,0.1,0,2,0.1,1.07149156284 
123,l,r,0.01,0.3,0.55,0,2,-0.29,1.37234566785 
124,r,r,0.7,0.3,0.4,0,1,0.4,0.836606926105 
125,r,r,0.7,0.3,0.65,0,1,0.4,0.837609546999 
126,l,r,0.2,0.3,0.3,0,1,-0.1,1.45085387035 
127,l,l,0.65,0,0.01,0.3,2,-0.29,0.836241716112 
128,l,l,0.2,0,0.6,0.3,1,0.3,0.837426088708 
129,r,l,0.1,0,0.4,0.3,2,0.1,1.45335743606 
130,l,r,0.2,0.3,0.9,0,2,-0.1,0.970121897368 
131,r,l,0.1,0,0.01,0.3,2,-0.29,1.17093960937 
132,r,r,0.65,0.3,0.5,0,1,0.35,0.836467839122 
133,r,r,0.3,0.3,0.6,0,2,0.0,0.836577060802 
134,r,r,0.1,0.3,0.55,0,2,-0.2,0.836730227143 
135,r,r,0.3,0.3,0.3,0,2,0.0,0.836784837983 
136,l,r,0.65,0.3,0.4,0,1,0.35,0.943214539112 
137,r,r,0.65,0.3,0.3,0,2,0.35,0.83621014422 
138,l,r,0.1,0.3,0.4,0,2,-0.2,1.34384136916 
139,r,l,0.4,0,0.7,0.3,1,0.4,0.993673248837 
140,l,r,0.5,0.3,0.3,0,2,0.2,0.857494292527 
141,l,r,0.55,0.3,0.55,0,2,0.25,1.24836583461 
142,r,r,0.01,0.3,0.4,0,2,-0.29,1.39815227635 
143,l,r,0.5,0.3,0.55,0,2,0.2,0.884971651428 
144,l,r,0.2,0.3,0.1,0,2,-0.1,0.836583887157 
145,l,r,0.3,0.3,0.9,0,2,0.0,0.836470825652 
146,r,r,0.4,0.3,0.6,0,2,0.1,0.836478078654 
147,r,r,0.6,0.3,0.6,0,1,0.3,0.836615459049 
148,l,l,0.6,0,0.65,0.3,1,0.35,0.861213376072 
149,l,r,0.1,0.3,0.65,0,2,-0.2,0.851139809297 
150,l,l,0.65,0,0.3,0.3,2,0.0,0.837041679591 
151,l,l,0.55,0,0.3,0.3,2,0.0,0.836741746617 
152,r,l,0.7,0,0.9,0.3,2,0.6,0.898072280007 
153,r,l,0.1,0,0.65,0.3,1,0.35,0.886919295844 
154,l,l,0.55,0,0.1,0.3,2,-0.2,0.837150901271 
155,r,r,0.55,0.3,0.2,0,1,0.25,0.835917037601 
156,l,l,0.55,0,0.2,0.3,2,-0.1,0.836431147463 
157,r,r,0.55,0.3,0.01,0,1,0.25,0.836566821269 
158,l,l,0.55,0,0.7,0.3,1,0.4,0.836292487127 
159,l,r,0.4,0.3,0.65,0,2,0.1,0.836368003679 
160,r,r,0.3,0.3,0.55,0,2,0.0,0.836444800173 
161,l,l,0.6,0,0.5,0.3,1,0.2,0.836603512928 
162,l,l,0.9,0,0.2,0.3,2,-0.1,0.865513979735 
163,r,r,0.6,0.3,0.2,0,1,0.3,1.08737905086 
164,l,l,0.4,0,0.2,0.3,2,-0.1,0.836464852591 
165,r,r,0.4,0.3,0.01,0,1,0.1,0.836630391701 
166,r,r,0.7,0.3,0.01,0,1,0.4,0.83643925376 
167,l,l,0.6,0,0.1,0.3,2,-0.2,0.839763262008 
168,l,l,0.01,0,0.1,0.3,1,-0.2,1.01458322756 
169,l,l,0.2,0,0.6,0.3,2,0.3,0.837718342032 
170,r,r,0.9,0.3,0.3,0,1,0.6,0.836869314126 
171,l,l,0.6,0,0.2,0.3,2,-0.1,1.01112994521 
172,l,l,0.2,0,0.4,0.3,2,0.1,0.836199051393 
173,r,r,0.4,0.3,0.6,0,2,0.1,1.40183765477 
174,l,r,0.01,0.3,0.3,0,2,-0.29,0.83664404441 
175,l,l,0.4,0,0.6,0.3,1,0.3,0.836355204264 
176,r,l,0.65,0,0.9,0.3,1,0.6,0.836543355674 
177,l,l,0.5,0,0.2,0.3,2,-0.1,1.23729434006 
178,l,l,0.1,0,0.55,0.3,1,0.25,0.836540795791 
179,r,r,0.55,0.3,0.01,0,1,0.25,0.83681257005 
180,r,r,0.9,0.3,0.7,0,1,0.6,0.836796784104 
181,l,l,0.7,0,0.1,0.3,2,-0.2,1.2466289539 
182,l,l,0.3,0,0.55,0.3,2,0.25,0.973347350116 
183,r,r,0.7,0.3,0.7,0,1,0.4,0.836560421562 
