# Time : Fri Jun 08 17:43:46 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S016PW_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BAEAA80> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BAEAAD0> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.2,0,0.01,0.3,2,-0.29,1.89188333589 
1,l,l,0.01,0,0.3,0.3,2,0.0,0.837277615486 
2,l,l,0.9,0,0.3,0.3,2,0.0,0.85262368822 
3,l,l,0.5,0,0.7,0.3,1,0.4,1.00240458356 
4,l,l,0.5,0,0.65,0.3,1,0.35,0.866263598846 
5,r,l,0.9,0,0.55,0.3,2,0.25,1.08006674469 
6,l,r,0.2,0.3,0.2,0,2,-0.1,0.84502467514 
7,r,r,0.9,0.3,0.55,0,1,0.6,0.843794224648 
8,l,l,0.6,0,0.01,0.3,2,-0.29,0.836324059019 
9,l,l,0.55,0,0.5,0.3,2,0.2,0.837352705391 
10,l,r,0.9,0.3,0.5,0,1,0.6,0.836527996375 
11,r,r,0.01,0.3,0.3,0,2,-0.29,0.837007974463 
12,l,l,0.01,0,0.3,0.3,2,0.0,0.836764358918 
13,l,l,0.55,0,0.01,0.3,2,-0.29,0.835888452239 
14,r,r,0.6,0.3,0.4,0,1,0.3,0.835993834095 
15,l,r,0.7,0.3,0.01,0,1,0.4,0.897531718019 
16,r,l,0.01,0,0.6,0.3,1,0.3,1.03039775891 
17,l,l,0.3,0,0.4,0.3,2,0.1,0.83618881186 
18,r,r,0.1,0.3,0.65,0,2,-0.2,0.836276701181 
19,l,r,0.3,0.3,0.2,0,1,0.0,0.938916495332 
20,r,l,0.7,0,0.2,0.3,1,-0.1,1.34974829949 
21,r,r,0.01,0.3,0.1,0,2,-0.29,0.836910272256 
22,r,l,0.01,0,0.9,0.3,1,0.6,0.836117988427 
23,l,l,0.2,0,0.6,0.3,1,0.3,0.836101349186 
24,r,r,0.6,0.3,0.01,0,1,0.3,0.83622678346 
25,r,r,0.6,0.3,0.65,0,1,0.3,0.836323632372 
26,r,l,0.1,0,0.55,0.3,1,0.25,0.904819705298 
27,l,l,0.1,0,0.01,0.3,2,-0.29,0.837306200848 
28,r,l,0.01,0,0.5,0.3,1,0.2,0.891489540531 
29,r,l,0.1,0,0.9,0.3,1,0.6,0.836753692738 
