# Time : Fri Jun 08 17:05:59 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S016PW_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BADD738> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BADD760> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.1,0,0.65,0.3,1,0.35,0.837878334728 
1,r,r,0.7,0.3,0.7,0,1,0.4,0.836519463431 
2,l,l,0.9,0,0.55,0.3,2,0.25,0.903580295214 
3,l,l,0.55,0,0.6,0.3,1,0.3,0.837173513572 
4,l,l,0.9,0,0.7,0.3,1,0.4,1.37826625088 
5,l,r,0.2,0.3,0.01,0,2,-0.1,1.23507534803 
6,r,l,0.6,0,0.6,0.3,2,0.3,1.02482830651 
7,r,l,0.5,0,0.01,0.3,2,-0.29,1.2246984351 
8,r,l,0.01,0,0.3,0.3,2,0.0,0.966567072991 
9,l,l,0.55,0,0.5,0.3,1,0.2,0.856425967966 
10,r,l,0.3,0,0.01,0.3,2,-0.29,0.998194855744 
11,r,r,0.01,0.3,0.4,0,2,-0.29,0.837393236874 
12,r,l,0.2,0,0.2,0.3,1,-0.1,1.2380234801 
13,r,r,0.01,0.3,0.7,0,2,-0.29,0.837581814932 
14,r,r,0.7,0.3,0.6,0,1,0.4,0.836667083359 
15,l,l,0.6,0,0.1,0.3,2,-0.2,0.837291268196 
16,l,l,0.6,0,0.1,0.3,2,-0.2,0.837869375137 
