# Time : Fri Jun 08 17:24:52 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S016PW_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BAFAA80> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BAFAAD0> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.5,0.3,0.7,0,1,0.2,1.58485095294 
1,l,l,0.1,0,0.6,0.3,1,0.3,1.22469203539 
2,r,r,0.1,0.3,0.4,0,2,-0.2,0.927465711432 
3,r,r,0.5,0.3,0.1,0,1,0.2,0.962340705939 
4,r,r,0.6,0.3,0.7,0,1,0.3,0.836395309099 
5,r,r,0.55,0.3,0.65,0,1,0.25,0.836227636754 
6,r,l,0.65,0,0.01,0.3,2,-0.29,1.44983546351 
7,l,l,0.01,0,0.2,0.3,2,-0.1,0.837043386179 
8,r,r,0.5,0.3,0.7,0,1,0.2,0.836799770634 
9,r,l,0.6,0,0.3,0.3,2,0.0,1.14836485332 
10,r,r,0.4,0.3,0.55,0,2,0.1,0.836991761869 
11,l,l,0.65,0,0.1,0.3,2,-0.2,0.837161140803 
12,l,l,0.6,0,0.65,0.3,2,0.35,0.835928983722 
13,l,l,0.7,0,0.9,0.3,1,0.6,0.978741877171 
14,l,l,0.65,0,0.7,0.3,1,0.4,0.844620213605 
15,l,l,0.55,0,0.65,0.3,2,0.35,0.837170953689 
16,r,r,0.2,0.3,0.6,0,2,-0.1,0.835905944774 
17,r,r,0.9,0.3,0.3,0,1,0.6,0.83610390907 
18,l,r,0.65,0.3,0.9,0,2,0.35,1.2149401606 
19,l,r,0.7,0.3,0.2,0,1,0.4,0.836877420423 
20,r,r,0.1,0.3,0.2,0,2,-0.2,0.837829696948 
21,r,l,0.65,0,0.1,0.3,2,-0.2,1.58753883023 
22,r,r,0.5,0.3,0.9,0,2,0.2,0.987236849347 
23,r,l,0.1,0,0.7,0.3,1,0.4,0.83712060932 
24,r,l,0.6,0,0.2,0.3,2,-0.1,0.977995671238 
25,r,r,0.6,0.3,0.55,0,2,0.3,1.00277917979 
26,l,l,0.5,0,0.65,0.3,2,0.35,0.836135907609 
27,r,r,0.5,0.3,0.9,0,2,0.2,0.897527878194 
28,r,r,0.5,0.3,0.01,0,2,0.2,0.910387024464 
29,l,l,0.5,0,0.1,0.3,2,-0.2,0.836393602511 
30,r,l,0.1,0,0.65,0.3,1,0.35,1.29705737167 
31,r,r,0.4,0.3,0.2,0,2,0.1,1.10883641792 
32,l,r,0.01,0.3,0.3,0,1,-0.29,1.23968953737 
33,r,r,0.55,0.3,0.3,0,1,0.25,0.835915757659 
34,r,r,0.65,0.3,0.6,0,1,0.35,0.836426880991 
35,r,r,0.6,0.3,0.1,0,1,0.3,0.836152120202 
36,l,l,0.4,0,0.2,0.3,2,-0.1,0.836177719033 
37,r,r,0.01,0.3,0.3,0,2,-0.29,0.836447786704 
38,l,l,0.7,0,0.01,0.3,2,-0.29,0.837424382119 
39,r,l,0.4,0,0.5,0.3,1,0.2,1.22256007939 
40,l,l,0.1,0,0.4,0.3,1,0.1,1.04543365914 
41,r,l,0.7,0,0.2,0.3,2,-0.1,1.66728601617 
42,l,l,0.9,0,0.3,0.3,2,0.0,1.22307674914 
43,r,r,0.4,0.3,0.5,0,1,0.1,1.22985275979 
44,l,r,0.7,0.3,0.2,0,1,0.4,0.852693658359 
45,l,l,0.65,0,0.01,0.3,2,-0.29,0.850530557112 
46,r,r,0.6,0.3,0.3,0,1,0.3,0.836740040028 
47,r,r,0.9,0.3,0.01,0,1,0.6,0.836506237369 
48,l,l,0.01,0,0.65,0.3,1,0.35,0.87106337972 
49,l,l,0.5,0,0.55,0.3,1,0.25,0.995933198996 
50,l,l,0.2,0,0.2,0.3,2,-0.1,1.2207455489 
51,r,r,0.6,0.3,0.65,0,1,0.3,0.937200093692 
52,r,r,0.9,0.3,0.55,0,1,0.6,0.836313819486 
53,l,r,0.3,0.3,0.6,0,1,0.0,1.0749115667 
54,l,r,0.3,0.3,0.1,0,1,0.0,0.927748151871 
55,r,r,0.65,0.3,0.2,0,1,0.35,0.836276274534 
56,r,r,0.55,0.3,0.4,0,1,0.25,0.836434133994 
57,l,l,0.55,0,0.4,0.3,2,0.1,0.836611192577 
58,r,r,0.65,0.3,0.1,0,1,0.35,0.836666230064 
59,l,l,0.65,0,0.4,0.3,2,0.1,0.845970125311 
60,r,r,0.5,0.3,0.01,0,1,0.2,0.836649164177 
61,l,r,0.1,0.3,0.9,0,2,-0.2,1.2996488267 
62,r,r,0.2,0.3,0.01,0,1,-0.1,1.04747943241 
63,r,r,0.65,0.3,0.1,0,1,0.35,0.84530242246 
64,l,l,0.01,0,0.6,0.3,1,0.3,0.836462292708 
65,r,r,0.6,0.3,0.9,0,1,0.3,0.83681257005 
66,l,l,0.5,0,0.7,0.3,1,0.4,0.836603939575 
67,l,l,0.5,0,0.1,0.3,2,-0.2,0.836725534024 
68,r,l,0.3,0,0.4,0.3,1,0.1,1.35159781505 
69,l,r,0.55,0.3,0.4,0,1,0.25,0.836368430327 
70,l,l,0.4,0,0.2,0.3,2,-0.1,0.836500690955 
71,r,l,0.3,0,0.7,0.3,2,0.4,0.895161692885 
72,r,r,0.7,0.3,0.6,0,1,0.4,0.892006210276 
73,l,l,0.2,0,0.9,0.3,1,0.6,0.837029306822 
74,l,r,0.1,0.3,0.3,0,2,-0.2,1.30266906215 
75,r,r,0.5,0.3,0.9,0,2,0.2,1.04248254053 
76,r,l,0.01,0,0.5,0.3,1,0.2,1.12025861646 
77,r,l,0.4,0,0.5,0.3,2,0.2,0.891068439755 
78,r,r,0.6,0.3,0.5,0,2,0.3,0.983918387513 
79,r,r,0.2,0.3,0.55,0,2,-0.1,1.06573950544 
80,l,r,0.9,0.3,0.01,0,1,0.6,0.886621496107 
81,l,l,0.2,0,0.55,0.3,1,0.25,1.10747200021 
82,r,l,0.55,0,0.3,0.3,2,0.0,1.02330133622 
83,r,l,0.65,0,0.3,0.3,2,0.0,1.80610293205 
84,r,l,0.3,0,0.3,0.3,1,0.0,1.04391906162 
85,r,r,0.3,0.3,0.4,0,2,0.0,0.92274144711 
86,l,l,0.55,0,0.4,0.3,2,0.1,0.997669226408 
87,l,l,0.5,0,0.5,0.3,1,0.2,1.67841425479 
88,r,l,0.3,0,0.01,0.3,2,-0.29,0.993223989347 
89,r,r,0.2,0.3,0.5,0,2,-0.1,0.836511783782 
90,r,r,0.6,0.3,0.2,0,1,0.3,0.836677322891 
91,l,r,0.2,0.3,0.55,0,2,-0.1,0.855745039053 
92,l,r,0.1,0.3,0.6,0,2,-0.2,0.836586873687 
93,l,l,0.7,0,0.55,0.3,1,0.25,1.21243232842 
94,l,l,0.7,0,0.3,0.3,2,0.0,0.979276039451 
95,l,l,0.5,0,0.2,0.3,1,-0.1,1.65211529543 
96,r,r,0.1,0.3,0.65,0,2,-0.2,0.83692947138 
97,r,r,0.4,0.3,0.01,0,2,0.1,0.835984874504 
98,l,r,0.9,0.3,0.1,0,1,0.6,0.918579077137 
99,l,l,0.6,0,0.65,0.3,1,0.35,0.837620639826 
100,r,r,0.65,0.3,0.9,0,1,0.35,0.836795504163 
101,r,l,0.7,0,0.7,0.3,1,0.4,0.855469424969 
102,l,l,0.1,0,0.65,0.3,1,0.35,0.836634231525 
103,r,l,0.3,0,0.1,0.3,2,-0.2,1.48410589895 
104,r,r,0.2,0.3,0.2,0,1,-0.1,0.837473019898 
105,l,l,0.6,0,0.7,0.3,1,0.4,0.836634658172 
106,l,r,0.6,0.3,0.4,0,1,0.3,0.837104396727 
107,r,r,0.4,0.3,0.55,0,1,0.1,0.836788677808 
108,l,l,0.5,0,0.5,0.3,1,0.2,0.858292976065 
109,r,r,0.9,0.3,0.3,0,1,0.6,0.837143648269 
110,l,l,0.6,0,0.1,0.3,2,-0.2,0.83690515249 
111,r,r,0.55,0.3,0.2,0,1,0.25,0.835962262203 
112,r,l,0.9,0,0.55,0.3,2,0.25,0.996701163936 
113,l,r,0.7,0.3,0.9,0,1,0.4,0.836550608676 
114,l,r,0.1,0.3,0.2,0,1,-0.2,1.03639215191 
115,r,r,0.55,0.3,0.3,0,1,0.25,0.836214410691 
116,r,r,0.5,0.3,0.01,0,1,0.2,1.12905352161 
117,r,l,0.3,0,0.65,0.3,1,0.35,1.25989469494 
118,l,r,0.7,0.3,0.55,0,1,0.4,0.836036498814 
119,r,r,0.5,0.3,0.01,0,1,0.2,0.83618881186 
120,r,r,0.7,0.3,0.2,0,1,0.4,0.836324912313 
121,l,r,0.1,0.3,0.4,0,1,-0.2,0.949250316892 
122,r,r,0.9,0.3,0.65,0,1,0.6,0.837615093412 
123,r,r,0.4,0.3,0.3,0,1,0.1,0.836795504163 
124,r,l,0.1,0,0.1,0.3,2,-0.2,0.83596567538 
