# Time : Fri Jun 08 16:57:07 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S016PWn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BACD6C0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BACD648> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.9,0,0.6,0.3,2,0.3,0.854510748736 
1,l,r,0.1,0.3,0.2,0,2,-0.2,0.836647030941 
2,r,l,0.01,0,0.65,0.3,1,0.35,1.12312355233 
3,r,l,0.1,0,0.65,0.3,2,0.35,0.836742173264 
4,l,r,0.2,0.3,0.3,0,2,-0.1,0.837238790592 
5,r,l,0.5,0,0.7,0.3,1,0.4,1.27462895561 
6,l,r,0.65,0.3,0.9,0,2,0.35,1.13545621597 
7,r,l,0.9,0,0.4,0.3,2,0.1,0.92128146043 
8,r,l,0.65,0,0.2,0.3,2,-0.1,1.02112756879 
9,r,l,0.55,0,0.3,0.3,2,0.0,0.939940875233 
10,l,r,0.3,0.3,0.01,0,2,0.0,1.14294643402 
11,r,l,0.55,0,0.5,0.3,2,0.2,0.968676416693 
12,r,l,0.01,0,0.7,0.3,2,0.4,1.22546128027 
13,r,l,0.3,0,0.7,0.3,1,0.4,0.96830651358 
14,l,r,0.6,0.3,0.4,0,2,0.3,0.977124457678 
15,r,l,0.01,0,0.4,0.3,2,0.1,0.836142307317 
16,l,r,0.3,0.3,0.65,0,2,0.0,0.836248542467 
17,l,r,0.7,0.3,0.9,0,2,0.4,1.40763920324 
18,l,r,0.9,0.3,0.4,0,1,0.6,0.836389336039 
19,l,r,0.2,0.3,0.6,0,2,-0.1,0.917320041282 
20,r,l,0.7,0,0.3,0.3,2,0.0,1.06614396697 
21,l,r,0.6,0.3,0.2,0,1,0.3,0.836034365578 
22,l,r,0.5,0.3,0.7,0,1,0.2,0.96589041055 
23,l,r,0.01,0.3,0.2,0,2,-0.29,1.39970655206 
24,l,r,0.9,0.3,0.6,0,1,0.6,0.836382083037 
25,r,l,0.5,0,0.55,0.3,2,0.25,1.0863324853 
26,l,r,0.01,0.3,0.2,0,2,-0.29,1.52217392102 
27,r,l,0.65,0,0.7,0.3,1,0.4,0.836072763825 
28,l,r,0.2,0.3,0.4,0,2,-0.1,0.954811662998 
29,r,l,0.1,0,0.2,0.3,2,-0.1,1.20466649629 
30,l,r,0.2,0.3,0.7,0,2,-0.1,1.54851383851 
31,r,l,0.5,0,0.3,0.3,2,0.0,1.11732371045 
32,l,r,0.3,0.3,0.3,0,1,0.0,0.836434560641 
33,l,r,0.65,0.3,0.65,0,1,0.35,0.836508797252 
34,l,r,0.9,0.3,0.5,0,1,0.6,0.836601379692 
35,r,l,0.5,0,0.55,0.3,2,0.25,1.02969720422 
36,r,l,0.7,0,0.1,0.3,1,-0.2,1.388500237 
37,r,l,0.5,0,0.1,0.3,2,-0.2,1.31632945184 
38,r,l,0.9,0,0.6,0.3,1,0.3,1.09525794449 
39,l,r,0.7,0.3,0.6,0,1,0.4,0.867100253983 
40,r,l,0.4,0,0.55,0.3,1,0.25,1.1928197838 
41,r,l,0.1,0,0.5,0.3,1,0.2,1.10625520243 
42,r,l,0.5,0,0.6,0.3,1,0.3,1.23648712357 
43,r,l,0.7,0,0.5,0.3,2,0.2,0.906298464454 
44,r,l,0.4,0,0.5,0.3,2,0.2,0.854232574769 
45,r,l,0.3,0,0.01,0.3,2,-0.29,1.03601926227 
46,l,r,0.1,0.3,0.2,0,1,-0.2,0.8361448672 
47,l,r,0.2,0.3,0.7,0,2,-0.1,0.896650691574 
48,r,l,0.65,0,0.4,0.3,2,0.1,0.941564267786 
49,l,r,0.1,0.3,0.1,0,1,-0.2,0.836649590824 
50,l,r,0.3,0.3,0.4,0,2,0.0,0.975228864218 
51,l,r,0.9,0.3,0.01,0,1,0.6,0.836467412474 
52,r,l,0.1,0,0.9,0.3,1,0.6,0.836582607215 
53,r,l,0.55,0,0.65,0.3,1,0.35,0.837588641287 
54,r,l,0.3,0,0.6,0.3,1,0.3,0.884586815663 
55,l,r,0.5,0.3,0.6,0,1,0.2,1.11238996236 
56,l,r,0.4,0.3,0.3,0,2,0.1,1.15624460025 
57,r,l,0.2,0,0.65,0.3,1,0.35,0.836821956288 
58,l,r,0.55,0.3,0.65,0,2,0.25,1.85992106174 
59,r,l,0.55,0,0.65,0.3,2,0.35,1.42471191715 
60,l,r,0.01,0.3,0.01,0,2,-0.29,0.836576207508 
61,l,r,0.01,0.3,0.6,0,2,-0.29,0.877436208779 
62,r,l,0.01,0,0.4,0.3,2,0.1,1.33831628807 
63,r,l,0.55,0,0.4,0.3,2,0.1,1.28402884647 
64,l,r,0.55,0.3,0.1,0,2,0.25,1.51284826677 
65,l,r,0.4,0.3,0.55,0,2,0.1,1.05964783688 
66,l,r,0.5,0.3,0.55,0,2,0.2,0.889463393031 
67,r,l,0.2,0,0.55,0.3,2,0.25,1.13433498716 
68,r,l,0.1,0,0.6,0.3,2,0.3,0.836283100889 
69,r,l,0.9,0,0.01,0.3,2,-0.29,1.31202287512 
70,l,r,0.55,0.3,0.65,0,1,0.25,0.836006206863 
71,l,r,0.1,0.3,0.6,0,2,-0.2,0.969672211231 
72,l,r,0.9,0.3,0.3,0,1,0.6,0.836874433893 
73,l,r,0.01,0.3,0.6,0,2,-0.29,1.19350796572 
74,l,r,0.1,0.3,0.4,0,2,-0.2,0.836973842688 
