# Time : Fri Jun 08 16:52:45 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S016PWn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BAAFBC0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BAAFFA8> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.1,0,0.01,0.3,2,-0.29,0.928743519763 
1,r,l,0.6,0,0.1,0.3,2,-0.2,0.836601806339 
2,l,r,0.55,0.3,0.65,0,1,0.25,1.09851283589 
3,l,r,0.01,0.3,0.3,0,2,-0.29,0.836368856974 
4,r,l,0.6,0,0.01,0.3,2,-0.29,0.877106837149 
5,r,l,0.4,0,0.6,0.3,1,0.3,0.962043759496 
6,l,r,0.4,0.3,0.5,0,2,0.1,0.85981141341 
7,r,l,0.2,0,0.5,0.3,1,0.2,0.842643557179 
8,r,l,0.65,0,0.65,0.3,1,0.35,0.92152592927 
9,r,l,0.3,0,0.01,0.3,2,-0.29,0.836483625068 
10,r,l,0.55,0,0.6,0.3,1,0.3,0.83754256339 
11,r,l,0.55,0,0.6,0.3,1,0.3,0.874003405498 
12,r,l,0.7,0,0.4,0.3,1,0.1,1.11081862076 
13,l,r,0.4,0.3,0.2,0,1,0.1,1.03468257662 
14,r,l,0.7,0,0.55,0.3,1,0.25,1.01756293153 
15,l,r,0.01,0.3,0.7,0,2,-0.29,0.837788738818 
16,r,l,0.2,0,0.1,0.3,2,-0.2,0.836968296274 
17,l,r,0.65,0.3,0.01,0,1,0.35,0.836073617119 
18,l,r,0.6,0.3,0.3,0,2,0.3,0.933910217219 
19,r,l,0.3,0,0.6,0.3,1,0.3,0.837774232814 
20,r,l,0.01,0,0.2,0.3,2,-0.1,0.837047226004 
21,r,l,0.5,0,0.3,0.3,2,0.0,0.836000233803 
22,l,r,0.3,0.3,0.65,0,1,0.0,1.31736876439 
23,l,r,0.1,0.3,0.6,0,2,-0.2,0.836199051393 
24,r,l,0.3,0,0.7,0.3,1,0.4,0.83651519696 
25,r,l,0.1,0,0.3,0.3,2,0.0,0.950843844142 
26,l,r,0.4,0.3,0.5,0,2,0.1,0.856662757156 
27,r,l,0.6,0,0.55,0.3,1,0.25,0.862492037697 
28,l,r,0.65,0.3,0.2,0,1,0.35,0.876402015993 
29,l,r,0.01,0.3,0.55,0,2,-0.29,1.07422509138 
30,l,r,0.01,0.3,0.5,0,2,-0.29,0.836574927566 
31,r,l,0.2,0,0.5,0.3,2,0.2,1.07000171086 
32,l,r,0.6,0.3,0.01,0,1,0.3,0.994697628738 
33,r,l,0.55,0,0.9,0.3,2,0.6,0.836087269829 
34,r,l,0.9,0,0.65,0.3,2,0.35,0.849363250403 
35,r,l,0.4,0,0.9,0.3,1,0.6,0.836259208646 
36,l,r,0.55,0.3,0.01,0,1,0.25,1.03108295429 
37,r,l,0.01,0,0.4,0.3,1,0.1,0.83619947804 
38,l,r,0.4,0.3,0.7,0,2,0.1,1.32473994787 
39,l,r,0.5,0.3,0.1,0,1,0.2,1.18367161478 
40,l,r,0.9,0.3,0.65,0,2,0.6,0.83612353484 
41,l,r,0.7,0.3,0.9,0,1,0.4,0.886260979232 
42,r,l,0.01,0,0.5,0.3,1,0.2,1.10707308509 
43,l,r,0.5,0.3,0.4,0,1,0.2,0.958907049364 
44,l,r,0.7,0.3,0.4,0,1,0.4,1.00879063868 
45,l,r,0.2,0.3,0.9,0,1,-0.1,1.0485806088 
46,l,r,0.5,0.3,0.6,0,1,0.2,0.886423958458 
47,l,r,0.65,0.3,0.55,0,1,0.35,0.836945257326 
48,r,l,0.3,0,0.9,0.3,1,0.6,1.01012775097 
49,r,l,0.7,0,0.4,0.3,1,0.1,1.0980418174 
50,l,r,0.65,0.3,0.6,0,1,0.35,0.917789779837 
51,r,l,0.3,0,0.9,0.3,2,0.6,0.836401708807 
52,l,r,0.3,0.3,0.2,0,2,0.0,1.24048907421 
53,r,l,0.9,0,0.55,0.3,1,0.25,1.52631623858 
54,r,l,0.55,0,0.2,0.3,2,-0.1,0.880093794118 
55,r,l,0.1,0,0.2,0.3,2,-0.1,0.835978474796 
56,l,r,0.1,0.3,0.5,0,2,-0.2,0.971809287 
57,r,l,0.4,0,0.3,0.3,2,0.0,0.836805743695 
58,l,r,0.1,0.3,0.7,0,2,-0.2,1.09248047129 
59,r,l,0.1,0,0.55,0.3,1,0.25,1.024328276 
60,r,l,0.9,0,0.6,0.3,2,0.3,1.08713330207 
61,l,r,0.2,0.3,0.6,0,2,-0.1,0.851004135491 
62,l,r,0.2,0.3,0.4,0,2,-0.1,1.12983983238 
63,l,r,0.3,0.3,0.4,0,2,0.0,0.837003707991 
64,r,l,0.55,0,0.2,0.3,2,-0.1,0.836379096506 
65,r,l,0.9,0,0.5,0.3,2,0.2,1.11337210419 
66,r,l,0.5,0,0.9,0.3,1,0.6,1.09317377297 
67,l,r,0.3,0.3,0.65,0,2,0.0,1.00102309996 
68,r,l,0.65,0,0.55,0.3,2,0.25,1.03284031406 
69,l,r,0.7,0.3,0.2,0,1,0.4,1.23967588466 
70,r,l,0.01,0,0.1,0.3,2,-0.2,1.02154952286 
71,r,l,0.1,0,0.7,0.3,1,0.4,1.17246913954 
72,l,r,0.65,0.3,0.65,0,1,0.35,1.38919609857 
73,r,l,0.1,0,0.1,0.3,2,-0.2,0.877014254709 
74,r,l,0.5,0,0.7,0.3,1,0.4,1.20988268482 
