# Time : Fri Jun 08 16:39:19 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S016PWn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B9EAA80> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B9EAAD0> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.65,0,0.1,0.3,2,-0.2,0.837278895427 
1,r,l,0.01,0,0.55,0.3,2,0.25,0.888209476943 
2,l,r,0.5,0.3,0.2,0,2,0.2,1.10908174005 
3,r,l,0.4,0,0.5,0.3,2,0.2,0.836046738346 
4,l,r,0.7,0.3,0.65,0,2,0.4,0.837091597312 
5,l,r,0.7,0.3,0.3,0,2,0.4,0.893613390237 
6,r,l,0.5,0,0.55,0.3,2,0.25,0.837384277283 
7,l,r,0.65,0.3,0.4,0,1,0.35,0.837030586764 
8,r,l,0.3,0,0.1,0.3,2,-0.2,0.836696095368 
9,l,r,0.01,0.3,0.5,0,2,-0.29,0.837772952872 
10,l,r,0.3,0.3,0.2,0,2,0.0,0.836885526719 
11,l,r,0.55,0.3,0.65,0,2,0.25,0.836046311699 
12,l,r,0.7,0.3,0.3,0,2,0.4,1.14649571198 
13,l,r,0.4,0.3,0.65,0,1,0.1,0.836389336039 
14,l,r,0.4,0.3,0.5,0,2,0.1,0.837017787348 
