# Time : Fri Jun 08 16:48:08 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S016PWn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B9E0530> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B9E0558> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.9,0,0.9,0.3,1,0.6,1.1857250677 
1,r,l,0.7,0,0.55,0.3,2,0.25,0.977557077928 
2,r,l,0.01,0,0.9,0.3,1,0.6,1.24242818568 
3,r,l,0.7,0,0.55,0.3,2,0.25,0.992260619995 
4,r,l,0.1,0,0.6,0.3,2,0.3,0.836927338144 
5,r,l,0.55,0,0.65,0.3,2,0.35,0.836391895922 
6,l,r,0.55,0.3,0.3,0,2,0.25,0.836152120202 
7,l,r,0.65,0.3,0.6,0,2,0.35,1.05258981243 
8,r,l,0.4,0,0.01,0.3,2,-0.29,0.994433107481 
9,r,l,0.5,0,0.5,0.3,2,0.2,1.49829319792 
10,r,l,0.3,0,0.55,0.3,1,0.25,0.918093979283 
11,l,r,0.3,0.3,0.5,0,2,0.0,1.4409053112 
12,r,l,0.1,0,0.6,0.3,1,0.3,1.18273981732 
13,r,l,0.1,0,0.65,0.3,1,0.35,1.19956976897 
14,l,r,0.01,0.3,0.3,0,2,-0.29,1.07148729637 
15,r,l,0.5,0,0.7,0.3,1,0.4,0.836777158333 
16,r,l,0.5,0,0.55,0.3,1,0.25,0.851102264345 
17,r,l,0.01,0,0.9,0.3,1,0.6,0.836393175864 
18,l,r,0.4,0.3,0.55,0,2,0.1,0.903756073856 
19,l,r,0.2,0.3,0.4,0,2,-0.1,0.836412801634 
20,l,r,0.5,0.3,0.01,0,2,0.2,0.836536529319 
21,r,l,0.3,0,0.3,0.3,1,0.0,1.24132060958 
22,r,l,0.4,0,0.01,0.3,2,-0.29,1.03914615951 
23,r,l,0.6,0,0.6,0.3,1,0.3,1.27693669025 
24,l,r,0.1,0.3,0.01,0,2,-0.2,0.985773876137 
25,r,l,0.2,0,0.1,0.3,2,-0.2,0.993603705346 
26,r,l,0.01,0,0.55,0.3,2,0.25,0.83646357265 
27,l,r,0.5,0.3,0.9,0,2,0.2,1.45729538961 
28,r,l,0.55,0,0.01,0.3,2,-0.29,1.09423868436 
29,l,r,0.55,0.3,0.6,0,2,0.25,1.31394961382 
30,r,l,0.7,0,0.4,0.3,1,0.1,1.22881686041 
31,r,l,0.2,0,0.4,0.3,2,0.1,0.836321925783 
32,r,l,0.7,0,0.9,0.3,1,0.6,0.836593700042 
33,r,l,0.65,0,0.3,0.3,2,0.0,0.961330405396 
34,r,l,0.4,0,0.4,0.3,2,0.1,0.837520377736 
35,l,r,0.9,0.3,0.01,0,1,0.6,0.837695729731 
36,l,r,0.65,0.3,0.2,0,1,0.35,0.836813849992 
37,r,l,0.9,0,0.2,0.3,2,-0.1,0.836895339605 
38,l,r,0.5,0.3,0.4,0,2,0.2,0.836028819164 
39,r,l,0.1,0,0.3,0.3,1,0.0,1.02039117574 
40,l,r,0.1,0.3,0.9,0,2,-0.2,0.90733265724 
41,l,r,0.3,0.3,0.2,0,2,0.0,0.837239217239 
42,r,l,0.65,0,0.9,0.3,1,0.6,0.933873098913 
43,l,r,0.5,0.3,0.7,0,2,0.2,1.1860134812 
44,r,l,0.55,0,0.6,0.3,1,0.3,1.03354342863 
45,l,r,0.7,0.3,0.01,0,1,0.4,1.27238351145 
46,r,l,0.65,0,0.2,0.3,2,-0.1,1.11725886008 
47,l,r,0.01,0.3,0.2,0,2,-0.29,0.83704637271 
