# Time : Tue Jun 26 18:36:43 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S17LD_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B6E14E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B6E12B0> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.01,0.3,0.3,0,2,-0.29,0.836308544811 
1,r,r,0.2,0.3,0.65,0,2,-0.1,0.836422459124 
2,r,r,0.65,0.3,0.9,0,2,0.35,0.837035548519 
3,r,r,0.7,0.3,0.6,0,1,0.4,0.967826672759 
4,l,l,0.1,0,0.01,0.3,2,-0.29,0.836642608134 
5,r,r,0.5,0.3,0.65,0,2,0.2,0.836796200467 
6,l,l,0.9,0,0.6,0.3,2,0.3,0.879364315467 
7,r,r,0.6,0.3,0.01,0,2,0.3,1.00430143861 
8,r,r,0.01,0.3,0.01,0,2,-0.29,0.836661380531 
9,r,l,0.5,0,0.4,0.3,2,0.1,0.850880190728 
10,l,l,0.55,0,0.55,0.3,2,0.25,0.837190420788 
11,l,l,0.6,0,0.4,0.3,2,0.1,0.837448541235 
12,l,r,0.55,0.3,0.55,0,2,0.25,0.926448045047 
13,l,l,0.3,0,0.5,0.3,2,0.2,0.836614022895 
14,l,l,0.9,0,0.5,0.3,2,0.2,1.18513465141 
15,r,r,0.9,0.3,0.4,0,1,0.6,0.835910911327 
16,r,r,0.3,0.3,0.1,0,2,0.0,0.835996667046 
17,l,l,0.65,0,0.7,0.3,2,0.4,0.836125940593 
18,r,r,0.4,0.3,0.6,0,2,0.1,0.836215109475 
19,l,l,0.6,0,0.1,0.3,2,-0.2,0.836305984939 
20,r,r,0.01,0.3,0.2,0,2,-0.29,0.836425872287 
21,l,l,0.1,0,0.1,0.3,2,-0.2,0.906130339307 
22,r,r,0.7,0.3,0.55,0,2,0.4,0.845867960938 
23,r,r,0.3,0.3,0.55,0,2,0.0,0.837628585581 
24,l,l,0.55,0,0.9,0.3,2,0.6,0.836716417783 
25,r,r,0.5,0.3,0.55,0,2,0.2,0.836817532735 
