# Time : Tue Jun 26 18:20:28 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S17LD_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0B818E68> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0B818F30> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.3,0,0.6,0.3,2,0.3,0.878056220767 
1,l,l,0.01,0,0.2,0.3,2,-0.1,0.836393873884 
2,r,r,0.2,0.3,0.2,0,2,-0.1,0.836615729476 
3,r,r,0.3,0.3,0.01,0,2,0.0,0.836640901553 
4,r,l,0.3,0,0.5,0.3,2,0.2,1.16039348649 
5,r,r,0.4,0.3,0.5,0,2,0.1,0.945205082029 
6,r,r,0.9,0.3,0.1,0,1,0.6,0.836521867495 
7,r,r,0.55,0.3,0.2,0,1,0.25,1.17094869291 
8,l,r,0.9,0.3,0.65,0,1,0.6,0.837308601555 
9,l,l,0.55,0,0.2,0.3,2,-0.1,1.18661041774 
10,r,l,0.7,0,0.01,0.3,2,-0.29,0.866405815688 
11,l,l,0.6,0,0.6,0.3,2,0.3,1.20022211158 
12,l,r,0.5,0.3,0.65,0,2,0.2,0.836535946792 
13,r,l,0.6,0,0.7,0.3,1,0.4,1.6951008739 
14,r,r,0.7,0.3,0.55,0,1,0.4,0.937804918112 
15,r,r,0.65,0.3,0.65,0,1,0.35,0.956558115286 
16,l,r,0.7,0.3,0.5,0,1,0.4,0.837246737976 
17,r,l,0.1,0,0.5,0.3,1,0.2,1.52431345294 
18,r,r,0.3,0.3,0.2,0,2,0.0,0.835934803468 
19,l,r,0.2,0.3,0.65,0,2,-0.1,0.836103328389 
20,l,l,0.3,0,0.65,0.3,1,0.35,1.05975808354 
21,r,r,0.7,0.3,0.3,0,1,0.4,0.857669825122 
22,l,l,0.5,0,0.6,0.3,1,0.3,0.999435974823 
23,r,r,0.6,0.3,0.55,0,2,0.3,0.864269602328 
24,r,r,0.3,0.3,0.2,0,2,0.0,0.837004830052 
25,r,r,0.1,0.3,0.9,0,2,-0.2,0.853062908433 
26,l,l,0.6,0,0.4,0.3,2,0.1,0.836425445642 
27,r,r,0.3,0.3,0.2,0,2,0.0,0.837380277977 
28,r,l,0.9,0,0.5,0.3,2,0.2,0.872568281391 
29,r,l,0.01,0,0.3,0.3,2,0.0,1.28547950886 
30,l,l,0.55,0,0.6,0.3,1,0.3,0.905241210359 
31,r,l,0.3,0,0.01,0.3,2,-0.29,1.00514150334 
